id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-364-10-B,"{""question"": ""What is the typical treatment approach for a fracture of the lateral condyle of the elbow in children?"", ""option_a"": ""Conservative management with a cast"", ""option_b"": ""Physical therapy and rehabilitation"", ""option_c"": ""Surgical intervention"", ""option_d"": ""Immobilization with a splint"", ""correct_option"": ""C""}",Positive diagnosis,What is the typical treatment approach for a fracture of the lateral condyle of the elbow in children?,Conservative management with a cast,Physical therapy and rehabilitation,Surgical intervention,Immobilization with a splint,c
OIC-227-05-A,"{""question"": ""Which of the following is NOT a factor that favors the onset of varicose veins and chronic venous insufficiency (CVI)?"", ""option_a"": ""Heredity"", ""option_b"": ""Sedentary lifestyle"", ""option_c"": ""Exposure to cold"", ""option_d"": ""Multiple pregnancies"", ""correct_option"": ""C""}",Etiologies,Which of the following is NOT a factor that favors the onset of varicose veins and chronic venous insufficiency (CVI)?,Heredity,Sedentary lifestyle,Exposure to cold,Multiple pregnancies,c
OIC-047-16-A,"{""question"": ""What is the primary purpose of the international dental numbering system?"", ""option_a"": ""To identify the sequence in which teeth erupt in children"", ""option_b"": ""To standardize the naming of dental procedures across different countries"", ""option_c"": ""To track the growth and development of teeth in adolescents"", ""option_d"": ""To provide a universal system for identifying and recording the location of teeth"", ""correct_option"": ""D""}",Definition,What is the primary purpose of the international dental numbering system?,To identify the sequence in which teeth erupt in children,To standardize the naming of dental procedures across different countries,To track the growth and development of teeth in adolescents,To provide a universal system for identifying and recording the location of teeth,d
OIC-073-03-B,"{""question"": ""Who can automatically be a psychotherapist according to the regulatory aspects in France?"", ""option_a"": ""A general practitioner with additional training"", ""option_b"": ""A clinical psychologist"", ""option_c"": ""A social worker with a Master's degree in social work"", ""option_d"": ""A nurse with specialized training in mental health"", ""correct_option"": ""B""}",Definition,Who can automatically be a psychotherapist according to the regulatory aspects in France?,A general practitioner with additional training,A clinical psychologist,A social worker with a Master's degree in social work,A nurse with specialized training in mental health,b
OIC-239-08-B,"{""question"": ""What is the primary purpose of the Allen manoeuvre?"", ""option_a"": ""To assess the patency of the coronary arteries"", ""option_b"": ""To evaluate the function of the carotid arteries"", ""option_c"": ""To check the blood flow in the radial and ulnar arteries"", ""option_d"": ""To measure the blood pressure in the femoral artery"", ""correct_option"": ""C""}",Multimedia content,What is the primary purpose of the Allen manoeuvre?,To assess the patency of the coronary arteries,To evaluate the function of the carotid arteries,To check the blood flow in the radial and ulnar arteries,To measure the blood pressure in the femoral artery,c
OIC-074-22-B,"{""question"": ""Which of the following is a common indication for the use of valproate in the context of thymoregulators?"", ""option_a"": ""Treatment of severe renal insufficiency"", ""option_b"": ""Curative treatment of a manic episode"", ""option_c"": ""Management of acute hepatitis"", ""option_d"": ""Prevention of epilepsy"", ""correct_option"": ""B""}",Management,Which of the following is a common indication for the use of valproate in the context of thymoregulators?,Treatment of severe renal insufficiency,Curative treatment of a manic episode,Management of acute hepatitis,Prevention of epilepsy,b
OIC-198-18-A,"{""question"": ""Which of the following is the correct initial dose of colchicine for treating an acute gout attack?"", ""option_a"": ""0.5 mg at the onset of the attack, followed by 0.5 mg an hour later"", ""option_b"": ""1 mg at the onset of the attack, followed by 1 mg an hour later"", ""option_c"": ""1 mg at the onset of the attack, followed by 0.5 mg an hour later"", ""option_d"": ""2 mg at the onset of the attack, followed by 1 mg an hour later"", ""correct_option"": ""C""}",Management,Which of the following is the correct initial dose of colchicine for treating an acute gout attack?,"0.5 mg at the onset of the attack, followed by 0.5 mg an hour later","1 mg at the onset of the attack, followed by 1 mg an hour later","1 mg at the onset of the attack, followed by 0.5 mg an hour later","2 mg at the onset of the attack, followed by 1 mg an hour later",c
OIC-270-04-A,"{""question"": ""Which of the following is a characteristic clinical sign of renal colic?"", ""option_a"": ""Bilateral lumbar pain with a gradual onset"", ""option_b"": ""Pain on palpation of the spine or paravertebral muscle masses"", ""option_c"": ""Unilateral lumbar pain of sudden onset with radiation towards the homolateral iliac fossa"", ""option_d"": ""Pain that is relieved by finding an analgesic position"", ""correct_option"": ""C""}",Etiologies,Which of the following is a characteristic clinical sign of renal colic?,Bilateral lumbar pain with a gradual onset,Pain on palpation of the spine or paravertebral muscle masses,Unilateral lumbar pain of sudden onset with radiation towards the homolateral iliac fossa,Pain that is relieved by finding an analgesic position,c
OIC-047-25-B,"{""question"": ""What is a common complication of delayed diagnosis of congenital hip dislocation?"", ""option_a"": ""Immediate resolution of the condition without treatment"", ""option_b"": ""Development of chronic pain and early degenerative damage"", ""option_c"": ""Increased muscle strength in the affected leg"", ""option_d"": ""No long-term effects on mobility or pain"", ""correct_option"": ""B""}",Follow-up and/or prognosis,What is a common complication of delayed diagnosis of congenital hip dislocation?,Immediate resolution of the condition without treatment,Development of chronic pain and early degenerative damage,Increased muscle strength in the affected leg,No long-term effects on mobility or pain,b
OIC-132-05-A,"{""question"": ""Which of the following conditions is NOT typically associated with reversible neuro-cognitive disorders?"", ""option_a"": ""Vitamin B12 deficiency"", ""option_b"": ""Alzheimer's disease"", ""option_c"": ""Subdural haematoma"", ""option_d"": ""Hydrocephalus at normal pressure"", ""correct_option"": ""B""}",Positive diagnosis,Which of the following conditions is NOT typically associated with reversible neuro-cognitive disorders?,Vitamin B12 deficiency,Alzheimer's disease,Subdural haematoma,Hydrocephalus at normal pressure,b
OIC-247-26-B,"{""question"": ""What is the target HbA1c level for patients with diabetes and renal failure when the estimated glomerular filtration rate (eGFR) is less than 30 ml/min/1.73 m\u00b2?"", ""option_a"": ""HbA1c < 6%"", ""option_b"": ""HbA1c < 7%"", ""option_c"": ""HbA1c < 8%"", ""option_d"": ""HbA1c < 9%"", ""correct_option"": ""C""}",Management,What is the target HbA1c level for patients with diabetes and renal failure when the estimated glomerular filtration rate (eGFR) is less than 30 ml/min/1.73 m²?,HbA1c < 6%,HbA1c < 7%,HbA1c < 8%,HbA1c < 9%,c
OIC-342-03-A,"{""question"": ""Which of the following is the main diagnostic criterion to distinguish a syncope/lipothymia from a generalised epileptic seizure?"", ""option_a"": ""The presence of chest pain"", ""option_b"": ""The duration of the loss of consciousness"", ""option_c"": ""The history of cardiovascular risk factors"", ""option_d"": ""The presence of a pacemaker or mechanical valve prosthesis"", ""correct_option"": ""B""}",Positive diagnosis,Which of the following is the main diagnostic criterion to distinguish a syncope/lipothymia from a generalised epileptic seizure?,The presence of chest pain,The duration of the loss of consciousness,The history of cardiovascular risk factors,The presence of a pacemaker or mechanical valve prosthesis,b
OIC-208-12-B,"{""question"": ""What does severe Chronic Kidney Disease (CKD) with a PaO2 level less than 60 mmHg entitle a patient to in France?"", ""option_a"": ""Exemption from co-payment under ALD 15"", ""option_b"": ""Exemption from co-payment under ALD 13"", ""option_c"": ""Exemption from co-payment under ALD 14"", ""option_d"": ""Exemption from co-payment under ALD 16"", ""correct_option"": ""C""}",Prise en charge,What does severe Chronic Kidney Disease (CKD) with a PaO2 level less than 60 mmHg entitle a patient to in France?,Exemption from co-payment under ALD 15,Exemption from co-payment under ALD 13,Exemption from co-payment under ALD 14,Exemption from co-payment under ALD 16,c
OIC-049-24-B,"{""question"": ""Which imaging examination is indicated for a girl with pathological peripheral puberty?"", ""option_a"": ""Brain MRI to look for a tumour affecting the hypothalamo-hypophyseal region"", ""option_b"": ""Pelvic ultrasound"", ""option_c"": ""Chest X-ray to check for lung involvement"", ""option_d"": ""Abdominal CT scan to assess organ function"", ""correct_option"": ""B""}",Additional examinations,Which imaging examination is indicated for a girl with pathological peripheral puberty?,Brain MRI to look for a tumour affecting the hypothalamo-hypophyseal region,Pelvic ultrasound,Chest X-ray to check for lung involvement,Abdominal CT scan to assess organ function,b
OIC-047-14-A,"{""question"": ""What is the classification of hearing loss in a deaf child based on the degree of hearing loss in the better ear at 500 Hz?"", ""option_a"": ""Mild hearing loss (21 to 40 decibels)"", ""option_b"": ""Moderate hearing loss (41 to 70 decibels)"", ""option_c"": ""Severe hearing loss (71 to 90 decibels)"", ""option_d"": ""Profound hearing loss (more than 90 decibels)"", ""correct_option"": ""A""}",Definition,What is the classification of hearing loss in a deaf child based on the degree of hearing loss in the better ear at 500 Hz?,Mild hearing loss (21 to 40 decibels),Moderate hearing loss (41 to 70 decibels),Severe hearing loss (71 to 90 decibels),Profound hearing loss (more than 90 decibels),a
OIC-208-05-A,"{""question"": ""Which functional investigation is most indicative of restrictive chronic respiratory failure?"", ""option_a"": ""Spirometry with a flow-volume curve showing FEV1/CV < 0.7"", ""option_b"": ""Plethysmography showing CPT > 120% of predicted values"", ""option_c"": ""Plethysmography showing CPT < 80% of predicted values"", ""option_d"": ""Blood gases showing alveolar hypoventilation"", ""correct_option"": ""C""}",,Which functional investigation is most indicative of restrictive chronic respiratory failure?,Spirometry with a flow-volume curve showing FEV1/CV < 0.7,Plethysmography showing CPT > 120% of predicted values,Plethysmography showing CPT < 80% of predicted values,Blood gases showing alveolar hypoventilation,c
OIC-302-04-A,"{""question"": ""What is the recommended surgical margin for a melanoma with a Breslow index greater than 2 mm?"", ""option_a"": ""0.5 cm"", ""option_b"": ""1 cm"", ""option_c"": ""1 to 2 cm"", ""option_d"": ""2 cm"", ""correct_option"": ""D""}",Management,What is the recommended surgical margin for a melanoma with a Breslow index greater than 2 mm?,0.5 cm,1 cm,1 to 2 cm,2 cm,d
