id,question,option_a,option_b,option_c,option_d,correct_option
OIC-019-12-A,What is a characteristic exemption from co-payment for insured persons under the Social Security system?,The patient's income level,A serious or incapacitating disease not on the list of 30 long-term conditions (ALD protocol),Continuous care for more than 6 months without specific diagnosis,The patient's social status,option_b
OIC-019-08-A,What is the main difference between the general Social Security scheme and the agricultural scheme within Mutualité Sociale Agricole (MSA)?,"The general scheme covers 88% of the population, while the MSA covers only 5%.",Both schemes cover 100% of the population.,The general scheme is more comprehensive than the agricultural scheme.,Neither option A nor B is correct.,option_a
OIC-019-04-B,What is the main source of funding for social protection in France?,Employer contributions,Earmarked taxes,Transfers from other countries,State public contributions,d
OIC-019-10-A,What is the main purpose of the 'ticket modérateur'?,To increase medical consumption,To regulate healthcare costs,To reduce administrative burden on patients,To cover all out-of-pocket expenses,b
OIC-019-07-B,What is the main purpose of the National Health Insurance Expenditure Target (ONDAM)?,To regulate health insurance expenditure,To provide funding for public healthcare services,To ensure that health insurance funds are allocated according to a predetermined amount,To determine the annual budget of the French government,option_a
OIC-019-13-B,What is the main difference between cash benefits and benefits in kind in health insurance?,"Cash benefits are provided by employers, while benefits in kind are reimbursed directly by the health insurance scheme","Benefits in kind are only paid for medical procedures that can be done at home, whereas cash benefits cover all healthcare costs regardless of location.","The main difference is that cash benefits provide a replacement income, whereas benefits in kind provide reimbursement of specific healthcare services.","Cash benefits have fixed contribution limits, while benefits in kind do not.",option_a
OIC-019-03-B,"What is the correct order of social protection expenditure by percentage of GDP in France (based on 2020 data): old age, health, social protection benefits?",old age,health,social protection benefits,health and social protection,b
OIC-019-02-A,What is the primary purpose of social protection benefits in France?,Payment of cash benefits directly to individuals.,Free services provided at reduced prices,Direct funding of services and care for dependency,Reduction of poverty through aid for vocational rehabilitation and reintegration.,option_a
OIC-019-11-A,"Who is the preferred doctor for each insured person or entitled person aged 16 or over to declare, with their consent, and who provides care through the Coordinated Care Pathway?",General practitioner,Hospital doctor,"Other specialist doctors (e.g. gynecologist, ophthalmologist, psychiatrist)",No one,option_a
OIC-019-06-B,Who is responsible for voting on the Social Security Financing Act (LFSS)?,Parliament,The National Assembly,Government,President,b
OIC-019-09-A,What is one of the main missions of health insurance under the General Social Security System?,To provide financial support for medical expenses,To pay for the care provided to insured persons,To control healthcare expenditure in regions,To monitor and prevent diseases through cancer screening,b
OIC-019-01-A,What is the primary purpose of social protection?,To provide financial assistance for individuals in need,To facilitate individual savings and investment,To cover all types of medical expenses,To prevent poverty among vulnerable groups,d
OIC-283-02-A,What is considered chronic constipation?,Fewer than 3 bowel movements per week,"Exaggerated efforts to push, known as dyschezia",A combination of the above,Constipation can be defined as passing liquid stools,option_c
OIC-283-06-B,What is the main difference between idiopathic constipation and secondary constipation?,"A slowdown in colonic transit, followed by a problem with rectal evacuation.","A reduction in the frequency and amplitude of colonic contractions, accompanied by dehydrated stools.","A functional disorder or an anatomical disorder with a disturbance of pelvic statics, leading to exaggerated pushing efforts.","A slowdown in colonic transit, followed by a problem with rectal evacuation, and a reduction in the frequency and amplitude of colonic contractions.",a
OIC-283-01-B,What percentage of pediatric consultations are due to constipation?,20%,15%,5%,10%,b
OIC-283-05-A,What is the primary mechanism of constipation?,Swallowing,Dyschezia,Hypertension,Constipation,b
OIC-283-07-A,What is the recommended amount of water for children to drink daily?,2 bottles,1 bottle,No recommendation given,3 bottles,b
OIC-283-09-B,What should be done to soften stools in older children with chronic constipation?,Prolonged use of laxatives,Gradually reducing medication doses,Always combining hygienic and dietary measures with medicinal treatment,Using only osmotic agents,option_b
OIC-283-04-B,"When considering imaging examinations for constipation, what should be avoided?",If a patient has a family history of colon cancer,Colonoscopy with general anaesthetic is recommended in the absence of warning signs,Biological tests are necessary to diagnose constipation,All of the above,d
OIC-283-08-B,What is a primary complication of anal fissures in children?,Crying during defecation,Constipation,Rectal prolapse,"Anorexia, nausea, meteorism",a
OIC-283-03-B,What is a common initial symptom of functional constipation in children?,Retention of stool,Straining to pass stools,Bowel movements are more frequent than usual,Constipation worsens over time,A
OIC-005-09-A,What is the main difference between a medical accident and an Iatrogenic Condition?,"A medical accident occurs when a healthcare professional intentionally causes harm, while an Iatrogenic condition results from their negligence.",Both can result in physical harm to patients,An Iatrogenic effect is always intentional and premeditated,The terms 'medical accident' and 'iatrogenic condition' are interchangeable.,option_a
OIC-005-11-A,What is a Therapeutic Hazard? ,A side effect caused by medication,An unforeseen event that occurs during surgery,A medical mistake made by a nurse,The presence of a patient with a contagious disease,option_a
OIC-005-12-B,What is the primary factor leading to litigation following a medical accident?,Patient's ability to understand instructions,Type of procedure performed,Availability of qualified staff during emergency situations,Lack of proper documentation in patient records,a
OIC-005-13-A,What is the primary goal of an effective organizational learning organization?,To increase employee productivity,To improve patient outcomes,To enhance team cohesion,To reduce administrative liability,option_a
OIC-005-15-B,What is a key characteristic of a positive error culture in healthcare?,Encourages patients to report errors,Requires active systems for error detection,Only involves voluntary reporting by doctors and other healthcare professionals,Does not require anonymity or confidentiality in the analysis phase,b
OIC-005-07-A,What is the main difference between technical negligence and breach of duty of humanism in determining medical liability?,Technical negligence,Breach of duty of humanism,Both are equally likely to determine liability,Neither is relevant,b
OIC-005-06-A,What type of damage is compensated under no-fault liability?,Accidental injuries,Proven errors in treatment,Negligent actions by healthcare professionals,Unforeseen consequences of medical procedures,b
OIC-005-02-A,What is the main purpose of criminal liability in medical practice?,To punish doctors for their mistakes,To protect patients from harm,To ensure that doctors follow best practices and guidelines,To increase public confidence in the medical profession,b
OIC-005-01-A,What is the main purpose of liability in healthcare?,To penalize medical professionals,To compensate patients who have suffered harm from adverse events,To provide a framework for resolving disputes between parties,To ensure that institutions take out professional indemnity insurance,b
OIC-005-10-A,What is a nosocomial infection?,A type of bacterial infection that occurs in hospitals,An illness caused by eating contaminated food,A contagious disease spread through direct contact with an infected person or object,A common cold that can be contracted during travel to a hospital,A type of bacterial infection that occurs in hospitals
OIC-005-08-A,What does 'Learning Organization' refer to in the context of medical errors?,A system for identifying and preventing mistakes,An organization with a strong focus on safety and quality control,A type of medication taken by patients,A process for ensuring compliance with regulations,option_a
OIC-005-04-A,What is Administrative Liability primarily concerned with?,The management of errors and complaints; therapeutic hazards.,The management of legal liability for medical errors; administrative actions taken against healthcare providers.,The management of civil liability for damages resulting from the performance of medical services; disciplinary actions taken against healthcare professionals.,"Involves only personal misconduct, without any connection to the service or its operations.","A distinction must be made between personal misconduct or misconduct detached from the service, which gives rise to personal civil liability on the part of the perpetrator."
OIC-005-05-A,What is disciplinary liability?,A violation of professional ethics,A breach of moral rules,An independent judicial decision,A temporary ban from practicing medicine for life,A violation of professional ethics
OIC-005-14-B,What is the main purpose of a safety barrier in healthcare?,To prevent errors and accidents from occurring,To reduce patient harm if an error does occur,To limit the consequences for patients if an error occurs,To improve compliance with regulations,c
OIC-005-03-A,What can be considered a civil liability for self-employed professionals and private healthcare establishments?,The management of patient complaints and therapeutic hazards.,Medical malpractice insurance claims.,Public health regulations.,Employment contracts with patients.,option_a
OIC-050-16-B,What is a characteristic feature of spermatic cord torsion?,Whirlpool sign in the inguinal region,Reduced or absent intra-testicular vascularization,All of the above,"Ascending testicle with heterogeneous echostructure, hypoechoic",a
OIC-050-14-A,What is the recommended age for treating phimosis in children?,3-4 years,2-3 years,0-1 year,The management of phimosis should not be considered until after 5-6 years of age.,a
OIC-050-07-B,What is the primary reason for performing orchidopexy in cases of testicular torsion?,To treat a uterine infection,To increase testosterone levels,To remove the spermatic cord from the scrotum,To relieve constipation,c
OIC-050-12-B,What is a common recommendation for managing undescended testicles?,Lowering of the testicle via an inguinal approach,Exploratory laparoscopy to locate the testicle,Intramuscular HCG injections,Lifelong monitoring by ultrasound and palpation only,Lowering of the testicle via an inguinal approach
OIC-050-11-B,What is the primary indication for imaging in adults with undescended testis?,Cryptorchidism,Tumors,Hormonal Imbalance,Family History,option_a
OIC-050-13-A,What is a common cause of phimosis in adults?,A. Untreated balanoposthitis,B. Poorly controlled diabetes,C. Lack of foreskin retraction,D. Traumatic injury to the penis,c
OIC-050-02-A,What is the primary difference between testicular torsion and necrotizing fasciitis?,Both conditions require immediate surgical intervention,"Testicular torsion develops after age 40, while necrotizing fasciitis affects fragile patients",The key to diagnosis lies in the presence of gas gangrene,Paraphimosis is a non-surgical emergency requiring only manual reduction and recalibration,b
OIC-050-09-B,What is the main indication for imaging in cases of suspected hydrocele?,To rule out a hernia,To diagnose testicular tumors,To confirm diagnosis and reveal an achogenic collection surrounding the testicle,To assess orchi-epididymitis,c
OIC-050-05-B,What is the primary diagnostic test used for genital-scrotal pathology in boys and men?,PCR of Chlamydia trachomatis and gonococcus on urine stream.,Blood cultures with or without antibiotics.,Scrotal ultrasound scan.,ECBU with antibiotic susceptibility test (which may be sterile).,d
OIC-050-15-A,What is the typical age range for spermatic cord torsion in males?,12-18 years,40 years and above,19-29 years,0-11 years,b
OIC-050-08-A,What is the typical age range for the diagnosis of communicating hydrocele in children?,2 years old,8 years old,6 months old,4 years old,b
OIC-050-04-A,What is the most common cause of orchiepididymitis in boys and men?,Urogenital infections (2C-161),Prostate adenoma (127),Chronic prostatitis,Instrumental or surgical maneuver,option_a
OIC-050-06-A,What is the correct antibiotic treatment for orchi-epididymitis in boys and men?,Ciprofloxacin,Levofloxacin,Doxycycline,Fluoroquinolone,option_b
OIC-050-01-A,What is the main difference between a painful enlargement of the bursae (torsion) and a painless enlargement of the bursae (hydrocele or cord cyst)?,"A painful enlargement of the bursae is due to torsion, while a painless one is due to hydrocele or cord cyst.","Painful enlargement of the bursae is due to torsion, while a painless one is due to hydrocele or epididymitis.","A painful enlargement of the bursae is due to orchio-epididymitis, while a painless one is due to phimosis and paraphimosis.","Painful enlargement of the bursae is due to testicular cancer or epididymitis, while a painless one is due to hydrocele or varicocele.",A painful enlargement of the bursae is due to torsion
OIC-050-10-A,What is the correct term for a testicle that cannot be palpated in the scrotum?,Ectopic testis,Undescended testis,Cryptorchidism,Elevated testis,b
OIC-076-17-B,What is the primary goal of hospital withdrawal in alcohol dependence?,To prevent relapse,To reduce symptoms,To increase tolerance,To eliminate cravings,option_d
OIC-076-20-B,What is a main goal for treating alcohol dependence?,To increase liver damage,To reduce brain fog,To improve physical strength,To promote weight loss,a
OIC-076-10-A,What is a major social complication that can arise from alcohol misuse?,Family Violence,Child Abandonment,Financial Debts,Warning of Alcohol Misuse,option_b
OIC-076-11-A,What is the primary indicator used by healthcare professionals to monitor alcohol dependence?,Blood Alcohol Level,GGT,VGM,CDT,option_a
OIC-076-07-A,What is the symptom that most commonly disappears within 7-10 days after stopping drinking?,Tremor,Insomnia,Nausea,Agitation,d
OIC-076-02-A,What is the primary difference between Low-Risk Use and High-Risk Use?,High-risk use includes both acute and chronic complications,High-risk use only includes high-level psychoactive substance consumption,"Low-Risk Use involves a lack of physical harm, while High-Risk Use is characterized by psychological harm",Harmful use refers to any level of psychoactive substance consumption that leads to dependence,option_b
OIC-076-04-A,What is the recommended minimum alcohol consumption per week for adults in France?,10 standard drinks,20 standard drinks,5 standard drinks,15 standard drinks,option_a
OIC-076-08-A,What is the primary difference between high and low doses of alcohol dependence?,"At high doses, there are no signs of hypoglycaemia.","At high doses, there are no depressant effects on cognition and behaviour.","At high doses, disinhibition increases.","At high doses, the brain is protected from alcohol toxicity.",option_c
OIC-076-05-A,"According to ICD-11, what is the minimum number of criteria required for a diagnosis of alcohol dependence?",3,4,5,6,b
OIC-076-06-A,What do you drink in a standard glass?,75 cL bottle,1 50 cL can,10 g pure alcohol,3 bottles of wine at 12°,c
OIC-076-15-A,What should be done to stop alcohol dependence?,Complete and supervised withdrawal,Gradually reduce consumption until low-risk use,Start with a comprehensive treatment plan including medication,Focus on self-help groups only,option_a
OIC-076-14-B,What is a key component of Early Identification and Brief Intervention (EIBI) for alcohol misuse?,A standard drink is defined as a single serving of beer or wine.,Brief interventions can only be delivered in groups of three people.,The primary goal of EIBI is to encourage the patient to increase their risk of developing dependence on alcohol.,Written documentation should include a detailed account of the patient's medical history.,option_a
OIC-076-18-B,What is the primary consideration when treating a patient with alcohol dependence who experiences a convulsive seizure?,Provide immediate intravenous vitamin B1 supplementation,Administer high-dose diazepam without tapering off over 7 to 10 days,Use long-term anticonvulsant treatment as soon as possible,Monitor the patient's vitals and hydration levels only,option_a
OIC-076-09-A,What is the most common psychiatric comorbidity associated with alcohol misuse?,Anxiety disorders,Bipolar disorder,Schizophrenia,Tobacco product addictions,b
OIC-076-03-A,What is the main difference between dependence and alcohol use disorder?,Alcohol use disorder is a mild condition,Dependence has more severe symptoms than alcohol use disorder,The two conditions are interchangeable terms,Alcohol use disorder is only used for moderate to severe dependence,b
OIC-076-12-A,What is the main general medical complication associated with long-term alcohol consumption?,Cancer of the upper aerodigestive tract,Hepatitis B and C,Osteoporosis,Gastroesophageal reflux disease,b
OIC-076-19-B,What is the primary objective of CSAPA?,Prevention,Addiction Treatment Structure,Social Welfare Group,Peer-Reviewed Journal Issue,option_a
OIC-076-16-A,What is a primary goal of motivational interviewing?,To increase physical activity,To reduce stress levels,To improve sleep quality,To enhance cognitive function,to increase physical activity
OIC-076-01-A,What is one key fact about the prevalence of alcohol consumption among the French population?,1 in 10,1 in 5,2 in 3,1 in 20,b
OIC-076-13-A,What is the primary focus of primary prevention of alcohol misuse?,Addressing early use,Reducing risk factors through education and awareness,Increasing tolerance for drinking,Encouraging social norms against excessive drinking,b
OIC-049-13-B,What is the main cause of Early Central Precocious Puberty (PP)?,Hypothalamic-Pituitary Gland,Ovarian Testicular Tumour,Cranial Irradiation,Meningitis or Encephalitis,option_a
OIC-049-08-B,What is the primary function of LH in puberty?,Testicular growth,Muscle development,Secondary sexual characteristic development,Gonadal maturation of sex hormones,d
OIC-049-12-B,What percentage of cases of central precocious puberty in girls are idiopathic? ,{ percentage },{ percentage },{ percentage },2%,b
OIC-049-07-B,What is a common factor that influences GnRH pulsatility during normal puberty?,Genetic variations,Environmental factors,Nutritional status,Intercurrent pathologies,b
OIC-049-16-A,When does delayed puberty typically occur?,After 16,Before 12,At birth,In girls only,B
OIC-049-15-B,What is a key difference between testosterone and oestradiol?,"Testosterone is measured in boys, while oestradiol has little contribution in girls.",Both are hormones produced by the ovaries,LH-RH/GnRH test stimulates both in puberty,Bone age assessment is not affected by early puberty,option_a
OIC-049-18-B,What hormone does a boy with simple pubertal delay have?,Oestradiol,Testosterone,Prolactin,TSH,b
OIC-049-05-B,When does the acceleration in statural growth rate occur?,Before puberty,During puberty,After puberty,In utero,b
OIC-049-11-A,What is the primary purpose of measuring Body Mass Index (BMI)?,To diagnose normal and pathological puberty,To predict which patient will thrive or struggle with a particular disease,To determine if an individual's weight is indicative of their muscle mass,To identify the optimal dosage for a medication,a
OIC-049-17-A,What is the most common reason for delayed puberty in girls?,Genetic factors,Hormonal imbalances,Environmental toxins,Family history of premature ovarian failure,b
OIC-049-02-A,What does 'premature pubarche' refer to?,A sudden increase in body hair,A small bump on the forehead,An early start of puberty,A small mole on the nose,c
OIC-049-24-B,What is the primary indication for imaging examinations in abnormal pubertal development?,Pelvic ultrasound,Brain MRI,Bone scan,Cardiovascular examination,option_a
OIC-049-25-A,What is the primary purpose of a pelvic ultrasound in pathological pubetry?,To diagnose ovarian tumors,To confirm estrogen levels in girls with early puberty,To assess bone development,To rule out uterine anomalies,option_b
OIC-049-01-A,At what age do breast development (Tanner stage S2) typically occur in girls?,8-10 years,9-11 years,12-14 years,15-17 years,b
OIC-049-14-B,What is the most common intracranial process causing Early Central Precocious Puberty (PP)?,Tumor: Neurofibromatosis type 1 (NF1),"Hydrocephalus, arachnoid cyst",Meningitis or encephalitis,Chiasma glioma,option_a
OIC-049-26-B,What does the term 'sesamoid' refer to in the context of bone age?,A structure within a joint that helps absorb shock,A type of muscle that assists in movement,A location on the wrist where bones meet at an angle,An abnormal growth pattern of the bones,c
OIC-049-03-B,What is the average height increase during normal puberty?,10-15 cm,5-8 cm,0-2.5 cm,20-25 cm,b
OIC-049-06-B,What is the main difference between male and female puberty?,Testicular volume grows first,Secondary sexual characteristics develop before puberty,Gonadal hormones are produced by the ovaries in females,Intercurrent pathologies affect LH secretion,option_b
OIC-049-19-A,What is considered a simple pubertal delay?,Congenital and Genetic,Hypogonadotropic hypogonadism,Klinefelter Syndrome,"45,X",option_a
OIC-049-04-B,What is the correct progression from S1 to S5 in breast development?,S2,S3,S4,S5,b
OIC-049-10-A,What is the primary indicator for identifying precocious puberty in parents?,Family or personal history of IUGR,Analysis of growth rate (growth curve),Parental heights with calculation of genetic target height,Age at menarche of mother,option_a
OIC-049-09-A,What are the definitions of precocious and advanced puberty?,Breast development before 8 in girls or testicular volume before 9 in boys,"Breast growth at an older age, breast maturity at a younger age",Normal pubertal changes at an earlier age,Advanced puberty is defined by premature growth spurts,option_a
OIC-347-04-A,What is the main feature of acute urinary retention?,Suprapubic pain,Urine leakage,Inability to urinate despite bladder repletion,Fever and haematuria,c
OIC-347-01-A,What is the main cause of acute urinary retention in a woman with severe genital prolapse?,Benign prostatic hypertrophy,Gastric cancer,Fecal impaction,Endovesical clotting,b
OIC-347-10-B,What is the primary difference between bladder catheterisation and suprapubic catheterisation?,Bladder catheterisation allows for haematuria treatment,Suprapubic catheterisation does not allow haematuria treatment,Both methods have similar disadvantages,Neither method has a clamping test,b
OIC-347-09-A,What should be done in the event of fever associated with acute urinary retention?,Increase fluid intake,Use pain medication only,Investigate prostatitis,Hospitalize patient immediately,c
OIC-347-07-A,What should you do if symptoms persist?,Perform additional tests,Monitor for changes in urine color,Try pelvic floor exercises,Wait until the symptoms resolve on their own,a
OIC-347-05-B,What is a common clinical presentation for acute urinary retention in elderly patients?,Confusional syndrome,Painful bladder spasms,Autonomic hyper-reflexia,Diabetes-induced bladder overactivity,option_a
OIC-347-11-A,What should be done immediately after a patient's catheter is inserted?,Monitor and treat obstruction lifting syndrome with hourly monitoring of diuresis and intravenous fluid compensation,Apply heat to increase urine flow,Clamp every 500ml to prevent vacuum haemorrhage,Use a different type of catheter for urinary retention,option_a
OIC-347-02-B,What is a common cause of acute urinary retention?,Abnormal detrusor muscle function,Muscle relaxation in the bladder neck,Nerve damage to the urethra,A sudden increase in intracranial pressure,option_a
OIC-347-08-A,What is the main indication for carrying out additional tests after bladder drainage?,Creatininemia,"Blood ionogram (hyperkalaemia, hyponatraemia, acidosis)",Upper urinary tract ultrasound (to look for dilatation),Systematic ECBU,a
OIC-347-03-A,What is a common cause of acute urinary retention in men?,Benign prostatic hyperplasia,Prostatitis,Lithiasis,Constipation,a
OIC-347-06-A,What is the main difference between acute urine retention and anuria?,"Acute urine retention occurs when the urethra is blocked, while anuria occurs when the kidneys stop producing urine.",Both conditions cause a patient to feel pain in their lower abdomen.,"Anuria requires treatment with antibiotics, while acute urine retention does not.","Acute urine retention typically involves bladder distension and discomfort, whereas anuria is characterized by constipation.",option_a
OIC-257-08-A,What should be done with patients who develop hyponatremia during treatment with loop diuretics?,Restrict sodium intake to prevent further dilution of serum sodium.,Increase fluid intake and monitor urine output closely for signs of hyponatremia.,Add thiazides to the treatment regimen as an alternative therapy in patients with severe renal impairment.,Monitor urine sodium levels and adjust diuretic doses accordingly.,b
OIC-257-01-A,What is the primary difference between localized and generalized lower limb oedema?,Generalized oedema requires an underlying medical condition.,Localized oedema can be treated with exercise alone.,Localized oedema typically causes pain in the affected limb.,Localized oedema is a sign of poor circulation.,option_a
OIC-257-06-A,What is the primary sign of cardiac oedema?,Increased BNP or NT-proBNP concentration,Decreased sodium levels in the blood,Hypotension,All of the above,option_a
OIC-257-03-B,What is the primary mechanism of edema formation in nephrotic syndrome?,Decrease in plasma oncotic pressure,Renal Insufficiency,Overfilling of the glomeruli with fluid,Effective hypovolemia,b
OIC-257-05-A,What is the most common cause of localized oedema?,Thrombophlebitis,Venous insufficiency,An inflammatory pathology,Lymphatic obstruction,option_a
OIC-257-07-A,What is a common underlying cause of localized edema in the lower limbs?,Hypothyroidism,Anemia,Diabetes Mellitus,Pregnancy and Hypertension,b
OIC-257-02-B,What is the primary cause of locally caused oedema?,An increase in venous pressure,A lymphatic obstacle,Inflammatory mediators modifying capillary permeability,Dihydropyridine-type anti-calcic agents,option_a
OIC-299-06-B,What is the primary purpose of using MRI in the assessment of adult intracranial tumours?,To identify the location and nature of contrast,To determine the likelihood of acquiring multimodal images,To confirm a diagnosis with histological examination,To improve accessibility,c
OIC-299-07-A,What is the typical imaging modality used to detect primary brain cancer when there are cerebral metastases?,Magnetic Resonance Imaging (MRI),Computed Tomography (CT) scan,Fluorodeoxyglucose PET scanner (18F),Ultrasound,option_a
OIC-299-03-B,What is the main histological type of brain tumour that characteristically presents with a 'comet tail' sign on MRI?,Glioblastoma,Astrocytoma,Pituitary Adenoma,Meningioma,a
OIC-299-02-A,What is the main difference between primary brain tumours and primary adnexal tumours?,Primary brain tumours are typically slow-growing.,Both types of tumours can be benign.,"Primary brain tumours are usually malignant, while primary adnexal tumours are generally non-malignant.",Primary brain tumours are the only type of tumour that requires surgical removal.,c
OIC-299-01-A,What is the term for a tumour that develops outside of the brain?,Extra-parenchymal Tumour,Intra-ocular Tumour,Cryptoblastoma,Pituitary Adenoma,option_a
OIC-299-09-B,What is the primary goal for patients with intracranial tumours who develop epilepsy?,To manage HTIC without surgical intervention,To use new-generation drugs that are effective against focal seizures and do not induce enzymes,To perform a resection surgery to remove the tumour,To increase the dose of corticosteroid therapy,option_a
OIC-299-04-B,What is the origin of Schwannoma?,Nerve,Central nervous system,Olfactory nerve,Schwann cells of peripheral nerves,c
OIC-299-05-A,What is the most common clinical picture that suggests an intracranial tumour?,Increased intracranial pressure leading to headache and nausea,Focal neurological deficits such as homonymous lateral hemianopia and contralateral hemiparesis,Epilepsy with generalised seizures and hypersecretion of hormones from the sellar region,"Psychic slowing down, vigilance disorders and cerebral involvement leading to death",option_a
OIC-299-08-A,What are the two main emergencies that can occur in a patient with an intracerebral tumour?,Epilepsy,Intracranial Hypertension (HTIC),Status Epilepticus,Tumour Lysis Syndrome,b
OIC-010-03-B,Which statement about the relationship between medicine and bodily experience is correct?,Medicine reduces the subjective experience of the body to its objective symptoms.,"The medical gaze focuses on the external, observable aspects of the body.",Both the subject's body and the objectified body are reduced to their individual characteristics in a reductionist way.,Medical language can be used to describe both the subjective experience and the objective symptoms of illness.,d
OIC-010-02-B,What is one type of illness that can alter a patient's sense of identity?,A terminal illness,A chronic illness,A traumatic injury,A genetic disorder,a
OIC-010-01-A,What are some ways in which cultural norms influence our understanding of what constitutes a healthy body?,Eating foods that are rich in nutrients,Engaging in regular physical exercise,Following traditional beauty standards,Participating in social activities around food and drink,option_a
OIC-026-03-A,What is a common emergency situation related to acute abdominal pain in pregnant women?,Taking the temperature,"Abdominal palpation, lumbar fossa",Vaginal examination/speculum: cervical changes/loss of fluid,Urine dipstick analysis,option_a
OIC-026-05-B,What is a safe dose of radiation during pregnancy?,100 mGy,200 mGy,< 10 mGy,1000 mGy,c
OIC-026-01-B,What is the typical ultrasound finding for Retroplacental Haematoma?,Ultrasound not useful for diagnosis,1/3 pre-eclampsia with proteinuria (SD-212) and/or hypertension (SD-053), Ultrasound shows a solid mass within the uterus,Ultrasound does not show any abnormalities,option_c
OIC-026-02-A,What is the most likely cause of acute abdominal pain in a pregnant woman?,Threat of Premature Delivery,Appendicitis,Gastrointestinal Blockage,Uterine Aseptic Necrobiosis,a
OIC-201-08-B,What is the main class of immunosuppressive drug that targets T lymphocytes?,Depletion of circulating T lymphocytes with polyclonal antibodies,Inhibitors of lymphocyte activation with calcineurin inhibitors,Inhibitors of lymphocyte proliferation with basiliximab,Purine base inhibition with azathioprine and mycophenolic acid,option_a
OIC-201-01-A,"What type of organ donation allows the majority of donors, with brain death being the most common?",Brain Death,DCAD,Living Donors,Uncontrolled Cardiac Arrest,A
OIC-201-10-A,What is the main ethical principle governing organ donation in France?,Presumed consent,Free donation,Anonymity between donor and recipient,Social protection of donors,option_a
OIC-201-06-A,What is the definition of encephalic death?,A reversible condition that requires treatment,The complete loss of consciousness without any brain activity,A temporary state that can be reversed with medical intervention,A normal part of aging and development,b
OIC-201-05-A,What is the primary principle of organ procurement?,Free donation,Presumed consent,Gratuity,Anonymity between donor and recipient,b
OIC-201-03-B,What is the main rule for organ transplant compatibility?,HLA matching between donors and recipients,Matching based on blood type or tissue group only,Donor and recipient are always incompatible by default,Cross-match test is not performed before transplantation,option_a
OIC-201-07-B,What is the primary criterion to diagnose brain death?,Total absence of spontaneous activity,Total absence of respiratory activity,Cerebral angiography showing cessation of blood flow,Two null and reactive electroencephalograms for 30 minutes performed on both sides,option_a
OIC-201-04-B,What is the main purpose of the Biomedicine Agency in organ transplantation?,To manage the national list of patients awaiting transplantation.,To promote organ donation.,To evaluate medical activities of transplantation teams.,To award organs to recipients based on criteria such as waiting time and urgency.,option_a
OIC-201-09-B,What is the hallmark of encephalic death?,Total absence of spontaneous motor activity,Spontaneous resuscitation,Prolonged coma with no improvement,Total loss of consciousness and spontaneous breathing,d
