id,question,option_a,option_b,option_c,option_d,correct_option,batch,model_answer,model_answer_val
OIC-258-12-B,"What additional tests should be carried out when creatinine levels are elevated, presumed to be of parenchymal origin?",Protein electrophoresis,24-hour proteinuria,Imaging studies,Genetic investigations,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-258-10-B,What additional examination should be carried out to confirm functional renal failure when creatinine levels are presumed to be of functional origin?,Urine sodium level > 30 mmol/L,Low urine osmolality (< 1.5 mOsm/kg),High urinary potassium level (> 10 mmol/L),No urinary reabsorption of urea (< 20%),d,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-258-01-A,What is a normal creatinine level?,Between 40 and 70 µmol/L,Below 30 µmol/L,Above 120 µmol/L,Within the range of 100 to 130 µmol/L,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-258-06-A,What is an argument in favor of acute renal failure?,Normal-sized kidneys,"Recent rise in creatinine levels, within a few days or weeks",Kidney stones,Hormonal imbalance,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-258-05-A,What are the arguments in favor of chronic renal failure?,A history of kidney disease,Increased blood pressure,Hypertension is a risk factor for chronic renal failure.,Kidney stones can cause acute kidney injury leading to chronic renal failure.,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-258-03-B,What is the correct formula for estimating renal creatinine clearance?,Ccr = [(140 - age (years)) × weight (kg)] × k / Creatininemia (µmol/L),GFR (ml/min/1.73m²) = height (cm) × 36.5 / Creatinine (µmol/L),(140 - age (years))^2 × weight (kg) / Creatininemia (µmol/L),Creatinine clearance is calculated using the formula: GFR (ml/min/1.73m²) = height (cm) × 36.5 / Creatinine (µmol/L),a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-10-B,What is the main cause of hyperprolactinemia in pregnancy?,Breast-feeding,Prolactinoma,Thyroid disorders,Hormonal fluctuations during menstruation,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-05-B,What is the primary cause of secondary amenorrhea of uterine origin?,Pregnancy,Hormonal Imbalance,Uterine Infection,Genital Tuberculosis,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-09-B,What is the main etiology of functional hypothalamic amenorrhea?,Malnutrition,Eating disorders,General illness,Amenorrhoea itself,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-042-07-B,What is a common cause of gonadotropic insufficiency in amenorrhoea?,Hypothalamic-pituitary necrosis,Adenoma of the pituitary gland,Congenital hypogonadotropic hypogonadism,Functional hypothalamic amenorrhoea (FHA),d,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-042-04-B,"What is the best-known cause of Müllerian agenesis with a 46,XX karyotype?",Mayer-Rokitansky-Küster-Hauser (MRKH) syndrome,Congenital adrenal hyperplasia,Complete androgen insensitivity syndrome,Congenital hypothyroidism,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-03-A,What is the most common cause of primary or secondary amenorrhea?,Pregnancy,Polycystic ovary syndrome (PCOS),Functional hypothalamic amenorrhea,Premature ovarian failure (POF),b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-02-B,What is the primary function of inhibins A and B?,To stimulate GnRH secretion,To inhibit LH secretion,To regulate FSH levels,To suppress gonadotropin production,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-06-B,What is a common underlying cause of premature ovarian failure?,Genetic mutations,Autoimmune disorders,Radiation therapy,Hormonal imbalances,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-08-B,What is the primary cause of amenorrhoea with hyperandrogenism in women?,Hormonal imbalance,Ovarian cysts,PCOS (Polycystic Ovary Syndrome),Thyroid disorders,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-042-01-A,What is the duration of menstrual cycles in normal women?,25-30,35-40,45-50,60-65,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-328-06-B,What is the main difference between Immobilisation and Stabilisation orthoses?,"Immobilisation orthoses are designed to immobilise a joint, while stabilisation orthoses aim to improve joint function.","Stabilisation orthoses are used for post-surgical rehabilitation, while immobilisation orthoses are used for acute injuries.",Both types of orthoses can be used for both immobilisation and stabilisation purposes.,"Immobilisation orthoses are only used for lower limb support, while stabilisation orthoses are used for upper limb support.",a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-328-12-B,What is the main indication for a spa treatment?,Rheumatology,Respiratory tract diseases,Cardio-Arterial Diseases,Diseases of the Digestive System and Metabolic Diseases,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-328-05-A,What is the primary objective of orthotic treatment?,Downtime,Rest,Stabilization,Correction,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-328-08-A,What is a common component of a femoral prosthesis?,A sleeve that slips over the residual limb,A socket that accommodates both the sleeve and the residual limb,An intermediate effector that connects the articular and non-articular pieces,The foot of a prosthetic device,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-328-02-A,What is a non-drug therapy or medical device?,A product obtained through pharmacological means,An instrument used for diagnostic purposes only,"Any material, including accessories, used alone or in combination with human products to treat or prevent disease",A software application designed to monitor patient health data,c,batch1,"{ ""answer_option"" : ""C""}",c
OIC-328-07-B,What is the primary purpose of prescribing orthoses?,To treat musculoskeletal disorders,To improve posture,To enhance athletic performance,To reduce pain and discomfort,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-328-04-B,What is the main difference between a medical device and an appliance?,"A medical device is used to treat a specific condition, while an appliance is used for general support.","A medical device can be prescribed by any doctor, while an appliance requires a specialist prescription.","Both medical devices and appliances are available on the LPPR with reimbursement at 60% or 100%, respectively.","A medical device is made from standard thermoplastic, while an appliance is made from low-temperature thermoplastic.",a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-328-10-B,What is the main purpose of a **Ventilatory equipment**?,To breathe for patients with sleep apnea,To treat respiratory conditions such as myopathy and tetraplegia,To provide bladder emptying assistance to patients with neurological bladder,To assist in transfer from a wheelchair to a bed,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-328-09-A,What is the main difference between custom-made orthopedic shoes and standard therapeutic footwear?,"Custom-made orthopedic shoes are typically prescribed for neurological conditions, while standard therapeutic footwear is suitable for trophic disorders.","Standard therapeutic footwear is used to treat edema, while custom-made orthopedic shoes are designed for neurological pathology.",Both types of footwear are reimbursed at 60% by any doctor.,"Custom-made orthopedic shoes protect the toes from injury, while standard therapeutic footwear provides support and stability.",a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-328-03-B,What is the main difference between a hospital stay charge (GHS) and an LPPR tariff?,"A hospital stay charge covers all medical devices used during the hospital stay, regardless of their type",An LPPR tariff only covers medical devices that are not included on the 'extra' list,"Both GHS and LPPR tariffs cover all medical devices used in hospitals, including those not on the 'extra' list","A hospital stay charge is only covered for procedures performed during a hospital stay, while an LPPR tariff covers individual use of medical devices regardless of the context",c,batch1,"{ ""answer_option"" : ""C""}",c
OIC-328-01-A,What is the primary indication for non-drug therapies?,To treat a specific disease,To improve physical function,To enhance mental well-being,To manage chronic pain,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-328-11-A,What is the correct procedure for prescribing a wheelchair in the case of SDD-031?,"Purchase or rental, covered by the health insurance scheme","Trial to ensure suitability and safety, conducted by a PRM doctor along with a physiotherapist or occupational therapist","Prescription only, without trial certificate",Subject to prior agreement with health insurance; additional financing possible by the MDPH and prescription only for non-medical purposes only.,a,batch1,"{ ""answer_option"" : ""B""}",b
OIC-269-07-A,What is the primary purpose of performing a CBC (Complete Blood Count) test when presenting with acute abdominal pain?,To check for signs of dehydration,To confirm the presence of an infectious/inflammatory syndrome,To look for electrolyte imbalances in the blood,To rule out a cardiac condition,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-269-01-A,What should you look for to confirm abdominal pain in infants?,A thorough medical history,The position of the infant's body,A complete physical examination on an undressed child,Only crying and screaming are relevant symptoms,c,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-269-02-A,What is the most common life-threatening aetiology of acute abdominal pain in infants and children before 1 month?,Strangulated inguinal hernia,Small bowel volvulus,Ulcerative colitis (premature),Hirschsprung's disease,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-269-05-A,What is a common symptom of acute intestinal intussusception?,Abdominal swelling,Constipation,Refusal to eat due to abdominal pain,Diarrhea,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-269-09-A,What is the main difference between biliary colic and acute pancreatitis?,"Biliary colic typically occurs due to gallstones, whereas acute pancreatitis is caused by inflammation of the pancreas.",Both are acute abdominal conditions with similar symptoms,"Biliary colic usually has a more localized pain in the right upper quadrant, while acute pancreatitis can have widespread abdominal pain.","The main difference between biliary colic and acute pancreatitis is that biliary colic typically occurs due to gallstones, whereas acute pancreatitis is caused by inflammation of the pancreas.",a,batch1,"{ ""answer_option"" : ""D"" }",d
OIC-269-08-A,What is a common indication for imaging examinations in adults with acute abdominal pain?,Gastrointestinal bleeding,Intra-abdominal infectious focus,Respiratory distress,Mesenteric infarction,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-269-06-A,What is a characteristic feature of visceral pain in adults?,Radiation,Type,Intensity,Factors Modifying Intensity,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-269-04-A,What is the most common emergency condition that requires immediate medical attention in children?,Inguinal hernia,Constipation,Hypertension,Gastrointestinal obstruction,d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-269-03-A,What test should be performed on children with acute abdominal pain?,Ultrasound,CT Scan,Blood Test,MRI Scan,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-05-A,What is the main purpose of the General Scheme in France?,To provide universal coverage of the population,To manage the risks of salaried workers only,To cover all types of social security risks,To create a new branch for loss of autonomy and disability,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-12-A,What is the main purpose of setting up an ALD (Alzheimer's Disease) care protocol?,To provide direct access to specialists for patients with Alzheimer's disease,To set a specific diagnosis and treatment plan for patients with Alzheimer's disease,To exempt patients from co-payment for care related to Alzheimer's disease,To establish a system of reimbursement for expenses related to Alzheimer's disease care,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-08-A,What is the main difference between the agricultural scheme (MSA) and the general Social Security scheme?,"The MSA covers 5% of the French population, while the general scheme covers 88%.","The MSA is managed by the Mutualité Sociale Agricole (MSA), whereas the general scheme is managed by the General Social Security Administration (AGS)",The agricultural scheme has a higher ratio of contributors to beneficiaries compared to the general scheme.,The agricultural scheme is more closely aligned with the Régime Général in terms of retirement and health insurance benefits.,b,batch1,"{ ""answer_option"" : ""B""}",b
OIC-019-04-B,What is the primary source of funding for social protection in France?,Employer contributions,Earmarked taxes,State public contributions,Transfers of tax resources,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-10-A,What is the main purpose of the 'ticket modérateur'?,To reduce healthcare costs,To increase healthcare spending,To regulate healthcare consumption by making patients financially responsible,To provide financial assistance to those who cannot afford healthcare,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-07-B,What is the main purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To regulate health insurance expenditure,To set a minimum amount for public and private establishments,To monitor the effectiveness of healthcare services,To provide financial incentives to reduce overspending,a,batch1,"{ ""answer_option"" : ""a""}",a
OIC-019-13-B,What is the main difference between cash benefits and benefits in kind in health insurance?,"Cash benefits are provided for illness, maternity, or accident at work, while benefits in kind cover all healthcare costs incurred as a result of these events.","Benefits in kind only cover medical expenses related to pregnancy, childbirth, and postnatal care, while cash benefits provide replacement income for employees who are off work.","Cash benefits are provided by the health insurance scheme on a daily basis, while benefits in kind are reimbursed on an annual basis.","Benefits in kind only cover costs incurred with the application of a co-payment, whereas cash benefits do not have such a limit.",a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-03-B,What percentage of France's Gross Domestic Product (GDP) accounted for social protection benefits in 2020?,35%,40%,45%,50%,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-019-02-A,What is the main purpose of social protection benefits in France?,To provide direct financial support to individuals,To fund healthcare services for all citizens,To offer subsidies to households struggling with rent and loan repayments,To pay pensions directly to individuals,a,batch1,"{ ""answer_option"" : ""a""}",a
OIC-019-11-A,Who is responsible for managing the medical file?,The insured person or entitled person,The health insurance organization,The attending physician,The social protection organization,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-06-B,What is the main purpose of the Social Security Financing Act?,To control social spending,To increase healthcare costs,To regulate medical consumption,To provide financial protection for vulnerable groups,d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-09-A,What is the main mission of the General Social Security System?,To pay for medical expenses,To provide health insurance to all citizens,To control healthcare expenditure,To improve the efficiency of the healthcare system,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-019-01-A,What is the main difference between social protection and health insurance?,"Social protection focuses on financial security, while health insurance focuses on medical treatment.","Health insurance covers a wide range of medical expenses, including dental care, while social protection only covers basic necessities like food and shelter.","Both social protection and health insurance aim to provide financial assistance in case of illness or injury, but social protection is more comprehensive and universal.","Social protection is based on solidarity among individuals, while health insurance is based on individual contributions.",c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-01-A,What is a common cause of acute soft tissue infection in the hand?,A bacterial infection,A viral infection,A fungal infection,A genetic predisposition,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-349-12-A,What is a common misconception about managing abscesses and panaris?,The patient's occupation should be avoided until they are cured to avoid collective contamination.,Antibiotics can be prescribed for all cases of abscesses and panaris.,Meshing or drainage is performed in deep abscesses.,Dakin is a suitable antiseptic solution for treating panaris.,a,batch1,"{ ""answer_option"" : ""a""}",a
OIC-349-10-A,What is a characteristic feature of a phlegmon in the sheath?,"A warm, swollen finger that is painful to move","A cold, stiff finger that is painful to move",A painless finger with no swelling,A painless finger with a sudden onset of stiffness,a,batch1,"{ ""answer_option"" : ""A""}",a
OIC-349-03-A,What bacteria are most commonly associated with acute soft tissue infections?,Streptococcus pyogenes,Haemophilus influenzae,Escherichia coli,Staphylococcus aureus,d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-09-A,What is the main difference between an abscess and panaris?,"Abscesses occur in deeper tissues, while panaris occur in superficial tissues.","Panaris are more common on the fingers than hands, while abscesses can occur anywhere.",Both abscesses and panaris require imaging tests to confirm diagnosis.,"Abscesses are caused by bacterial infections, while panaris are caused by viral infections.",a,batch1,"{ ""answer_option"" :""A"" }",a
OIC-349-13-A,What is the primary goal of surgical management for a phlegmon of the sheaths?,To remove the source of infection,To treat only the symptoms,To increase blood flow to the affected area,To reduce swelling in the hand,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-02-A,What is the main characteristic of an abscess?,A localized accumulation of pus in a cavity due to infection,A collection of dead tissue that has been repressed by surrounding tissue,An inflammation of the sheath space where tendons run,A type of soft tissue infection centered on a hair on the back of a phalanx,a,batch1,"{ ""answer_option"" : ""A""}",a
OIC-349-11-A,What is the main criterion for determining hospitalization in acute soft tissue infections?,Fever,Tachycardia,Rapid evolution kinetics,Desaturation of vital signs,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-04-B,What type of bacteria is commonly found in cat and dog bites?,Staphylococcus aureus,Pasteurella multocida,Bacillus anthracis,Clostridium difficile,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-07-B,What is the typical progression of an acute soft tissue infection?,Asymptomatic,Waking up at night,Fistulisation and spread to surrounding tissues,Evolution into a chronic condition,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-05-B,What is the primary mode of inoculation for acute soft tissue infections?,Blood-borne,"Secondary to a wound, penetrating trauma, or bite",Airborne,Direct Inoculation,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-08-A,What is the most common complication of acute soft tissue infection?,Fistulisation,Spread of Infection to the lungs,Amputation,Functional Prognosis,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-349-06-B,Where are the most common sites for acute soft tissue infections?,Skin and subcutaneous tissues,Muscles and tendons,Nerves and blood vessels,Bone and joints,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-283-02-A,What is considered chronic constipation?,Fewer than 3 bowel movements per week,"A combination of fewer than 3 bowel movements per week, exaggerated efforts to push, known as dyschezia, and a feeling of incomplete evacuation","A combination of fewer than 3 bowel movements per week, a feeling of complete evacuation, and a lack of stool","A combination of a feeling of complete evacuation, a lack of stool, and a sudden onset of diarrhea",b,batch1,"{ ""answer_option"" : ""A""}",a
OIC-283-06-B,What is the main difference between idiopathic constipation and secondary constipation?,"Idiopathic constipation involves a slowdown in colonic transit, while secondary constipation is caused by an organic disease.","Secondary constipation is linked to an organic cause, whereas idiopathic constipation has no underlying medical condition","Both conditions can coexist, and the main difference lies in their etiology",Idiopathic constipation is more common than secondary constipation,b,batch1,"{ ""answer_option"" : ""B"" }",b
OIC-283-01-B,What percentage of pediatric consultations are due to constipation?,2%,10%,5%,20%,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-283-05-A,What is the primary mechanism of constipation in adults?,Muscle relaxation,Hormonal imbalance,Dysfunction of the rectoanal inhibitory reflex,Obstruction of the large intestine,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-283-07-A,What is the recommended amount of water to drink daily for adults?,25g,50g,1000ml,2000ml,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-283-09-B,What is the primary goal of treating constipation in children?,To increase bowel movements,To reduce stool hardness and frequency,"To break the cycle of hard stools, pain, and retention",To treat underlying psychological conditions,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-283-04-B,When should a colonoscopy be offered to someone with chronic constipation?,If they are over 50 years old,In the absence of warning signs,Only if there is a family history of colon cancer,To diagnose Hirschprung's disease in children,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-283-08-B,What is the main complication associated with anal fissures in children?,Relief from pain,Increased risk of rectal prolapse,Encopresis,Constipation in adults only,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-283-03-B,What is a common mechanism contributing to functional constipation in children?,Lack of water intake,Excessive fiber intake,Hypertension of the anal sphincter,Constipation of the rectal ampulla,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-02-A,What is the primary cause of bacterial sinus infections in adults and children?,Dental route,Barotrauma,Viral rhinopharyngitis,"Pneumococcus, Streptococcus, Haemophilus influenzae, Moraxella catarrhalis, Staphylococcus",b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-03-A,What is the main criterion for diagnosing acute maxillary sinusitis?,Persistence or increase in nasal congestion despite symptomatic treatment,Type of pain: unilateral and/or increased by tilting the head forward,Fever > 3 days,Nasal obstruction and/or sneezing and/or pharyngeal discomfort and/or coughing > 10 days,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-09-A,What is the primary treatment for acute ethmoiditis in children and infants?,Hospitalisation without imaging,Broad-spectrum parenteral antibiotic therapy with surgical drainage,Monitoring only with a fever chart,Surgical intervention without imaging or antibiotics,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-01-A,What is the primary difference between acute rhinitis and acute pharyngitis?,Acute pharyngitis typically causes a unilateral nasal discharge.,Both conditions are highly contagious and occur mainly in autumn and winter.,"The intensity of symptoms varies from person to person, while the duration is generally shorter for acute rhinitis.",Pneumatisation of the sinuses occurs progressively in children.,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-10-B,What is a common indication for an imaging examination in adults with acute nasosinus infections?,A nasal endoscopy to diagnose ethmoiditis,A dental panoramic X-ray to rule out dental causes of sinus infection,A CT scan of the sinuses to screen for complications,An oral examination by a dentist to assess dental health and potential causes of sinus infection,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-148-07-A,What is the recommended treatment for acute rhinitis in adults?,Antibiotics,Saline solution,Non-steroidal anti-inflammatory drugs (NSAIDs),Corticosteroids,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-06-A,What is a characteristic feature of acute ethmoiditis in infants?,Low fever,High fever,"Painful unilateral palpebral oedema with effacement of the medial canthus, opening remains possible",No examination is required at this stage,c,batch1,"{ ""answer_option"" : ""a""}",a
OIC-148-13-A,What is a common warning sign of orbital (acute ethmoiditis) complications in adults?,Excessive tearing,Reduced visual acuity,Increased salivation,Hypertension,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-04-A,What is the typical duration of symptoms for nasosinus infections in adults and children?,Less than 2 days,More than 7 days,10 to 15 days,Never,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-05-A,What is the typical age range for diagnosing allergic rhinitis?,6 months,3 years,1 year,2 years,b,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-148-14-B,What is a common cause of chronic sinusitis in adults?,Inadequate use of nasal decongestants,A viral infection,An allergic reaction to food,A bacterial infection such as streptococcus or staphylococcus,d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-11-B,When to sample nasosinus cultures?,In cases where patients are not responding to antibiotics,In cases with a history of chronic rhinosinusitis,Only in the event of severe nasal discharge,In all cases of acute sinusitis,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-148-08-A,What is the primary purpose of using amoxicillin-clavulanic acid for maxillary sinusitis?,To treat acute purulent maxillary sinusitis,To reduce inflammation in the sinuses,To increase the risk of infections,To relieve symptoms such as pain and congestion,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-09-B,What is the primary method for diagnosing scabies?,Scraping skin lesions with a microscope,Using a light source to see lice,Examining skin samples under a microscope,Wearing gloves and using a magnifying glass,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-03-B,What is the primary mode of transmission for Scalp Pediculosis?,Direct contact with an infected person,Indirect contact through contaminated clothing or bedding,Airborne transmission from an infected insect,Waterborne transmission from a contaminated water source,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-11-A,What should you do with bedding in cases of pediculosis?,Wash it at 60°C,Leave it out for 3 days after treatment,Use an anti-lice comb to treat newly hatched nymphs,Shave the affected hair area,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-13-B,What is a common cause of failure in the treatment of scabies?,Insufficient application of the product,"Poor compliance due to lack of understanding, ignorance, or negligence",The cost of certain treatments,Re-infestation from untreated contacts or from the environment,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-05-B,What are some atypical signs of scabies?,Lesion-free forms,Bullous forms,"Forms with maculo-papular, vesiculo-papular, or nodular rashes",,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-08-A,What is the primary reason for testing for scabies or pediculosis?,To diagnose scabies,To diagnose pediculosis,To search for other STIs,To treat a skin condition without a diagnosis of scabies or pediculosis,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-02-B,What is the primary antigen responsible for triggering an immune reaction in scabies?,Sarcoptes scabiei saliva,Mites' eggs,Mites' excrement,Antibodies,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-04-A,What is the primary symptom of scabies?,Intense itching,Itching that worsens at night,A burning sensation,No symptoms at all,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-171-14-B,What is the recommended approach when managing two cases of scabies occurring less than six weeks apart in the same community?,Develop a comprehensive treatment plan for both patients,Implement a 'scabies-only' policy for all new admissions,Conduct a thorough investigation into the cause of the outbreak before implementing any measures,Only isolate patients with severe scabies symptoms,a,batch1,"{ ""answer_option"" : ""A"" }",a
