id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-099-01-B,"{""question"": ""What percentage of adults worldwide have had at least one headache in the previous twelve months?"", ""option_a"": ""25%"", ""option_b"": ""50%"", ""option_c"": ""75%"", ""option_d"": ""90%"", ""correct_option"": ""b""}",Epidemiology,What percentage of adults worldwide have had at least one headache in the previous twelve months?,25%,50%,75%,90%,b
OIC-284-06-B,"{""question"": ""What is the typical age range for colonoscopy indications?"", ""option_a"": ""50 and above"", ""option_b"": ""60 and above"", ""option_c"": ""70 and above"", ""option_d"": ""None of the above"", ""correct_option"": ""option_a""}",Additional examinations,What is the typical age range for colonoscopy indications?,50 and above,60 and above,70 and above,None of the above,option_a
OIC-223-09-A,"{""question"": ""What is the recommended LDL-cholesterol target for patients with familial hypercholesterolaemia?"", ""option_a"": ""1.35 g/L"", ""option_b"": ""1.3 g/L"", ""option_c"": ""1.8 g/L"", ""option_d"": ""2.6 g/L"", ""correct_option"": ""1.35 g/L""}",Management,What is the recommended LDL-cholesterol target for patients with familial hypercholesterolaemia?,1.35 g/L,1.3 g/L,1.8 g/L,2.6 g/L,1.35 g/l
OIC-336-01-A,"{""question"": ""What is the primary criterion for determining consciousness in coma patients?"", ""option_a"": ""A) Presence of eye movements and spontaneous alternation between opening and closing of the eyes."", ""option_b"": ""B) Absence of verbal response to verbal stimulation."", ""option_c"": ""C) Presence of an old-sleep rhythm (spontaneous alternation between opening and closing of the eyes)."", ""option_d"": ""D) Demonstration of awareness of the environment."", ""correct_option"": ""C""}",Definition,What is the primary criterion for determining consciousness in coma patients?,A) Presence of eye movements and spontaneous alternation between opening and closing of the eyes.,B) Absence of verbal response to verbal stimulation.,C) Presence of an old-sleep rhythm (spontaneous alternation between opening and closing of the eyes).,D) Demonstration of awareness of the environment.,c
OIC-070-05-A,"{""question"": ""What is the characteristic symptom of atypical depression?"", ""option_a"": ""Pain"", ""option_b"": ""Gastrointestinal symptoms"", ""option_c"": ""Sleep problems"", ""option_d"": ""Cognitive complaints"", ""correct_option"": ""option_c""}",Positive diagnosis,What is the characteristic symptom of atypical depression?,Pain,Gastrointestinal symptoms,Sleep problems,Cognitive complaints,option_c
OIC-336-08-A,"{""question"": ""What is the correct answer to the question: Check for the presence of non-gas respiratory movements and a central pulse (MCE if absent) in a patient with a coma?"", ""option_a"": ""Check for signs of respiratory distress"", ""option_b"": ""Check for Glasgow score < 8 (loss of airway protection)"", ""option_c"": ""Check for blood glucose below 3 mmol/L"", ""option_d"": ""Check for unilateral mydriasis with decerebrate motor response (stereotyped extension) on the same side during temporal involvement if progressing to central involvement, pulse and blood pressure lability, respiratory pauses, cardiorespiratory arrest."", ""correct_option"": ""option_c""}",Emergency identification,What is the correct answer to the question: Check for the presence of non-gas respiratory movements and a central pulse (MCE if absent) in a patient with a coma?,Check for signs of respiratory distress,Check for Glasgow score < 8 (loss of airway protection),Check for blood glucose below 3 mmol/L,"Check for unilateral mydriasis with decerebrate motor response (stereotyped extension) on the same side during temporal involvement if progressing to central involvement, pulse and blood pressure lability, respiratory pauses, cardiorespiratory arrest.",option_c
OIC-245-13-B,"{""question"": ""What is the primary glucocorticoid used in the treatment of life-threatening adrenal insufficiency?"", ""option_a"": ""Hydrocortisone"", ""option_b"": ""Fludrocortisone"", ""option_c"": ""Methyldopa"", ""option_d"": ""Cortisone"", ""correct_option"": ""Hydrocortisone""}",Management,What is the primary glucocorticoid used in the treatment of life-threatening adrenal insufficiency?,Hydrocortisone,Fludrocortisone,Methyldopa,Cortisone,hydrocortisone
OIC-364-12-B,"{""question"": ""What is the primary concern regarding the risk of growth problems after ankle epiphyseal detachment fractures in adolescents?"", ""option_a"": ""The risk of epiphyseal separation is minimal."", ""option_b"": ""The risk of epiphyseal separation is high."", ""option_c"": ""The risk of epiphyseal separation is not a significant concern."", ""option_d"": ""The risk of epiphyseal separation is directly related to the severity of the fracture."", ""correct_option"": ""option_b""}",,What is the primary concern regarding the risk of growth problems after ankle epiphyseal detachment fractures in adolescents?,The risk of epiphyseal separation is minimal.,The risk of epiphyseal separation is high.,The risk of epiphyseal separation is not a significant concern.,The risk of epiphyseal separation is directly related to the severity of the fracture.,option_b
OIC-109-08-B,"{""question"": ""What is the primary cause of waddling gait?"", ""option_a"": ""Muscle weakness in the lower limbs and pelvic girdle"", ""option_b"": ""Hyperlordosis of the pelvis and trunk"", ""option_c"": ""Metabolic or inflammatory myopathy"", ""option_d"": ""Neurological disorders affecting the motor control of the lower limbs"", ""correct_option"": ""option_a""}",Etiologies,What is the primary cause of waddling gait?,Muscle weakness in the lower limbs and pelvic girdle,Hyperlordosis of the pelvis and trunk,Metabolic or inflammatory myopathy,Neurological disorders affecting the motor control of the lower limbs,option_a
OIC-197-10-A,"{""question"": ""What is the primary characteristic of a syndesmophyte?"", ""option_a"": ""A large, irregularly-shaped bony growth"", ""option_b"": ""A thin, vertical bony structure between two vertebrae"", ""option_c"": ""A long, thin bony process extending from one vertebra to the next"", ""option_d"": ""A small, rounded bony growth"", ""correct_option"": ""option_b""}",Multimedia content,What is the primary characteristic of a syndesmophyte?,"A large, irregularly-shaped bony growth","A thin, vertical bony structure between two vertebrae","A long, thin bony process extending from one vertebra to the next","A small, rounded bony growth",option_b
OIC-256-07-B,"{""question"": ""What is the most common pathologia in children during growth peaks?"", ""option_a"": ""Tendinopathies"", ""option_b"": ""Fractures"", ""option_c"": ""Osteochondrosis"", ""option_d"": ""Tendinopathy"", ""correct_option"": ""c""}",Etiologies,What is the most common pathologia in children during growth peaks?,Tendinopathies,Fractures,Osteochondrosis,Tendinopathy,c
OIC-226-17-B,"{""question"": ""What is the name of the complication to detect before stopping anticoagulant treatment for Deep Vein Thrombosis and Pulmonary Embolism?"", ""option_a"": ""pulmonary embolism"", ""option_b"": ""Pulmonary hypertension"", ""option_c"": ""Dyspnoea"", ""option_d"": ""Pulmonary hypertension"", ""correct_option"": ""pulmonary embolism""}",,What is the name of the complication to detect before stopping anticoagulant treatment for Deep Vein Thrombosis and Pulmonary Embolism?,pulmonary embolism,Pulmonary hypertension,Dyspnoea,Pulmonary hypertension,pulmonary embolism
OIC-009-24-B,"{""question"": ""What is the definition of encephalic death?"", ""option_a"": ""A medical term referring to the state of being dead, where the brain is still functioning."", ""option_b"": ""A legal term referring to the state of being dead, where the body is still breathing."", ""option_c"": ""A medical term referring to the state of being dead, where the brain is still functioning and the body is still alive."", ""option_d"": ""A legal term referring to the state of being dead, where the body is still breathing and the brain is still functioning."", ""correct_option"": ""option_c""}",Management,What is the definition of encephalic death?,"A medical term referring to the state of being dead, where the brain is still functioning.","A legal term referring to the state of being dead, where the body is still breathing.","A medical term referring to the state of being dead, where the brain is still functioning and the body is still alive.","A legal term referring to the state of being dead, where the body is still breathing and the brain is still functioning.",option_c
OIC-179-10-B,"{""question"": ""What is the first step in investigating a suspected case of food poisoning?"", ""option_a"": ""Notify the doctor in charge/the hospital's operational hygiene team (if a healthcare establishment)."", ""option_b"": ""Identify patients who have (had) clinical signs."", ""option_c"": ""For each patient, draw up a list of symptoms, the date and time of their onset, and a list of meals eaten over the last three days."", ""option_d"": ""Keep leftovers of raw materials and food served to the community over the last 3 days (keep refrigerated, not frozen)."", ""correct_option"": ""option_a""}",Definition,What is the first step in investigating a suspected case of food poisoning?,Notify the doctor in charge/the hospital's operational hygiene team (if a healthcare establishment).,Identify patients who have (had) clinical signs.,"For each patient, draw up a list of symptoms, the date and time of their onset, and a list of meals eaten over the last three days.","Keep leftovers of raw materials and food served to the community over the last 3 days (keep refrigerated, not frozen).",option_a
OIC-351-02-A,"{""question"": ""What is the primary characteristic of delusions and hallucinations?"", ""option_a"": ""Delusions are typically associated with a loss of contact with reality."", ""option_b"": ""Delusions are often characterized by a distorted perception of reality."", ""option_c"": ""Delusions are typically associated with a loss of contact with reality, and hallucinations are often characterized by a distorted perception of reality."", ""option_d"": ""Hallucinations are typically associated with a loss of contact with reality, and delusions are often characterized by a distorted perception of reality."", ""correct_option"": ""option_c""}",Definition,What is the primary characteristic of delusions and hallucinations?,Delusions are typically associated with a loss of contact with reality.,Delusions are often characterized by a distorted perception of reality.,"Delusions are typically associated with a loss of contact with reality, and hallucinations are often characterized by a distorted perception of reality.","Hallucinations are typically associated with a loss of contact with reality, and delusions are often characterized by a distorted perception of reality.",option_c
OIC-239-06-A,"{""question"": ""What is the typical presentation of Raynaud's phenomenon?"", ""option_a"": ""A sudden onset of symptoms in a single limb, often accompanied by a cold, pale, and constricted blood vessel."", ""option_b"": ""A gradual onset of symptoms in multiple limbs, often accompanied by a feeling of warmth and flushing."", ""option_c"": ""A sudden onset of symptoms in multiple limbs, often accompanied by a feeling of warmth and flushing, and may be triggered by cold temperatures."", ""option_d"": ""A sudden onset of symptoms in multiple limbs, often accompanied by a feeling of warmth and flushing, and may be triggered by physical activity."", ""correct_option"": ""option_c""}",Multimedia content,What is the typical presentation of Raynaud's phenomenon?,"A sudden onset of symptoms in a single limb, often accompanied by a cold, pale, and constricted blood vessel.","A gradual onset of symptoms in multiple limbs, often accompanied by a feeling of warmth and flushing.","A sudden onset of symptoms in multiple limbs, often accompanied by a feeling of warmth and flushing, and may be triggered by cold temperatures.","A sudden onset of symptoms in multiple limbs, often accompanied by a feeling of warmth and flushing, and may be triggered by physical activity.",option_c
OIC-145-06-B,"{""question"": ""What are the four main missions of Sant\u00e9 Publique France in the field of infectious diseases?"", ""option_a"": ""Collecting and processing data on health status for epidemiological purposes"", ""option_b"": ""Monitoring the prevalence of antibiotic resistance in certain bacterial species"", ""option_c"": ""Analyzing and updating knowledge of health risks, their causes and trends"", ""option_d"": ""Informing the Minister for Health of any threat to public health"", ""correct_option"": ""Collecting and processing data on health status for epidemiological purposes""}",Definition,What are the four main missions of Santé Publique France in the field of infectious diseases?,Collecting and processing data on health status for epidemiological purposes,Monitoring the prevalence of antibiotic resistance in certain bacterial species,"Analyzing and updating knowledge of health risks, their causes and trends",Informing the Minister for Health of any threat to public health,collecting and processing data on health status for epidemiological purposes
OIC-225-13-A,"{""question"": ""What is the preferred method for diagnosing abdominal aortic aneurysms?"", ""option_a"": ""Abdominal ultrasound"", ""option_b"": ""Thoracic-abdominal-pelvic CT with iodinated contrast"", ""option_c"": ""MRI"", ""option_d"": ""Arteriography"", ""correct_option"": ""option_b""}",,What is the preferred method for diagnosing abdominal aortic aneurysms?,Abdominal ultrasound,Thoracic-abdominal-pelvic CT with iodinated contrast,MRI,Arteriography,option_b
OIC-186-05-B,"{""question"": ""What is the primary mechanism of type 1 hypersensitivities mediated by venom-specific IgE antibodies?"", ""option_a"": ""Hypoallergenesis"", ""option_b"": ""Cross-reactivity"", ""option_c"": ""Immunological tolerance"", ""option_d"": ""Allergic contact dermatitis"", ""correct_option"": ""option_a""}",Physiopathology,What is the primary mechanism of type 1 hypersensitivities mediated by venom-specific IgE antibodies?,Hypoallergenesis,Cross-reactivity,Immunological tolerance,Allergic contact dermatitis,option_a
OIC-027-21-B,"{""question"": ""When taking blood cultures during pregnancy, when does bacteriological examination of the placenta and lochiae should be performed?"", ""option_a"": ""During childbirth"", ""option_b"": ""During labour"", ""option_c"": ""During labour and delivery"", ""option_d"": ""After labour"", ""correct_option"": ""During childbirth""}",,"When taking blood cultures during pregnancy, when does bacteriological examination of the placenta and lochiae should be performed?",During childbirth,During labour,During labour and delivery,After labour,during childbirth
OIC-201-01-A,"{""question"": ""What is the definition of potential donors?"", ""option_a"": ""Donors who have suffered a circulatory arrest in intensive care following a decision to stop active treatment."", ""option_b"": ""Donors who have died after circulatory arrest (DCAD)."", ""option_c"": ""Donors in a state of brain death, who represent the majority of donors."", ""option_d"": ""Donors who have suffered an 'uncontrolled' out-of-hospital cardiac arrest."", ""correct_option"": ""option_b""}",Definition,What is the definition of potential donors?,Donors who have suffered a circulatory arrest in intensive care following a decision to stop active treatment.,Donors who have died after circulatory arrest (DCAD).,"Donors in a state of brain death, who represent the majority of donors.",Donors who have suffered an 'uncontrolled' out-of-hospital cardiac arrest.,option_b
OIC-267-23-A,"{""question"": ""What is the correct indication for prescribing hyponatremia?"", ""option_a"": ""Neurological or digestive symptoms (see clinical signs)"", ""option_b"": ""Monitoring of diuretic treatment"", ""option_c"": ""Pulmonary, cerebral or endocrine pathologies associated with hyponatremia"", ""option_d"": ""Conditions responsible for hyponatremia: heart failure or decompensated liver cirrhosis"", ""correct_option"": ""option_a""}",Definition,What is the correct indication for prescribing hyponatremia?,Neurological or digestive symptoms (see clinical signs),Monitoring of diuretic treatment,"Pulmonary, cerebral or endocrine pathologies associated with hyponatremia",Conditions responsible for hyponatremia: heart failure or decompensated liver cirrhosis,option_a
OIC-074-15-A,"{""question"": ""What is the primary mechanism of action of anxiolytics?"", ""option_a"": ""Inhibition of neurotransmitter release"", ""option_b"": ""Inhibition of neurotransmitter reuptake"", ""option_c"": ""Inhibition of neurotransmitter release and reuptake"", ""option_d"": ""Inhibition of neurotransmitter release only"", ""correct_option"": ""option_c""}",Management,What is the primary mechanism of action of anxiolytics?,Inhibition of neurotransmitter release,Inhibition of neurotransmitter reuptake,Inhibition of neurotransmitter release and reuptake,Inhibition of neurotransmitter release only,option_c
OIC-242-05-B,"{""question"": ""What is a possible complication of basedowian ophthalmopathy?"", ""option_a"": ""Palpebral inocclusion"", ""option_b"": ""Vision abnormality SD-138"", ""option_c"": ""Diplopia SD-143"", ""option_d"": ""Corneal damage of variable severity"", ""correct_option"": ""option_c""}",Positive diagnosis,What is a possible complication of basedowian ophthalmopathy?,Palpebral inocclusion,Vision abnormality SD-138,Diplopia SD-143,Corneal damage of variable severity,option_c
OIC-076-18-B,"{""question"": ""What is the correct treatment for a patient with delirium tremens?"", ""option_a"": ""Intravenous vitamin B1 supplementation before any glucose infusion"", ""option_b"": ""Hospitalisation in intensive or continuing care"", ""option_c"": ""Treatment with high-dose parenteral vitamin B1 before any infusion of serum glucose and polyvitamins"", ""option_d"": ""Monitoring of vitals, hydration, blood ionogram, creatinine and phosphorus levels"", ""correct_option"": ""option_c""}",Management,What is the correct treatment for a patient with delirium tremens?,Intravenous vitamin B1 supplementation before any glucose infusion,Hospitalisation in intensive or continuing care,Treatment with high-dose parenteral vitamin B1 before any infusion of serum glucose and polyvitamins,"Monitoring of vitals, hydration, blood ionogram, creatinine and phosphorus levels",option_c
OIC-270-05-A,"{""question"": ""What is the appropriate imaging examination for acute low back pain in adults?"", ""option_a"": ""Standard X-rays"", ""option_b"": ""MRI"", ""option_c"": ""CT scan"", ""option_d"": ""Ultrasound"", ""correct_option"": ""option_b""}",Additional examinations,What is the appropriate imaging examination for acute low back pain in adults?,Standard X-rays,MRI,CT scan,Ultrasound,option_b
OIC-208-08-A,"{""question"": ""What is the primary consequence of chronic hypoxic pulmonary vasoconstriction?"", ""option_a"": ""Fluid and sodium retention"", ""option_b"": ""Polycythemia"", ""option_c"": ""Hypercapnia"", ""option_d"": ""Group 3 pulmonary hypertension"", ""correct_option"": ""option_c""}",,What is the primary consequence of chronic hypoxic pulmonary vasoconstriction?,Fluid and sodium retention,Polycythemia,Hypercapnia,Group 3 pulmonary hypertension,option_c
OIC-050-08-A,"{""question"": ""What is the typical age range in which hydrocele and cord cysts are most likely to be diagnosed?"", ""option_a"": ""Infancy"", ""option_b"": ""Adolescence"", ""option_c"": ""Adulthood"", ""option_d"": ""Childhood"", ""correct_option"": ""option_c""}",Positive diagnosis,What is the typical age range in which hydrocele and cord cysts are most likely to be diagnosed?,Infancy,Adolescence,Adulthood,Childhood,option_c
OIC-302-17-A,"{""question"": ""What is the typical appearance of a melanoma in a photograph?"", ""option_a"": ""Asymmetric pigmented lesion with irregular margins, heterogeneously coloured, 18mm in diameter and recently changed."", ""option_b"": ""Symmetrical pigmented lesion with regular margins, homogeneously coloured, 18mm in diameter and recently changed."", ""option_c"": ""Heterogeneous pigmented lesion with irregular margins, homogeneously coloured, 18mm in diameter and recently changed."", ""option_d"": ""Symmetrical pigmented lesion with regular margins, heterogeneously coloured, 18mm in diameter and recently changed."", ""correct_option"": ""option_a""}",Multimedia content,What is the typical appearance of a melanoma in a photograph?,"Asymmetric pigmented lesion with irregular margins, heterogeneously coloured, 18mm in diameter and recently changed.","Symmetrical pigmented lesion with regular margins, homogeneously coloured, 18mm in diameter and recently changed.","Heterogeneous pigmented lesion with irregular margins, homogeneously coloured, 18mm in diameter and recently changed.","Symmetrical pigmented lesion with regular margins, heterogeneously coloured, 18mm in diameter and recently changed.",option_a
OIC-102-09-B,"{""question"": ""What is the typical location of VI paralysis in the case of intracranial hypertonia?"", ""option_a"": ""The cerebellopontine angle"", ""option_b"": ""The brainstem"", ""option_c"": ""The optic chiasm"", ""option_d"": ""The brainstem"", ""correct_option"": ""The cerebellopontine angle""}",Positive diagnosis,What is the typical location of VI paralysis in the case of intracranial hypertonia?,The cerebellopontine angle,The brainstem,The optic chiasm,The brainstem,the cerebellopontine angle
OIC-342-10-A,"{""question"": ""What is the primary cause of malaise in adults, particularly cardiac causes?"", ""option_a"": ""Dizziness"", ""option_b"": ""Nausea"", ""option_c"": ""Coma"", ""option_d"": ""Fever"", ""correct_option"": ""c""}",,"What is the primary cause of malaise in adults, particularly cardiac causes?",Dizziness,Nausea,Coma,Fever,c
OIC-229-04-A,"{""question"": ""What is the recommended time to remove a peripheral venous line?"", ""option_a"": ""As soon as possible"", ""option_b"": ""After a week of use"", ""option_c"": ""After a month of use"", ""option_d"": ""After a year of use"", ""correct_option"": ""As soon as possible""}",,What is the recommended time to remove a peripheral venous line?,As soon as possible,After a week of use,After a month of use,After a year of use,as soon as possible
OIC-050-03-B,"{""question"": ""What is the primary purpose of a transilluminable bursa in a stock exchange?"", ""option_a"": ""To facilitate the movement of stock"", ""option_b"": ""To provide a means of illumination for the stock market"", ""option_c"": ""To enable the storage of stocks in a secure manner"", ""option_d"": ""To serve as a venue for the exchange of financial instruments"", ""correct_option"": ""option_b""}",Multimedia content,What is the primary purpose of a transilluminable bursa in a stock exchange?,To facilitate the movement of stock,To provide a means of illumination for the stock market,To enable the storage of stocks in a secure manner,To serve as a venue for the exchange of financial instruments,option_b
OIC-075-10-A,"{""question"": ""What percentage of pregnant women continue to smoke during pregnancy?"", ""option_a"": ""50%"", ""option_b"": ""60%"", ""option_c"": ""70%"", ""option_d"": ""80%"", ""correct_option"": ""option_b""}",Epidemiology,What percentage of pregnant women continue to smoke during pregnancy?,50%,60%,70%,80%,option_b
OIC-076-07-A,"{""question"": ""What is the typical onset of symptoms in patients with uncomplicated withdrawal syndrome?"", ""option_a"": ""The first 24 hours after cessation of consumption"", ""option_b"": ""The first 48 hours after cessation of consumption"", ""option_c"": ""The first 72 hours after cessation of consumption"", ""option_d"": ""The first 7-10 days after stopping drinking"", ""correct_option"": ""option_c""}",Positive diagnosis,What is the typical onset of symptoms in patients with uncomplicated withdrawal syndrome?,The first 24 hours after cessation of consumption,The first 48 hours after cessation of consumption,The first 72 hours after cessation of consumption,The first 7-10 days after stopping drinking,option_c
OIC-094-05-B,"{""question"": ""What is a common risk factor for spinal pain?"", ""option_a"": ""Sedentary lifestyle"", ""option_b"": ""Repeated trauma or microtrauma"", ""option_c"": ""Smoking"", ""option_d"": ""Obesity (low back pain only)"", ""correct_option"": ""option_a""}",Epidemiology,What is a common risk factor for spinal pain?,Sedentary lifestyle,Repeated trauma or microtrauma,Smoking,Obesity (low back pain only),option_a
OIC-048-04-A,"{""question"": ""What is the recommended age range for introducing infant cereals, vegetables, fruit, meat, fish, and eggs into the diet?"", ""option_a"": ""8-10 months"", ""option_b"": ""4-6 months"", ""option_c"": ""10-12 months"", ""option_d"": ""3 years"", ""correct_option"": ""4-6 months""}",Taking charge,"What is the recommended age range for introducing infant cereals, vegetables, fruit, meat, fish, and eggs into the diet?",8-10 months,4-6 months,10-12 months,3 years,4-6 months
OIC-179-09-A,"{""question"": ""What is a cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a Cluster of Transmission Illness (CFTI) in an environment where hygiene measures are not respected?"", ""option_a"": ""A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in an environment where hygiene measures are not respected."", ""option_b"": ""A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in a highly isolated environment."", ""option_c"": ""A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in a highly isolated environment where all individuals are wearing gloves."", ""option_d"": ""A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in a highly isolated environment where all individuals are wearing gloves and are not respecting hygiene measures."", ""correct_option"": ""A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in an environment where hygiene measures are not respected.""}",,What is a cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a Cluster of Transmission Illness (CFTI) in an environment where hygiene measures are not respected?,A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in an environment where hygiene measures are not respected.,A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in a highly isolated environment.,A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in a highly isolated environment where all individuals are wearing gloves.,A cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a CFTI in a highly isolated environment where all individuals are wearing gloves and are not respecting hygiene measures.,a cluster of cases of gastrointestinal or neurological disorders that are compatible with the definition of a cfti in an environment where hygiene measures are not respected.
