id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-258-04-A,"{'question': 'In which circumstance should creatinine levels be measured according to the French National Authority for Health?', 'option_a': 'Only in patients with diabetes.', 'option_b': 'In individuals exposed to nephrotoxic treatments.', 'option_c': 'Only in individuals with a BMI under 30 kg/m².', 'option_d': 'In individuals without any history of renal issues.', 'correct_option': 'B'}",,In which circumstance should creatinine levels be measured according to the French National Authority for Health?,Only in patients with diabetes.,In individuals exposed to nephrotoxic treatments.,Only in individuals with a BMI under 30 kg/m².,In individuals without any history of renal issues.,b
OIC-258-02-A,"{'question': 'Which formula is recommended by the French National Authority for Health for estimating GFR in adults?', 'option_a': 'MDRD formula', 'option_b': 'CKD-EPI formula', 'option_c': 'Schwartz formula', 'option_d': 'Iohexol clearance method', 'correct_option': 'B'}",Positive diagnosis,Which formula is recommended by the French National Authority for Health for estimating GFR in adults?,MDRD formula,CKD-EPI formula,Schwartz formula,Iohexol clearance method,b
OIC-258-11-A,"{'question': 'What is the most common parenchymal cause of acute elevation of creatinine?', 'option_a': 'Glomerular nephropathy', 'option_b': 'Tubular necrosis', 'option_c': 'Vascular parenchymal deterioration', 'option_d': 'Tubulointerstitial nephropathy', 'correct_option': 'B'}",Etiologies,What is the most common parenchymal cause of acute elevation of creatinine?,Glomerular nephropathy,Tubular necrosis,Vascular parenchymal deterioration,Tubulointerstitial nephropathy,b
OIC-258-12-B,"{'question': 'Which of the following tests is recommended to assess the parenchymal origin of elevated creatinine levels?', 'option_a': 'Liver function tests', 'option_b': 'Renal ultrasound', 'option_c': 'Electrocardiogram (ECG)', 'option_d': 'Chest X-ray', 'correct_option': 'B'}",Additional tests,Which of the following tests is recommended to assess the parenchymal origin of elevated creatinine levels?,Liver function tests,Renal ultrasound,Electrocardiogram (ECG),Chest X-ray,b
OIC-258-10-B,"{'question': 'Which of the following paraclinical elements supports the functional origin of elevated creatinine levels?', 'option_a': 'Ratio (1000 × plasma urea mmol/L / creatinine µmol/L) < 100', 'option_b': 'U/P osmolar < 2', 'option_c': 'Urinary Na > 20 mmol/L', 'option_d': 'Low excreted urea fraction (< 35%)', 'correct_option': 'D'}",Additional tests,Which of the following paraclinical elements supports the functional origin of elevated creatinine levels?,Ratio (1000 × plasma urea mmol/L / creatinine µmol/L) < 100,U/P osmolar < 2,Urinary Na > 20 mmol/L,Low excreted urea fraction (< 35%),d
OIC-258-01-A,"{'question': 'What does an increase in creatinine levels indicate about renal function?', 'option_a': 'Improved renal function', 'option_b': 'Deterioration of renal function', 'option_c': 'Decreased muscle production', 'option_d': 'Stable Glomerular Filtration Rate (GFR)', 'correct_option': 'B'}",Positive diagnosis,What does an increase in creatinine levels indicate about renal function?,Improved renal function,Deterioration of renal function,Decreased muscle production,Stable Glomerular Filtration Rate (GFR),b
OIC-258-06-A,"{'question': 'Which of the following is an argument in favor of diagnosing acute renal failure?', 'option_a': 'Normal-sized kidneys', 'option_b': 'Long-term elevated creatinine levels', 'option_c': 'Decreased urine output over months', 'option_d': 'Enlarged kidneys on imaging', 'correct_option': 'A'}",Positive diagnosis,Which of the following is an argument in favor of diagnosing acute renal failure?,Normal-sized kidneys,Long-term elevated creatinine levels,Decreased urine output over months,Enlarged kidneys on imaging,a
OIC-258-05-A,"{'question': 'Which of the following is a criterion for diagnosing chronic renal failure?', 'option_a': 'History of acute kidney injury', 'option_b': 'Kidney size greater than 12 cm on ultrasound', 'option_c': 'Aregenerative normocytic normochromic anemia', 'option_d': 'Presence of hypocalcemia due to excess vitamin D', 'correct_option': 'C'}",Positive diagnosis,Which of the following is a criterion for diagnosing chronic renal failure?,History of acute kidney injury,Kidney size greater than 12 cm on ultrasound,Aregenerative normocytic normochromic anemia,Presence of hypocalcemia due to excess vitamin D,c
OIC-258-03-B,"{'question': 'Which formula is used to estimate renal creatinine clearance in adults?', 'option_a': 'The Schwartz formula', 'option_b': 'The Cockcroft-Gault formula', 'option_c': 'The MDRD formula', 'option_d': 'The CKD-EPI formula', 'correct_option': 'B'}",Positive diagnosis,Which formula is used to estimate renal creatinine clearance in adults?,The Schwartz formula,The Cockcroft-Gault formula,The MDRD formula,The CKD-EPI formula,b
OIC-042-10-B,"{'question': 'Which of the following is a common therapeutic cause of hyperprolactinaemia?', 'option_a': 'Tricyclic antidepressants', 'option_b': 'Beta-blockers', 'option_c': 'Antihistamines', 'option_d': 'Antibiotics', 'correct_option': 'A'}",Etiologies,Which of the following is a common therapeutic cause of hyperprolactinaemia?,Tricyclic antidepressants,Beta-blockers,Antihistamines,Antibiotics,a
OIC-042-05-B,"{'question': 'What is the primary cause of secondary uterine amenorrhoea?', 'option_a': 'Pregnancy', 'option_b': 'Synechiae', 'option_c': 'Genital tuberculosis', 'option_d': 'Cervical brachytherapy', 'correct_option': 'A'}",Etiologies,What is the primary cause of secondary uterine amenorrhoea?,Pregnancy,Synechiae,Genital tuberculosis,Cervical brachytherapy,a
OIC-042-09-B,"{'question': 'What is a key characteristic of functional hypothalamic amenorrhea (FHA)?', 'option_a': 'It is primarily caused by an organic pituitary disorder.', 'option_b': 'It frequently results from an unbalanced energy balance due to inadequate nutritional intake.', 'option_c': 'It is mainly seen in older women after menopause.', 'option_d': 'It is associated with high levels of GnRH secretion peaks.', 'correct_option': 'B'}",Etiologies,What is a key characteristic of functional hypothalamic amenorrhea (FHA)?,It is primarily caused by an organic pituitary disorder.,It frequently results from an unbalanced energy balance due to inadequate nutritional intake.,It is mainly seen in older women after menopause.,It is associated with high levels of GnRH secretion peaks.,b
OIC-042-07-B,"{'question': 'What is the most common pituitary cause of gonadotropic insufficiency?', 'option_a': 'Autoimmune hypophysitis', 'option_b': 'Prolactin adenoma', 'option_c': ""Sheehan's syndrome"", 'option_d': 'Craniopharyngioma', 'correct_option': 'B'}",Etiologies,What is the most common pituitary cause of gonadotropic insufficiency?,Autoimmune hypophysitis,Prolactin adenoma,Sheehan's syndrome,Craniopharyngioma,b
OIC-042-04-B,"{'question': 'What are the two main diagnoses to consider in primary amenorrhoea when a uterus is absent on ultrasound?', 'option_a': 'Müllerian agenesis and Turner syndrome', 'option_b': 'Müllerian agenesis and complete androgen insensitivity syndrome', 'option_c': 'Polycystic ovary syndrome and Müllerian agenesis', 'option_d': 'Complete androgen insensitivity syndrome and ovarian failure', 'correct_option': 'B'}",Etiologies,What are the two main diagnoses to consider in primary amenorrhoea when a uterus is absent on ultrasound?,Müllerian agenesis and Turner syndrome,Müllerian agenesis and complete androgen insensitivity syndrome,Polycystic ovary syndrome and Müllerian agenesis,Complete androgen insensitivity syndrome and ovarian failure,b
OIC-042-03-A,"{'question': 'What is the primary purpose of the progestogen test in diagnosing amenorrhea?', 'option_a': 'To confirm pregnancy.', 'option_b': 'To assess estrogen impregnation of the endometrium.', 'option_c': 'To measure the severity of hyperandrogenism.', 'option_d': 'To identify the presence of eating disorders.', 'correct_option': 'B'}",Positive diagnosis,What is the primary purpose of the progestogen test in diagnosing amenorrhea?,To confirm pregnancy.,To assess estrogen impregnation of the endometrium.,To measure the severity of hyperandrogenism.,To identify the presence of eating disorders.,b
OIC-042-02-B,"{'question': 'What triggers the peak in LH that leads to ovulation in the menstrual cycle?', 'option_a': 'High progesterone levels', 'option_b': 'Increased FSH levels', 'option_c': 'Elevated oestradiol levels for at least 48 hours', 'option_d': 'Decrease in inhibin A and B', 'correct_option': 'C'}",Physiopathology,What triggers the peak in LH that leads to ovulation in the menstrual cycle?,High progesterone levels,Increased FSH levels,Elevated oestradiol levels for at least 48 hours,Decrease in inhibin A and B,c
OIC-042-06-B,"{'question': 'What are the main known etiologies of premature ovarian failure?', 'option_a': 'Genetic causes and autoimmune polyendocrinopathies', 'option_b': 'Nutritional deficiencies and lifestyle choices', 'option_c': 'Bacterial infections and viral illnesses', 'option_d': 'Environmental toxins and stress', 'correct_option': 'A'}",Etiologies,What are the main known etiologies of premature ovarian failure?,Genetic causes and autoimmune polyendocrinopathies,Nutritional deficiencies and lifestyle choices,Bacterial infections and viral illnesses,Environmental toxins and stress,a
OIC-042-08-B,"{'question': 'What is the primary cause of amenorrhoea with hyperandrogenism?', 'option_a': 'Polycystic Ovary Syndrome (PCOS)', 'option_b': 'Thyroid dysfunction', 'option_c': 'Adrenal tumors', 'option_d': 'Hyperprolactinemia', 'correct_option': 'A'}",Etiologies,What is the primary cause of amenorrhoea with hyperandrogenism?,Polycystic Ovary Syndrome (PCOS),Thyroid dysfunction,Adrenal tumors,Hyperprolactinemia,a
OIC-042-01-A,"{'question': 'What is the definition of primary amenorrhoea?', 'option_a': 'Absence of menstruation after age 15 with normal secondary sexual development.', 'option_b': 'Cessation of cycles for more than three months in a previously menstruating woman.', 'option_c': 'Menstrual cycles lasting more than 45 days.', 'option_d': 'Normal menstrual cycles between 25 to 35 days.', 'correct_option': 'A'}",Definition,What is the definition of primary amenorrhoea?,Absence of menstruation after age 15 with normal secondary sexual development.,Cessation of cycles for more than three months in a previously menstruating woman.,Menstrual cycles lasting more than 45 days.,Normal menstrual cycles between 25 to 35 days.,a
OIC-328-06-B,"{'question': 'Which type of orthosis is primarily used to improve joint function and is often indicated for conditions like brachial plexus issues or foot drop?', 'option_a': 'Immobilisation Orthoses', 'option_b': 'Function Orthoses', 'option_c': 'Posture Orthoses', 'option_d': 'Cervical Orthoses', 'correct_option': 'B'}",Management of costs,Which type of orthosis is primarily used to improve joint function and is often indicated for conditions like brachial plexus issues or foot drop?,Immobilisation Orthoses,Function Orthoses,Posture Orthoses,Cervical Orthoses,b
OIC-328-12-B,"{'question': 'What is the main difference between thermal medicine and thalassotherapy?', 'option_a': 'Thermal medicine uses seawater, while thalassotherapy uses mineral water.', 'option_b': 'Thalassotherapy is systematically supervised by medical professionals, unlike thermal medicine.', 'option_c': 'Thermal medicine involves the use of mineral waters and is recognized by Health Insurance, unlike thalassotherapy.', 'option_d': 'Thalassotherapy treatments are reimbursed by Health Insurance, unlike thermal medicine.', 'correct_option': 'C'}",Definition,What is the main difference between thermal medicine and thalassotherapy?,"Thermal medicine uses seawater, while thalassotherapy uses mineral water.","Thalassotherapy is systematically supervised by medical professionals, unlike thermal medicine.","Thermal medicine involves the use of mineral waters and is recognized by Health Insurance, unlike thalassotherapy.","Thalassotherapy treatments are reimbursed by Health Insurance, unlike thermal medicine.",c
OIC-328-05-A,"{'question': 'What is the primary purpose of an orthosis in medical treatment?', 'option_a': 'To assist in surgical recovery', 'option_b': 'To enhance the mobility of healthy limbs', 'option_c': 'To stabilize or correct a deficient limb or spine', 'option_d': 'To replace missing limbs', 'correct_option': 'C'}",Definition,What is the primary purpose of an orthosis in medical treatment?,To assist in surgical recovery,To enhance the mobility of healthy limbs,To stabilize or correct a deficient limb or spine,To replace missing limbs,c
OIC-328-08-A,"{'question': 'What is the primary purpose of a limb prosthesis for the lower limb according to the general rules for rehabilitation of amputees?', 'option_a': 'To enhance aesthetic appearance', 'option_b': 'For functional purposes', 'option_c': 'To prevent further amputation', 'option_d': 'To increase muscle strength', 'correct_option': 'B'}",Definition,What is the primary purpose of a limb prosthesis for the lower limb according to the general rules for rehabilitation of amputees?,To enhance aesthetic appearance,For functional purposes,To prevent further amputation,To increase muscle strength,b
OIC-328-02-A,"{'question': 'What is the primary purpose of the EU regulation 2017/745 regarding medical devices?', 'option_a': 'To regulate the prices of medical devices.', 'option_b': 'To standardize the marketing and commissioning of medical devices.', 'option_c': 'To control the reimbursement of medical devices by social organizations.', 'option_d': 'To define medical devices as products of human origin.', 'correct_option': 'B'}",Definition,What is the primary purpose of the EU regulation 2017/745 regarding medical devices?,To regulate the prices of medical devices.,To standardize the marketing and commissioning of medical devices.,To control the reimbursement of medical devices by social organizations.,To define medical devices as products of human origin.,b
OIC-328-07-B,"{'question': 'What is the primary purpose of prescribing orthoses?', 'option_a': 'To enhance aesthetic appearance', 'option_b': 'To provide structural support and improve function', 'option_c': 'To replace missing limbs', 'option_d': 'To cure chronic diseases', 'correct_option': 'B'}",,What is the primary purpose of prescribing orthoses?,To enhance aesthetic appearance,To provide structural support and improve function,To replace missing limbs,To cure chronic diseases,b
OIC-328-04-B,"{'question': 'What distinguishes major equipment from minor appliances in medical devices?', 'option_a': 'Major equipment is made to measure and requires specialist prescription.', 'option_b': 'Minor appliances are reimbursed at 100% if ALD.', 'option_c': 'Major equipment is available on simple prescription by non-specialists.', 'option_d': 'Minor appliances include sophisticated technologies like home automation.', 'correct_option': 'A'}",Definition,What distinguishes major equipment from minor appliances in medical devices?,Major equipment is made to measure and requires specialist prescription.,Minor appliances are reimbursed at 100% if ALD.,Major equipment is available on simple prescription by non-specialists.,Minor appliances include sophisticated technologies like home automation.,a
OIC-328-10-B,"{'question': 'What is the primary objective of using walking aids like canes?', 'option_a': 'Breathing assistance', 'option_b': 'Stabilizing walking', 'option_c': 'Hearing improvement', 'option_d': 'Vision enhancement', 'correct_option': 'B'}",Definition,What is the primary objective of using walking aids like canes?,Breathing assistance,Stabilizing walking,Hearing improvement,Vision enhancement,b
OIC-328-09-A,"{'question': 'What is the primary difference between custom-made orthopedic shoes and standard therapeutic footwear?', 'option_a': 'Custom-made shoes are for temporary use, while standard footwear is for permanent use.', 'option_b': 'Custom-made shoes are indicated for neurological pathologies, while standard footwear is for trophic disorders and edema.', 'option_c': 'Standard therapeutic footwear is reimbursed at 100%, while custom-made shoes are not.', 'option_d': 'Standard footwear is prescribed by a specialist, while custom-made shoes can be prescribed by any doctor.', 'correct_option': 'B'}",Definition,What is the primary difference between custom-made orthopedic shoes and standard therapeutic footwear?,"Custom-made shoes are for temporary use, while standard footwear is for permanent use.","Custom-made shoes are indicated for neurological pathologies, while standard footwear is for trophic disorders and edema.","Standard therapeutic footwear is reimbursed at 100%, while custom-made shoes are not.","Standard footwear is prescribed by a specialist, while custom-made shoes can be prescribed by any doctor.",b
OIC-328-03-B,"{'question': 'What determines the reimbursement method for medical devices used in hospitals?', 'option_a': 'The type of medical device used', 'option_b': 'The duration of the hospital stay', 'option_c': ""Whether the device is on the 'extra' list"", 'option_d': 'The specialist who prescribed the device', 'correct_option': 'C'}",Management,What determines the reimbursement method for medical devices used in hospitals?,The type of medical device used,The duration of the hospital stay,Whether the device is on the 'extra' list,The specialist who prescribed the device,c
OIC-328-01-A,"{'question': 'What is a key consideration when prescribing non-medicinal therapies?', 'option_a': ""The patient's dietary preferences"", 'option_b': ""The patient's participation restrictions"", 'option_c': ""The patient's favorite activities"", 'option_d': ""The patient's financial status"", 'correct_option': 'B'}",Evaluation,What is a key consideration when prescribing non-medicinal therapies?,The patient's dietary preferences,The patient's participation restrictions,The patient's favorite activities,The patient's financial status,b
OIC-328-11-A,"{'question': 'What is a requirement for prescribing an electric wheelchair?', 'option_a': 'It can be prescribed by any doctor without a trial.', 'option_b': 'It requires a trial and a certificate for suitability and safety.', 'option_c': 'It is available for purchase or rental, covered by insurance.', 'option_d': 'It does not require prior agreement with health insurance.', 'correct_option': 'B'}",Definition,What is a requirement for prescribing an electric wheelchair?,It can be prescribed by any doctor without a trial.,It requires a trial and a certificate for suitability and safety.,"It is available for purchase or rental, covered by insurance.",It does not require prior agreement with health insurance.,b
OIC-269-07-A,"{'question': 'What is the primary purpose of conducting complementary biological tests in the event of acute abdominal pain?', 'option_a': 'To confirm the suspected aetiology after clinical examination.', 'option_b': 'To immediately diagnose the cause of pain without clinical examination.', 'option_c': 'To replace the need for any clinical examination.', 'option_d': 'To perform routine checks regardless of symptoms.', 'correct_option': 'A'}",Additional tests,What is the primary purpose of conducting complementary biological tests in the event of acute abdominal pain?,To confirm the suspected aetiology after clinical examination.,To immediately diagnose the cause of pain without clinical examination.,To replace the need for any clinical examination.,To perform routine checks regardless of symptoms.,a
OIC-269-01-A,"{'question': 'What is a key method to confirm abdominal pain in infants?', 'option_a': 'Observing crying and restlessness', 'option_b': 'Conducting a complete physical examination', 'option_c': ""Relying on the child's ability to localize pain"", 'option_d': 'Assuming pain if the child is screaming', 'correct_option': 'B'}",Positive diagnosis,What is a key method to confirm abdominal pain in infants?,Observing crying and restlessness,Conducting a complete physical examination,Relying on the child's ability to localize pain,Assuming pain if the child is screaming,b
OIC-269-02-A,"{'question': 'Which of the following conditions is most commonly associated with acute abdominal pain in children aged 2 to 12 years?', 'option_a': 'Strangulated inguinal hernia', 'option_b': 'Acute intestinal invagination', 'option_c': 'Appendicitis and appendicular peritonitis', 'option_d': ""Hirschsprung's disease"", 'correct_option': 'C'}",Positive diagnosis,Which of the following conditions is most commonly associated with acute abdominal pain in children aged 2 to 12 years?,Strangulated inguinal hernia,Acute intestinal invagination,Appendicitis and appendicular peritonitis,Hirschsprung's disease,c
OIC-269-05-A,"{'question': 'What is the gold standard diagnostic test for suspected acute intestinal intussusception in children?', 'option_a': 'CT scan', 'option_b': 'Abdominal ultrasound', 'option_c': 'MRI', 'option_d': 'X-ray', 'correct_option': 'B'}",Identifying the emergency,What is the gold standard diagnostic test for suspected acute intestinal intussusception in children?,CT scan,Abdominal ultrasound,MRI,X-ray,b
OIC-269-09-A,"{'question': 'Which type of abdominal pain is characterized by sudden onset, rapidly increasing in intensity, and lasting less than 6 hours if uncomplicated?', 'option_a': 'Biliary Pain', 'option_b': 'Gastroduodenal Pain', 'option_c': 'Colonic Pain', 'option_d': 'Pancreatic Pain', 'correct_option': 'A'}",Etiologies,"Which type of abdominal pain is characterized by sudden onset, rapidly increasing in intensity, and lasting less than 6 hours if uncomplicated?",Biliary Pain,Gastroduodenal Pain,Colonic Pain,Pancreatic Pain,a
OIC-269-08-A,"{'question': 'Which imaging examination is most appropriate for a suspected surgical emergency involving acute abdominal pain?', 'option_a': 'Abdominal Ultrasound', 'option_b': 'Injected Abdomino-Pelvic Scanner', 'option_c': 'Oesogastroduodenal Endoscopy', 'option_d': 'Chest X-ray', 'correct_option': 'B'}",Additional examinations,Which imaging examination is most appropriate for a suspected surgical emergency involving acute abdominal pain?,Abdominal Ultrasound,Injected Abdomino-Pelvic Scanner,Oesogastroduodenal Endoscopy,Chest X-ray,b
OIC-269-06-A,"{'question': 'Which characteristic of abdominal pain is most useful for determining the cause of the pain in adults?', 'option_a': 'Intensity', 'option_b': 'Location', 'option_c': 'Type', 'option_d': 'Associated functional signs', 'correct_option': 'B'}",Positive diagnosis,Which characteristic of abdominal pain is most useful for determining the cause of the pain in adults?,Intensity,Location,Type,Associated functional signs,b
OIC-269-04-A,"{'question': 'Which of the following is a key indicator of a surgical or medical emergency in children?', 'option_a': 'Mild abdominal discomfort', 'option_b': 'Bilious vomiting', 'option_c': 'Occasional coughing', 'option_d': 'Low-grade fever', 'correct_option': 'B'}",Identifying an emergency,Which of the following is a key indicator of a surgical or medical emergency in children?,Mild abdominal discomfort,Bilious vomiting,Occasional coughing,Low-grade fever,b
OIC-269-03-A,"{'question': 'What is the first-line imaging examination for diagnosing acute abdominal pain in children when needed?', 'option_a': 'CT scan', 'option_b': 'MRI', 'option_c': 'Ultrasound scan', 'option_d': 'X-ray', 'correct_option': 'C'}",,What is the first-line imaging examination for diagnosing acute abdominal pain in children when needed?,CT scan,MRI,Ultrasound scan,X-ray,c
OIC-019-05-A,"{'question': 'What is the main function of the Caisse nationale des allocations familiales (Cnaf) within the French General Scheme?', 'option_a': 'Managing retirement pensions', 'option_b': 'Supporting families with childcare and housing', 'option_c': 'Collecting social security contributions', 'option_d': 'Managing occupational injury risks', 'correct_option': 'B'}",Definition,What is the main function of the Caisse nationale des allocations familiales (Cnaf) within the French General Scheme?,Managing retirement pensions,Supporting families with childcare and housing,Collecting social security contributions,Managing occupational injury risks,b
OIC-019-12-A,"{'question': 'What is the main benefit for patients with a recognized long-term condition (ALD) under the health insurance scheme?', 'option_a': 'They receive free medication for all conditions.', 'option_b': 'They are exempt from co-payment for care related to the ALD.', 'option_c': 'They can choose any doctor without referrals.', 'option_d': 'They get unlimited access to all medical services.', 'correct_option': 'B'}",,What is the main benefit for patients with a recognized long-term condition (ALD) under the health insurance scheme?,They receive free medication for all conditions.,They are exempt from co-payment for care related to the ALD.,They can choose any doctor without referrals.,They get unlimited access to all medical services.,b
OIC-019-08-A,"{'question': 'What is the primary characteristic of the special schemes within the French Social Security system?', 'option_a': 'They cover all self-employed individuals exclusively.', 'option_b': 'They are maintained separately due to historical reasons and specific legislative articles.', 'option_c': 'They are primarily for students and ordinary residents.', 'option_d': 'They are identical to the general scheme in function and benefits.', 'correct_option': 'B'}",Definition,What is the primary characteristic of the special schemes within the French Social Security system?,They cover all self-employed individuals exclusively.,They are maintained separately due to historical reasons and specific legislative articles.,They are primarily for students and ordinary residents.,They are identical to the general scheme in function and benefits.,b
OIC-019-04-B,"{'question': 'What has been the trend in the sources of funding for social protection since 1990?', 'option_a': 'Social security contributions have increased significantly.', 'option_b': 'Fiscal resources have become more prominent.', 'option_c': 'Earmarked taxes have been abolished.', 'option_d': 'State public contributions have been eliminated.', 'correct_option': 'B'}",,What has been the trend in the sources of funding for social protection since 1990?,Social security contributions have increased significantly.,Fiscal resources have become more prominent.,Earmarked taxes have been abolished.,State public contributions have been eliminated.,b
OIC-019-10-A,"{'question': ""What is the purpose of the 'ticket modérateur' in the French healthcare system?"", 'option_a': 'To fully cover all healthcare costs.', 'option_b': 'To regulate healthcare consumption by making patients financially responsible.', 'option_c': 'To provide free healthcare to all citizens.', 'option_d': 'To exempt patients from any out-of-pocket expenses.', 'correct_option': 'B'}",,What is the purpose of the 'ticket modérateur' in the French healthcare system?,To fully cover all healthcare costs.,To regulate healthcare consumption by making patients financially responsible.,To provide free healthcare to all citizens.,To exempt patients from any out-of-pocket expenses.,b
OIC-019-07-B,"{'question': 'What is the primary purpose of the National Health Insurance Expenditure Target (ONDAM) in France?', 'option_a': 'To reduce taxes for healthcare providers', 'option_b': 'To forecast and regulate health insurance expenditure', 'option_c': 'To allocate funds for medical research', 'option_d': 'To determine patient care protocols', 'correct_option': 'B'}",Definition,What is the primary purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To reduce taxes for healthcare providers,To forecast and regulate health insurance expenditure,To allocate funds for medical research,To determine patient care protocols,b
