id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-050-15-A,Positive diagnosis,What is the preferred age range for spermatic cord torsion to occur?,Children under 5 years,"Adolescents between 12 and 18 years of age, young adults under 30 years of age, and those over 40 years old are not at risk.",Adults above 50 years,Infants and all adults over the age of 60.,b
OIC-050-08-A,Positive diagnosis,What is a key feature of hydroceles in children?,The fluid volume remains constant throughout the day,The increase in symptoms worsens at night,"Variations in volume occur during the day, and the fluid can be expelled by squeezing the bursa",The swelling is usually painful and bluish in color,c
OIC-050-04-A,Positive diagnosis,What is the most common cause of orchiepididymitis in boys and men before puberty?,Urethral stricture,Chlamydia trachomatis and gonococcus (STIs),Enterobacteria,Prostate adenoma,c
OIC-050-06-A,Management,What is the first-line antibiotic treatment for orchi-epididymitis in children?,Ceftriaxone and Doxycycline,Cotrimoxazole,Fluoroquinolone (ciprofloxacin or levofloxacin),3rd generation cephalosporin with an antibiogram,b
OIC-050-01-A,Positive diagnosis,What is a key clinical feature that distinguishes testicular cancer from other painful enlargement of the bursae?,The scrotum is inflamed,Lifting the testicle usually relieves the pain (positive Prehn's sign),Transillumination is negative,The cremasteric reflex is absent,f
OIC-050-10-A,,What percentage of undescended testes are bilateral?,5-10%,20,50,80,b
OIC-076-17-B,Management,"When managing alcohol dependence, what is the preferred setting for supervised alcohol withdrawal?",Emergency department only,Outpatient clinic under general practitioner supervision,Hospital ward with medical and psychiatric support,At home without any medical supervision,b
OIC-076-20-B,Management,Which medication is NOT typically used to control alcohol consumption?,Nalmefene,Baclofen,Acamprosate,Disulfiram,a
OIC-076-10-A,Positive diagnosis,What is a potential consequence of precariousness in individuals with alcohol misuse?,Increased risk of developing mental health disorders,Encouraging relapse and worsening relationship problems within the family,Reducing job satisfaction and increasing workplace errors,Decreasing overall risk for physical harm,b
OIC-076-11-A,Additional tests,Which of the following is a useful marker for alcohol consumption?,GGT,Desialylated Transferrin,Mean Corpuscular Volume (MCV),Blood Glucose Level,b
OIC-076-07-A,Positive diagnosis,What typically occurs to symptoms of alcohol withdrawal syndrome after stopping drinking?,They immediately disappear.,They peak within the first 72 hours and can last up to 7-10 days,They only occur in highly dependent individuals,They are never seen in patients with alcohol dependence,b
OIC-076-02-A,Definition,What is the primary definition of addiction?,"Addiction is a behavior that produces pleasure and alleviates discomfort, with negative consequences despite knowledge of them.",Addiction is only related to substance consumption,Addiction involves dependence on a substance or behavior with no risk of harm,Addiction requires physical symptoms of withdrawal,a
OIC-076-04-A,,What is the recommended maximum limit for drinking alcohol per day?,No more than 3 standard drinks,No more than 2 standard drinks,No more than 1 standard drink,Any amount of alcohol allowed daily,b
OIC-076-08-A,Identify the emergency,What is the primary characteristic of acute alcohol intoxication?,Elevated blood pressure and heart rate,"Disinhibition, euphoria, and slurred speech","Confusion, loss of coordination, and nausea",Severe hyperglycemia and ketosis,b
OIC-076-05-A,Positive diagnosis,"According to ICD-11 criteria, what is required for a diagnosis of alcohol dependence?",At least three symptoms have occurred at the same time over the past year.,Physical damage or psychological damage has occurred as a result of alcohol consumption.,The subject needs more of the substance to obtain the desired effect and continues to use despite harmful consequences,"Harmful use is a diagnosis that excludes dependence by convention, not the other way around.",c
OIC-076-06-A,Positive diagnosis,For what period are the questions on the AUDIT-C questionnaire based?,Every day,Over the last year and over the last week,Over the last 12 months,Only once a month,c
OIC-076-15-A,Management,What is the most realistic objective for a patient in severe dependence?,Return to low-risk use,Reduce consumption to minimize risks,Complete cessation with medical supervision,Gradual reduction leading to complete abstinence,c
OIC-076-14-B,Management,What is the primary goal of Early Identification and Brief Intervention (EIBI) for alcohol misuse?,To identify and treat individuals with alcohol dependence.,To encourage individuals to reduce their consumption below low-risk guidelines and prevent alcohol-related risks.,To deliver a 30-minute intervention session once a month.,To refer patients solely to specialized structures without offering any support.,b
OIC-076-18-B,Management,What should be administered before any infusion of serum glucose and polyvitamins in a patient with high-risk alcohol consumption?,Parenteral vitamin B1 supplementation,"Long-lasting benzodiazepines (e.g., diazepam)",Intravenous rehydration and correction of hydroelectrolytic disorders,"Systematic high-dose diazepam, tapering off over 7 to 10 days",a
OIC-076-09-A,Positive diagnosis,What is a common psychiatric comorbidity associated with alcohol misuse?,20% of individuals with schizophrenia also experience alcohol dependence,40% of individuals with bipolar disorder also experience anxiety disorders,50% of individuals with depression also experience substance use disorders,80% of individuals with tobacco addiction also experience alcohol dependence,a
OIC-076-03-A,Definition,What is the relationship between dependence according to ICD 11 and alcohol use disorder according to DSM-5?,Dependence only corresponds to mild alcohol use disorder,Dependence corresponds to moderate and severe alcohol use disorders (DSM-5),Moderate and severe dependence equals mild alcohol use disorder,Dependence has no correlation with DSM-5 categories of alcohol use disorder,b
OIC-076-12-A,,What is a strong risk factor associated with alcohol consumption?,Alzheimer's Disease,Hepatocellular carcinoma and squamous cell carcinoma of the esophagus,Type 2 Diabetes,Asthma,b
OIC-076-19-B,Taking charge,What is the main objective of self-help groups?,To treat addiction through medication,To provide training for intermediaries in companies,To combat isolation and facilitate social links among members,To recruit new members for treatment centers,f
OIC-076-16-A,Management,What is the primary goal of Motivational Interviewing (MI) in treating alcohol dependence?,To suppress cravings.,To increase motivation to quit drinking completely.,To help individuals resolve ambivalence about seeking treatment.,To provide a temporary coping mechanism for heavy drinkers.,c
OIC-076-01-A,Epidemiology,"According to recent data from France, what percentage of the population drinks at risk for alcohol consumption?",1 in 10,2 in 5,3 in 4,1 in 20,b
OIC-076-13-A,Definition,What is the primary focus of primary prevention of alcohol misuse?,Substance-focused interventions,Individual-focused programs that address early use of psychoactive substances,Stigmatizing treatments for established dependence,Medication-based approaches to abstinence,b
OIC-049-13-B,Etiologies,What is the primary cause of Early Central Precocious Puberty (PP) in children?,Adrenal cortex involvement,McCune-Albright syndrome or ovarian cyst,Chiasma glioma or hydrocephalus,Environmental factors,c
OIC-049-08-B,Physiopathology,What is the primary role of LH in boys during puberty?,FSH stimulates testicular volume,LH stimulates the production of testosterone for secondary sexual characteristics development,Both FSH and LH contribute to the development of pubic hair,Oestrogen is responsible for musculoskeletal changes,b
OIC-049-12-B,Epidemiology,What type of precocious puberty is more common in boys?,Idiopathic,Organic,Central and frequent in boys,"Common in girls, rare in boys",b
OIC-049-07-B,Physiopathology,What triggers the reactivation of GnRH pulsatility?,FSH and LH,Leptin and genetic factors,Adrenal glands and testicular development,Growth hormone secretion peaks,b
OIC-049-16-A,Positive diagnosis,When does delayed puberty typically begin to be diagnosed in girls and boys?,after the age of 15,at any time before the age of 16,by the absence of breast development after the age of 13 and testicular enlargement after the age of 14,only if symptoms are severe enough to require medical attention,c
OIC-049-15-B,Etiologies,What does the presence of the sesamoid bone indicate about a child's bone age?,"The onset of puberty, but not necessarily early",Late puberty or delayed skeletal maturation,Early puberty or premature skeletal development,Normal bone growth patterns with no indication of developmental issues,c
OIC-049-18-B,Etiologies,Delayed Puberty in Boys vs Girls,Girls are more likely to have delayed puberty than boys.,Both boys and girls are equally likely to have idiopathic simple delayed puberty.,"In girls with delayed puberty, a family history of the condition is common.",Delayed puberty in both boys and girls is often organic (non-idiopathic) in nature.,a
OIC-049-05-B,Physiopathology,What is the approximate average age of peak bone growth in females?,13-14 years,12.5-15.5 years,10-11 years,16-17 years,b
OIC-049-11-A,Positive diagnosis,"When interpreting a growth curve, what does the annual growth rate measure?",The child's current weight or height in relation to age,The percentage change in height or weight over time,The proportion of children who are at the same height or weight as the child on a given day compared to others the same age,A single point on the growth curve representing the current measurement,b
OIC-049-17-A,Positive diagnosis,A patient presents with delayed puberty. What aspect of the clinical examination should be prioritized first?,Visual signs or signs of HTIC,Dysmorphia and skin spots,Complete examination including pubertal stage (Tanner) and growth rate/BMI curve,Personal history of chronic illness,c
OIC-049-02-A,Definition,What is the main cause of premature pubarche or adrenarche?,Activation of the gonadotropic axis,"Congenital adrenal hyperplasia, adrenal tumor, or gonadal tumor",Hormonal imbalance caused by thyroid issues,Genetic predisposition to early puberty,b
OIC-049-24-B,Additional examinations,What is the primary indication for brain MRI in central precocious puberty?,To assess bone age,To rule out a pituitary adenoma or hypothalamic tumor,To evaluate adrenal gland function,For routine screening of all children with early pubic hair growth,b
OIC-049-25-A,Additional examinations,What is the primary purpose of a pelvic ultrasound in girls suspected of having pathological puberty?,To assess for ovarian cysts or tumors,To evaluate breast development,To rule out uterine anomalies and measure uterine length,To determine the presence of a tumor on the ovaries.,c
OIC-049-01-A,Evaluation,What is a typical age range for the onset of menarche (first menstruation) in girls?,8-11 years,12-15 years,12.5 years,10-14 years,c
OIC-049-14-B,Etiologies,What is a common non-tumoral cause of Early Central Precocious Puberty (PP):,Chiasma glioma,Hydrocephalus,McCune-Albright syndrome,Testotoxicosis,b
OIC-049-26-B,Additional examinations,What does a wrist X-ray indicate about bone maturation?,A normal bone age means that the child has reached physical maturity,"An advanced bone age suggests early puberty, but it is only accurate within 2 years of the actual pubertal onset",A delayed bone age indicates late puberty and may be a sign of hypogonadism or other medical issues,A standard deviation below -2 years means that the child has not reached adulthood,b
OIC-049-03-B,Physiopathology,At what age does the acceleration in statural growth begin for girls?,First signs of puberty,Growth spurt at age 8,Menarche (first menstruation),Peak bone length by age 15,a
OIC-049-06-B,Physiopathology,What triggers the onset of puberty?,Growth hormone,Leptin,Insulin,Adrenaline,b
OIC-049-19-A,Etiologies,What is a correct categorization of Klinefelter Syndrome?,Peripheral Cause: Testicular Failure,Congenital & Genetic: Hypogonadotropic Hypogonadism,Simple Pubertal Delay: A variant of normal and diagnosis of elimination,"Acquired Central Cause: Tumor (e.g., craniopharyngioma), functional causes such as malnutrition or chronic illness",b
OIC-049-04-B,Definition,What is the purpose of illustrating Tanner stages?,To provide a visual assessment of physical development in children,To determine the exact date an individual reached puberty,To track changes in body shape and size over time,To establish the ideal physical appearance for adults,a
OIC-049-10-A,Positive diagnosis,What is the most relevant factor to consider when assessing precocious puberty?,Visual signs or signs of increased intracranial pressure,Parental heights with calculation of genetic target height,"Family or personal history (e.g., IUGR, neurological history, adoption, neurofibromatosis type 1 (NF1))",Analysis of growth rate (growth curve),c
OIC-049-09-A,Definition,At what age can advanced puberty occur?,Before 7,Between 8 and 9 years old (girls) or between 9 and 11 years old (boys),After 10,Anytime before the age of 12,b
OIC-347-04-A,Positive diagnosis,A patient presents with acute urine retention without any signs of infection or bowel obstruction. What is the primary clinical feature to look for?,Rectal examination,Pelvic examination in women only,Bladder emptying sensation,Suprapubic pain and inability to urinate,d
OIC-347-01-A,Definition,What is a common cause of acute urine retention in both men and women?,Severe lower back pain,Pelvic tumor,Constipation,Lower urinary tract infection,b
OIC-347-10-B,,"In acute urine retention, what is a key advantage of suprapubic catheterisation?",Simple procedure,Allows bladder washing and assessment of voiding recovery,Longer duration of use,Lower risk of complications,b
OIC-347-09-A,Identification of the emergency,What should be done in the case of hematuria associated with acute retention of urine?,Bladder catheterization without bladder washes,Bladder catheterization with bladder washes (dual stream catheter),"No treatment, as it's a normal part of the process",Try to pass a kidney stone,b
OIC-347-07-A,Additional tests,What is typically done if there's uncertainty about urinary retention diagnosis?,Performing an MRI scan,Doing additional tests as a matter of urgency,Ordering blood work for infection testing,Refer the patient to a specialist,b
OIC-347-05-B,,"In elderly patients hospitalized with undetermined confusion, what should be ruled out?",Gastroesophageal reflux disease,Acute urinary retention,Hypertension,Diabetic ketoacidosis,b
OIC-347-11-A,Management,What should be done to prevent vacuo hemorrhage during acute urinary retention?,Assess endovesical volume on catheterization,Prevent by clamping every 500ml,Monitor and treat obstruction lifting syndrome with hourly monitoring of diuresis and intravenous fluid compensation,Perform emergency bladder drainage,a
OIC-347-02-B,Physiopathology,What is necessary for normal micturition?,A voluntarily closing bladder neck,"An un-narrowed urethra and a contractile detrusor muscle, but voluntary sphincter control",Narrowed urethra,Bladder contraction without detrusor muscle involvement,b
OIC-347-08-A,Additional examinations,What is the primary purpose of performing additional tests after draining a bladder with acute urine retention?,To check for urinary tract infections,To assess for systemic causes of acute urine retention,To evaluate for complications such as kidney damage or electrolyte imbalances,To rule out prostate enlargement,c
OIC-347-03-A,Etiologies,What is a primary cause of acute urinary retention in men?,Severe genital prolapse,Benign prostatic hyperplasia (BPH),Diabetic/alcoholic polyneuropathy,Pelvic tumors,f
OIC-347-06-A,Positive diagnosis,What is a key difference between acute urine retention and anuria?,A patient with anuria may experience abdominal pain.,An anuric patient will typically have a full bladder.,Acute urine retention often results in a painful urination process.,"In anuria, the kidneys produce urine normally.",a
OIC-257-08-A,,What is the primary goal of symptomatic treatment in managing edematous syndromes?,To induce a negative sodium balance solely through diuretic therapy,Restricting sodium intake and increasing its elimination to achieve a negative sodium balance,Administering albumin infusions to maintain volemic expansion,Monitoring side effects but not actively trying to reduce sodium levels,b
OIC-257-01-A,Definition,What is oedema defined as?,Visible or palpable accumulation of fluid in muscles,Swelling caused by inflammation in a specific area,Excess sodium and water balance leading to swelling throughout the body,A localized condition only affecting joints,c
OIC-257-06-A,Additional tests,What is the primary indicator of hypoalbuminemia?,Low BNP concentration,"Proteinuria (urine dipstick screening, quantitative and qualitative measurement)","Reduced concentrations of nutritional proteins (pre-albumin, transferrin)",High liver enzymes,c
OIC-257-03-B,Physiopathology,What is the primary mechanism behind edema formation in nephrotic syndrome?,Decrease in plasma oncotic pressure,Increase in capillary permeability due to hypoalbuminemia,Renal failure leading to sodium retention and true hypervolemia,Cardiac output reduction causing effective hypovolemia,f
OIC-257-05-A,Positive diagnosis,What is a key distinguishing feature of localized oedema compared to generalized oedema?,It is always bilateral and symmetrical,It is usually unilateral or asymmetrical presentation,It can be painful and hard to the touch,It only appears in the lumbar region,b
OIC-257-07-A,Etiologies,What is the main etiology of localized edema?,Increased venous pressure due to varicose veins,Protein loss from cancer metastasis,Lymphatic obstruction by filariasis,Systemic inflammation caused by infection,a
OIC-257-02-B,Physiopathology,What is the primary cause of localized lower limb oedema?,An increase in venous pressure,A lymphatic obstacle,Local inflammatory pathology modifying capillary permeability due to inflammatory mediators,"A drug that decreases capillary permeability (e.g., beta-blockers)",a
OIC-299-06-B,Additional examinations,What is the primary advantage of using MRI over CT scans for diagnosing and preoperatively assessing adult intracranial tumours?,MRI requires no contrast injection,MRI provides more detailed information about tumour size and location compared to CT scans,"MRI can only be used in emergency situations, while CT scans are better for diagnosing acute haemorrhages",MRI is not effective for diagnosing intracerebral haematomas,b
OIC-299-07-A,Positive diagnosis,What is the primary purpose of the systematic search for a primary cancer in patients with brain metastases?,To confirm the presence of existing brain metastasis,To rule out melanoma as the source of cerebral metastasis through skin examination alone,To identify any other systemic metastases beyond the brain,To perform a full-body scan for signs of primary cancer in patients without further symptoms,c
OIC-299-03-B,Definition,Which type of brain tumour is most commonly seen in females?,Pituitary Adenoma,Low-Grade Glioma,Meningioma,Glioblastoma,c
