id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-019-13-B,Definition,What type of benefits are provided by health insurance schemes?,Reimbursement of healthcare costs,Replacement income for employees who are off work,Exemption from co-payment for insured persons,Daily allowances paid to employed individuals,a
OIC-019-03-B,Definition,What percentage of France's Gross Domestic Product was accounted for by social protection in 2020?,35%,40%,45%,50%,a
OIC-019-02-A,Definition,What is the primary purpose of social protection in France?,To provide financial assistance directly to individuals.,To offer free or reduced-price access to social services for specific groups.,"To cover all types of risks, including old age, health, employment, and poverty.",To only address the risk of unemployment and provide job training programs.,a
OIC-019-11-A,Definition,What is the primary role of the 'preferred doctor' in the coordinated care pathway?,To prescribe medication,To provide regular care and connect patients with other healthcare professionals,To directly access patients for specialized procedures without referral,To solely handle medical billing,b
OIC-019-06-B,Definition,What is the primary role of the Social Security Financing Act (LFSS)?,To set budgetary targets for state spending.,To determine conditions for financial equilibrium and set expenditure targets based on revenue forecasts.,To authorize collection of revenue from social security contributions.,To give Parliament control over the State's finance laws.,b
OIC-019-09-A,Definition,What is the primary mission of the Caisse Nationale d'Assurance Maladie (CNAM)?,To control healthcare expenditure nationwide.,To improve the efficiency and effectiveness of the healthcare system.,To pay for care provided to insured persons while improving the health of the population.,To develop a support system for patients with serious pathologies.,c
OIC-019-01-A,Definition,What is the primary goal of social protection mechanisms?,To provide financial benefits only for specific social risks,To establish solidarity between individuals to combat poverty and exclusion,To protect insured persons against loss of income due to social risks through transfer mechanisms,To cover certain categories of expenditure for all individuals without means-testing,c
OIC-283-02-A,Definition,How can constipation be defined as chronic?,Fewer than 3 bowel movements per week,"Exaggerated efforts to push, known as dyschezia",A combination of the above and a duration of at least 6 months,Passing liquid stools on multiple occasions,c
OIC-283-06-B,Etiologies,What is the primary distinction between idiopathic or primary constipation and secondary constipation?,"Idiopathic constipation refers to a condition where there are no apparent organic causes, while secondary constipation indicates an underlying disease or disorder.","Idiopathic constipation can be linked to a slowdown in colonic transit and/or a problem with rectal evacuation, whereas secondary constipation is caused by external factors such as medication or systemic diseases.","Secondary constipation occurs when there are no apparent organic causes, while idiopathic constipation indicates an underlying disease or disorder.",The two mechanisms of constipation can coexist in both idiopathic and secondary constipation.,b
OIC-283-01-B,Epidemiology,What age range is constipation most common in?,0-12 months,5-10 years old,1-4 years old,Teenagers and adults,c
OIC-283-05-A,Positive diagnosis,What is the primary purpose of the interrogatory process in diagnosing constipation?,To confirm the diagnosis of constipation only.,"To identify contributing factors (e.g., sedentary lifestyle, low-fiber diet) and detect symptoms suggesting a secondary cause.",To assess the impact on quality of life without identifying underlying causes.,To perform a proctological examination to look for local lesions.,b
OIC-283-07-A,Management,What is the recommended amount of fiber for adults with constipation?,10g/day,25g/day,40g/day,15g/day,b
OIC-283-09-B,Management,What is the primary goal of medicinal treatment for chronic constipation in older children?,To relieve symptoms immediately,To break the cycle of hard stools and pain by gradually reducing medication over several months,To treat only fecal impaction with enemas or PEG,To use osmotic agents as a first-line treatment for all children,b
OIC-283-04-B,Complementary examinations,"What is the indication for imaging examinations, such as defecography or MRI, for constipation?",Chronic constipation in children and adults without warning signs.,Symptoms worsening after age 50.,Failed conservative treatments and surgery consideration,Presence of rectal discharge or change in general condition.,c
OIC-283-08-B,Follow-up and/or prognosis,What is a common complication of chronic constipation in children?,Anal fissure only,Encopresis and urinary tract infections,Abdominal pain relieved by passing stools,Sub-occlusions and rectal prolapse,b
OIC-283-03-B,Physiopathology,What is the primary origin of constipation in children?,Congenital,Functional due to dietary habits,Organic due to rectal muscle weakness,Congenital with ionic disorders,b
OIC-005-09-A,Definition,What type of event results in abnormal damage with regard to the foreseeable evolution of a patient's health?,A medical error,A therapeutic hazard,An iatrogenic condition caused by misuse of medication,A natural disease progression,a
OIC-005-11-A,Definition,What is the defining characteristic of a therapeutic hazard?,It occurs due to negligence on the part of healthcare professionals.,It can be prevented by proper training and equipment.,"It is an undesirable event that is inherently linked to the medical act itself, regardless of fault or responsibility.",It only affects patients who have pre-existing conditions.,c
OIC-005-12-B,Epidemiology,What is a key factor leading to litigation following a medical accident?,Patient factors such as the severity of associated illnesses are the main cause of litigation.,Poor communication and organizational issues within healthcare institutions lead to most medical accidents.,The state of health of patients with chronic illnesses is a significant factor in medical accidents leading to litigation.,"Patient factors, such as language barriers or conflicts with carers, are the primary cause of medical errors.",d
OIC-005-13-A,Definition,What is a key factor that contributes to human error?,A lack of clear leadership within a team can lead to errors,"Individuals are solely responsible for their own mistakes, with no external factors at play",Stress and fatigue have no impact on an individual's ability to perform tasks accurately,Error-prevention is only possible through the implementation of systems and procedures,d
OIC-005-15-B,Definition,What is a key component of a positive error culture approach?,Blaming the person who made the mistake,"Sharing a non-blaming attitude among staff, management, and risk management unit",Only relying on passive systems for error detection,Focusing solely on external viewpoints during analysis,f
OIC-005-07-A,Definition,"According to Article L.1142-1 of the French Public Health Code, what must be proven for a doctor or healthcare establishment to be held liable?",That they did not follow established medical knowledge,That they acted with unreasonable obstinacy,That they are at fault and that their actions caused harm to the patient,That they did not provide adequate information about treatment costs,c
OIC-005-06-A,Definition,What type of liability is associated with damage related to care that occurred without any breach of professional or scientific rules or error?,Fault-based liability,No-fault liability,Strict liability,Tort liability,b
OIC-005-02-A,Definition,"According to the French Penal Code, what are the three categories of offences that doctors may be held responsible for?",Only contraventions,"Only délits and crimes, with no distinction made between them","Délits and crimes, with délits being more serious than crimes","Contraventions, délits, and crimes, with a focus on the breach of duty of humanity, unintentional injury, and manslaughter",d
OIC-005-01-A,Definition,What is the primary purpose of professional indemnity insurance?,To penalize healthcare professionals or institutions,To compensate users who have suffered adverse events,To cover salaried doctors for detachable faults and exceeded missions,To provide a right to compensation for loss of preparation,c
OIC-005-10-A,Definition,What type of infection is typically contracted during a stay in a healthcare establishment?,Community-acquired,Nosocomial infection,Incubating infection,Hospital-acquired infection,b
OIC-005-08-A,Definition,What type of error occurs when a necessary action has not been taken?,Error by commission,Error of execution,Omission,Breach (Violation/Non-compliance),c
OIC-005-04-A,Definition,What type of fault is likely to engage administrative liability of the public service?,Personal misconduct outside of duty,Misconduct committed in private setting,Faults in organization and operation of department,Criminal acts by the perpetrator,c
OIC-005-05-A,Definition,What type of liability is incurred when a doctor breaches the rules of medical ethics?,Civil,Criminal,Administrative,Disciplinary,f
OIC-005-14-B,,What is the primary purpose of conducting a root cause analysis?,To identify the immediate causes of an error,To determine if a patient has been harmed as a result of an error,To understand the underlying factors that led to an undesirable event in order to prevent future errors,To assign blame for a medical error,c
OIC-005-03-A,Definition,Who can be held civilly liable for damages to patients?,Doctors employed by private establishments,Self-employed professionals and private healthcare establishments,Only hospital practitioners,None of the above,b
OIC-050-16-B,Additional examinations,What should be done if there is doubt about the diagnosis of spermatic cord torsion?,Pursue further imaging to rule out other conditions,Perform surgical exploration without imaging,Conduct testicular ultrasound with Doppler on both sides for comparison,"Wait and observe symptoms, as it may not be a true case of cord torsion",c
OIC-050-14-A,Management,At what age can physiological phimosis in children be treated?,1-2 years,3-4 years,5-6 years,immediately after birth,b
OIC-050-07-B,Management,"In the management of testicular torsion, what is the primary goal of surgical intervention?",To close the spermatic cord to prevent re-torsion,To preserve the viability of the affected testicle through untwisting and orchidopexy,To delay surgical management to allow for further diagnostic testing,To remove the ischemic testicle without attempting to save it,b
OIC-050-12-B,Management,At what age should surgical treatment be considered for cryptorchidism?,0 years,1 year,5 years,10 years,b
OIC-050-11-B,Additional examinations,What is the indication for imaging in children with undescended testis?,No clinical examination can confirm diagnosis,If testicle cannot be felt on physical exam or under general anesthesia,As a routine screening procedure for all boys,Only if testicle is suspected to have cancer,b
OIC-050-13-A,,What is a common cause of balanoposthitis?,Infection with sexually transmitted diseases,Failure to retract the foreskin and accumulation of smegma,Poor hygiene in infancy,Genetic predisposition to diabetes,b
OIC-050-02-A,Emergency identification,"In cases of testicular torsion, what should be done if there is doubt about ischemia duration?",Delay treatment until testicular Doppler ultrasound results are confirmed,Perform external detorsion to relieve pain and reduce ischemia duration without delaying surgery,Wait for 6 hours after pain onset before performing surgery,"Perform surgery immediately, as it is a therapeutic emergency regardless of ischemia duration",d
OIC-050-09-B,Additional examinations,Why is scrotal ultrasound useful in cases of suspected hydrocele?,To confirm the diagnosis and rule out other conditions.,To perform a biopsy on the testicle or epididymis.,To treat hydrocele by draining the fluid,To diagnose scrotal hernia or testicular torsion.,a
OIC-050-05-B,Complementary examinations,What is the primary purpose of performing a PCR test on the first urine stream in young men with orchi-epididymitis?,To confirm the presence of Chlamydia trachomatis and gonococcus,To rule out the presence of other sexually transmitted infections,To detect bacterial antigens in the urine stream,To analyze the genetic material of the infection's causative agents,d
OIC-050-15-A,Positive diagnosis,What is the preferred age range for spermatic cord torsion to occur?,After the age of 40,"Infants, adolescents between 12 and 18 years of age, and young adults under 30 years of age",Older adults over 60 years old,Adults between 30-50 years old,b
OIC-050-08-A,Positive diagnosis,What is characteristic of hydrocele in adults?,Painful,Communicating with the vagina,Progressive increase in volume,Associated with hernia or tumour,c
OIC-050-04-A,Positive diagnosis,What is the typical cause of orchiepididymitis before puberty and after the age of 35?,Sexually transmitted infections (STIs),Urethral stricture,Enterobacteria,Prostate adenoma,c
OIC-050-06-A,Management,What is the first-line antibiotic treatment for orchi-epididymitis in children?,Cotrimoxazole,Fluoroquinolone (ciprofloxacin or levofloxacin),3rd generation cephalosporin,Penicillin,a
OIC-050-01-A,Positive diagnosis,A 10-year-old boy presents to a doctor with a painless swelling in the groin area. What is the most likely diagnosis?,Hydrocele,Cord Cyst,Inguinal or Inguino-scrotal Hernia,Varicocele,c
OIC-050-10-A,,What typically happens during embryological migration of a testicle?,It migrates directly from its formation site to the scrotum,There is no alteration in the normal path,"A halt occurs, causing cryptorchidism",The testicle always reaches the scrotum by birth,c
OIC-076-17-B,Management,When is hospital withdrawal indicated?,Only when a patient wishes to stop drinking alcohol temporarily.,"When there are no contraindications, supervised by the general practitioner or specialized outpatient team.","In cases of severe dependence, benzodiazepine dependence, repeated failed attempts at outpatient withdrawal, unfavorable social environment, vulnerable terrain, or patient's request.",At all times when a patient is not under medical supervision.,c
OIC-076-20-B,Management,"What is the primary purpose of medications such as acamprosate, naltrexone, and disulfiram?",To reduce alcohol consumption,To treat withdrawal symptoms,To prevent relapse after withdrawal,To manage withdrawal symptoms,c
OIC-076-10-A,Positive diagnosis,What is a social complication that can encourage relapse in individuals with alcohol dependence?,Housing problems,Debts,Precariousness itself,Child endangerment,c
OIC-076-11-A,Additional tests,What is the typical timeframe for blood alcohol levels to return to normal after stopping alcohol consumption?,1 week,4 to 10 weeks,3 months,6 months,b
OIC-076-07-A,Positive diagnosis,What type of withdrawal symptoms typically occur in the morning hours following cessation of alcohol consumption?,"Tremor (SD-128), anxiety (SD-116)",Insomnia (SD-135) and agitation (SD-114),"Nausea, anorexia, diarrhea",Seizures (SD-120) or delirium tremens,b
OIC-076-02-A,Definition,What is the primary characteristic of addiction?,A behavior that can be controlled despite negative consequences,A process driven by pleasure or relief from discomfort,A state of physical withdrawal from a substance,A condition resulting from prolonged exposure to a substance,b
OIC-076-04-A,,What is the recommended limit for drinking alcohol per day?,10 standard drinks,5 standard drinks,No more than 2 standard drinks,At least 3 standard drinks,c
OIC-076-08-A,Identify the emergency,What are the characteristic symptoms of acute alcohol intoxication?,Only euphoria and disinhibition at low doses.,A calm coma with decreased reaction time and dysarthria at high doses.,"Aggression, logorrhea, and joviality without any depressant effect.","Disturbances in perception, judgment, affect, cognitive faculties, and behavior without any physical symptoms.",b
OIC-076-05-A,Positive diagnosis,"According to ICD-11 criteria, what is required for a diagnosis of alcohol dependence?",At least three of the above criteria have occurred at the same time,Alcohol consumption causes physical or psychological damage without meeting any of the dependency criteria,The individual must be aware of the link between harm and use but continue to consume anyway,Harmful use and dependence are two separate diagnoses that exclude each other by convention,a
OIC-076-06-A,Positive diagnosis,What is considered a standard drink in France?,5 cL of wine,10 g of pure alcohol,1 glass of beer at 4°,25 cL of beer at 4°,b
OIC-076-15-A,Management,What is often the most realistic objective for a patient with severe dependence?,Return to moderate use,Complete cessation of consumption (abstinence),Gradual reduction in consumption until low-risk use,Increase consumption to reduce risks,b
OIC-076-14-B,Management,What is the primary goal of Early Identification and Brief Intervention (EIBI) for alcohol dependence?,To identify and treat individuals with severe addiction,To encourage individuals to reduce their alcohol consumption below low-risk guidelines,To provide ongoing therapy sessions for long-term recovery,To educate patients on the risks of excessive drinking but not intervene,b
OIC-076-18-B,Management,A patient experiencing a convulsive seizure due to alcohol withdrawal requires,Immediate glucose infusion and no vitamin B1 supplementation.,"High-dose benzodiazepines, parenteral vitamin B1, hydration, and monitoring of vital signs.","Restraint, sedation with long-term anticonvulsant treatment, and polyvitamin infusions without vitamin B1.",Hospitalization in a quiet room with regular visits from carers for reassurance and supervision.,b
OIC-076-09-A,Positive diagnosis,What is a common psychiatric comorbidity associated with alcohol misuse?,Schizophrenia,Bipolar disorder,Anxiety disorders and depressive disorders,Major depressive disorder,c
OIC-076-03-A,Definition,What is the relationship between dependence (ICD 11) and alcohol use disorder (DSM-5)?,Dependence corresponds to mild alcohol use disorder.,Dependence corresponds to moderate and severe alcohol use disorder.,Dependence does not correspond to any specific level of alcohol use disorder.,Dependence only corresponds to severe alcohol use disorder.,b
OIC-076-12-A,,What is a strong risk factor for cancer associated with alcohol consumption?,Colorectal cancer and breast cancer,"Cancer of the upper aerodigestive tract, squamous cell carcinoma of the esophagus, hepatocellular carcinoma","Gastroesophageal reflux disease, peptic ulcer disease, hepatic encephalopathy",Acute pancreatitis and chronic calcific pancreatitis,b
OIC-076-19-B,Taking charge,What is the main objective of self-help groups?,To provide training for intermediaries in companies,To combat isolation and facilitate social links,To engage with party environments and vulnerable populations through risk and harm reduction,To offer hospital addictology consultations,b
OIC-076-16-A,Management,What is a key application of Motivational Interviewing?,Only for treating severe addiction cases,"In all cases of substance use disorders, including mild and moderate addiction",Exclusively for individuals with co-occurring mental health conditions,For addressing underlying causes of addictive behaviors in children,b
OIC-076-01-A,Epidemiology,What is the main reason for the high rate of alcohol consumption in France?,Due to cultural and social factors,"Because it is a major contributor to premature deaths, similar to tobacco",As a result of being one of the few countries with a strong tradition of wine production,"Because most people drink at risk, with a clear male predominance",b
OIC-076-13-A,Definition,What is a key principle of primary prevention of alcohol misuse?,Focusing on the individual's past behaviors.,Addressing early use through judgmental messages.,Reducing risk factors and promoting healthy behavior through information and education.,Only addressing the substance itself.,c
OIC-049-13-B,Etiologies,What is a common underlying cause of Early Central Precocious Puberty (PP)?,Exposure to environmental toxins,Chiasma glioma or other intracranial tumors,Genetic mutations affecting hormone regulation,Ovarian cysts causing hormonal imbalance,b
OIC-049-08-B,Physiopathology,What triggers the onset of puberty?,FSH and LH,Leptin produced by adipose tissue,Genetic and ethnic factors,Intercurrent pathologies,a
OIC-049-12-B,Epidemiology,What is the typical gender distribution for central precocious puberty?,More frequent in boys than girls,Equal distribution between boys and girls,Girls are much more often affected than boys,Precocious puberty is rare in both boys and girls,a
OIC-049-07-B,Physiopathology,Which of the following is a factor that modulates GnRH pulsatility?,Leptin produced by adipose tissue,FSH produced by the anterior pituitary gland,Testosterone produced by the testes in boys,Oestrogens produced by the ovaries in girls,a
OIC-049-16-A,Positive diagnosis,What defines delayed puberty in girls?,Absence of pubic hair growth,No menstruation by age 12,Breast development after age 15,Testicular enlargement after age 16,c
OIC-049-15-B,Etiologies,What is a key indicator of the onset of puberty?,Advanced bone density,Appearance of the sesamoid bone at 11 in girls and 13 in boys,High levels of inhibin B in boys only,Low FSH and LH levels,b
OIC-049-18-B,Etiologies,What is the primary difference between central pubertal delay/simple pubertal delay (low FSH and LH) and peripheral pubertal delay (high FSH and LH)?,"Central pubertal delay has high FSH and LH, while simple pubertal delay has low FSH and LH.","Peripheral pubertal delay has low FSH and LH, while central pubertal delay has high FSH and LH.",The differences between the two are not clinically significant.,"Simple pubertal delay occurs in girls, while peripheral pubertal delay occurs in boys.",b
OIC-049-05-B,Physiopathology,What is the typical increase in height during the peak bone growth period for girls?,15-20cm,20-25cm,25-30cm,10-15cm,b
OIC-049-11-A,Positive diagnosis,"To calculate the annual growth rate, what is measured?",Height only,BMI and height,Weight only,Body temperature only,b
OIC-049-17-A,Positive diagnosis,What is the primary purpose of examining family history in assessing delayed puberty?,To identify potential genetic disorders,To rule out hormonal imbalances,To assess parental influence on growth rate,To determine the likelihood of a chromosomal abnormality,a
OIC-049-02-A,Definition,What is the primary cause of early pubic hair appearance (premature pubarche/adrenarche)?,Congenital adrenal hyperplasia or other pathological conditions.,Gonadal tumors or hormonal imbalances due to premature activation of the gonadotropic axis.,"Physiological increase in adrenal androgens around age 8, unrelated to underlying medical conditions.",Hormonal imbalance caused by a tumor on the ovaries.,c
OIC-049-24-B,Additional examinations,What imaging examination is typically recommended for girls with pathological peripheral puberty?,Pelvic CT scan,Pelvic ultrasound in girls,Bone density test,Full-body MRI,b
OIC-049-25-A,Additional examinations,What is the primary purpose of a pelvic ultrasound in girls with pathological puberty?,To rule out an ovarian tumor or cyst,To assess bone age and detect early puberty,To evaluate uterine length for signs of estrogen impregnation,To diagnose hand abnormalities,a
OIC-049-01-A,Evaluation,What is a common and transient condition in boys during puberty?,Enlargement of the breasts,Early appearance of pubic hair,Gynecomastia,Delayed testicular development,c
OIC-049-14-B,Etiologies,What is the primary cause of Early Central Precocious Puberty (PP) in children?,Infection or inflammation in the brain,Genetic mutation leading to tumor growth in the pituitary gland,Hormonal imbalance caused by an ovarian cyst or granulosa tumor,Exposure to certain environmental toxins,a
OIC-049-26-B,Additional examinations,What is a typical age range for bone maturation (bone age) based on a wrist X-ray?,8-10 years,11-13 years,12-14 years,15-17 years,c
OIC-049-03-B,Physiopathology,What is the typical increase in height during puberty for girls?,15-20cm,20-25cm,25-30cm,30-35cm,b
OIC-049-06-B,Physiopathology,What triggers the reactivation of GnRH pulsatility during puberty?,FSH,LH,Leptin,Growth hormone,c
OIC-049-19-A,Etiologies,What are the two main etiological frameworks for delayed puberty?,Hypothalamic-Pituitary or Gonadal Origins,Hypothalamic-Pituitary or Environmental Factors,Gonadal or Genetic Causes,Central or Peripheral Hormonal Imbalances,a
OIC-049-04-B,Definition,Which of the following best describes the progression of breast development in a girl during puberty?,Breast development starts with no sign (S1) and progresses to mature appearance (S5),"Breast development begins with small breast bud with enlarged areola (S2), followed by mammary gland extending beyond the surface of the areola (S3)","There is a direct correlation between breast development and external genitalia development, with both progressing simultaneously","No correlation exists between breast development and other Tanner stages, such as pubic hairiness or testicular volume",b
OIC-049-10-A,Positive diagnosis,What is the primary purpose of analyzing growth rate in identifying precocious puberty?,To determine if a child has reached full height,To assess family history for genetic disorders that may cause early puberty,"To evaluate the presence of visual signs of increased intracranial pressure, such as headache and nausea",To identify abnormal growth patterns indicative of precocious puberty,d
OIC-049-09-A,Definition,What defines precocious puberty?,Breast development before the age of 6 in girls.,A girl's breast development before the age of 8 or a boy's increase in testicular volume before the age of 9.,Advanced puberty is defined by an increase in height during childhood.,Puberty that begins at birth.,b
OIC-347-04-A,Positive diagnosis,What symptoms typically accompany acute urinary retention?,Dysuria and haematuria,Fever and pelvic pain,Suprapubic pain and inability to urinate despite bladder repletion,Rectal pain and bowel obstruction,c
OIC-347-01-A,Definition,What is the definition of acute urine retention?,Inability to urinate after an extended period without needing to,Complete and sudden inability to urinate despite an urgent or painful need to do so,Urination that occurs too frequently over a short period,Loss of bladder control due to nerve damage,b
OIC-347-10-B,,"In acute urine retention, what is a key advantage of suprapubic catheterisation?",Simple insertion,Allows bladder cleansing for haematuria diagnosis,No risk of urethral malpractice,Easy to use in non-decubitus positions,b
OIC-347-09-A,Identification of the emergency,What is a serious complication associated with acute urinary retention?,Bladder rupture,Obstruction lifting syndrome,Vacuo hematuria,Dehydration due to urine concentration issues,a
OIC-347-07-A,Additional tests,What is the recommended next step if there is any doubt about the diagnosis of acute urine retention?,Performing a urinalysis,Ordering a CT scan of the abdomen,Conducting a suprapubic ultrasound to assess bladder fullness,Referencing the patient's medical history,c
OIC-347-05-B,,Why might a patient with diabetes or spinal cord injury experience acute urine retention?,Acute urine retention is always painful due to infection or inflammation.,"The bladder becomes overactive and contracts too frequently, leading to urine leakage.",Bladder hyposensitivity secondary to vegetative neuropathy can cause painless urine retention in these patients.,"Sedation causes the bladder muscles to become paralyzed, preventing urine from being released.",c
OIC-347-11-A,Management,What is the primary goal of emergency management for acute urinary retention?,Preventing long-term damage to bladder tissue.,Reducing the risk of blood clots forming,Monitoring and treating potential complications such as haematuria or infection.,Performing a routine follow-up examination for outpatient treatment.,c
OIC-347-02-B,Physiopathology,What is necessary for normal micturition to occur?,A voluntarily closing bladder neck,An unnarrowed urethra,A bladder that contracts thanks to the detrusor muscle,A nervous system that allows simultaneous detrusor contraction and sphincter closure,c
OIC-347-08-A,Additional examinations,What is the primary purpose of conducting an upper urinary tract ultrasound after draining the bladder?,To check for kidney stones,To assess bladder function and detect potential tumors or blockages in the ureters,To evaluate electrolyte levels in the blood,"To screen for prostate issues, such as enlargement or cancer",b
OIC-347-03-A,Etiologies,What is a common cause of acute urinary retention in both men and women?,Pelvic tumors,Constipation,Urethral stricture,Epidural analgesia,c
OIC-347-06-A,Positive diagnosis,What distinguishes acute urine retention from anuria?,The presence of pain and desire to urinate,A normal-sized bladder globe,Urine production by the kidneys,Painful urination,a
OIC-257-08-A,,What type of diuretic has a synergistic effect with loop diuretics?,Thiazides,Spironolactone and Amiloride,Potassium-sparing diuretics,Alpha-blockers,b
OIC-257-01-A,Definition,What is oedema defined as?,Visible swelling of an entire limb due to systemic fluid imbalance,Accumulation of fluid in interstitial tissue,Inflammation of the lymphatic system,Narrowing of blood vessels causing reduced blood flow,b
OIC-257-06-A,Additional tests,What type of fluid accumulation in the lower limbs is typically characterized by a protein concentration <20 g/Litre?,Exudate,Serous effusion,Transudate with hypoalbuminemia,Intracellular hyperhydration,b
OIC-257-03-B,Physiopathology,What is the primary mechanism of edema formation in nephrotic syndrome?,True hypervolemia: primary sodium retention by the kidney during renal failure,"Relative or effective hypovolemia: right or global cardiac insufficiency, edema-ascitic decompensation of cirrhosis, hypoalbuminemia",Effective hypovolemia secondary to a reduction in cardiac output stimulating antinatriuretic systems,A primary excess of distal sodium reabsorption leading to positive sodium balance,b
OIC-257-05-A,Positive diagnosis,What is a characteristic difference between localized and generalized oedema?,Localized oedema can be distinguished from generalised oedema by its unilateral or asymmetrical presentation,"Generalized oedema typically presents with bilateral and symmetrical distribution, whereas localized oedema may have an uneven pattern",Localized oedema is more likely to cause pain and inflammation than generalized oedema,The location of the oedema on the body does not differ between localized and generalized oedema,b
OIC-257-07-A,Etiologies,What is a common cause of generalized edema in adults and children?,Acute nephritic syndrome,Chronic respiratory insufficiency,Glomerular nephropathy,Valvular disease,c
OIC-257-02-B,Physiopathology,What is a common cause of localized lower limb oedema?,Increased venous pressure,A lymphatic obstacle,Local inflammatory pathology modifying capillary permeability due to inflammatory mediators,"A drug that increases capillary permeability (e.g., NSAIDs)",a
OIC-299-06-B,Additional examinations,What type of imaging scan is most effective for diagnosis and preoperative assessment of adult intracranial tumours?,CT scans without contrast injections,MRI scans with contrast injections,Both CT and MRI scans are equally effective,Only brain scans in emergency situations,b
OIC-299-07-A,Positive diagnosis,"When searching for primary cancer in the presence of brain metastases, what imaging modality is typically used?",Mammography,Thoracic-abdominal-pelvic scan with injection of contrast medium,Fluorodeoxyglucose PET scanner (18F),Ultrasound examination,b
OIC-299-03-B,Definition,What is the typical age range for meningioma incidence?,20-30 years,40-50 years,50-70 years,80+ years,c
OIC-299-02-A,Definition,What type of tumour is a meningioma?,Intra-axial,Primary Adnexal Tumour,Secondary Brain Tumour,Glioblastoma,b
OIC-299-01-A,Definition,What is the typical location of most glioblastoma cases?,Supra Tentorial,Infra Tentorial,Intra-parenchymal Tumour,Extra-parenchymal Tumour,a
