id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-042-06-B,"{'question': 'What is one of the primary known causes of premature ovarian failure?', 'option_a': 'High levels of estrogen', 'option_b': 'Genetic disorders like Turner syndrome', 'option_c': 'Excessive physical exercise', 'option_d': 'Vitamin deficiency', 'correct_option': 'B'}",Etiologies,What is one of the primary known causes of premature ovarian failure?,High levels of estrogen,Genetic disorders like Turner syndrome,Excessive physical exercise,Vitamin deficiency,b
OIC-042-08-B,"{'question': 'What is the most frequent cause of amenorrhoea with hyperandrogenism in women of childbearing age?', 'option_a': 'Adrenal tumors', 'option_b': 'Polycystic Ovary Syndrome (PCOS)', 'option_c': 'Thyroid dysfunction', 'option_d': 'Premature ovarian failure', 'correct_option': 'B'}",Etiologies,What is the most frequent cause of amenorrhoea with hyperandrogenism in women of childbearing age?,Adrenal tumors,Polycystic Ovary Syndrome (PCOS),Thyroid dysfunction,Premature ovarian failure,b
OIC-042-01-A,"{'question': 'What is the defining characteristic of primary amenorrhoea?', 'option_a': 'Absence of menstruation after age 15 with normal secondary sexual development', 'option_b': 'Cessation of menstruation for more than three months in a previously menstruating woman', 'option_c': 'Menstrual cycles lasting more than 45 days', 'option_d': 'Absence of menstruation before the age of 12', 'correct_option': 'A'}",Definition,What is the defining characteristic of primary amenorrhoea?,Absence of menstruation after age 15 with normal secondary sexual development,Cessation of menstruation for more than three months in a previously menstruating woman,Menstrual cycles lasting more than 45 days,Absence of menstruation before the age of 12,a
OIC-328-06-B,"{'question': 'What is the primary objective of immobilisation orthoses?', 'option_a': 'Improve joint function', 'option_b': 'Relieve joint pain', 'option_c': 'Immobilise a joint', 'option_d': 'Improve mobility', 'correct_option': 'C'}",Management of costs,What is the primary objective of immobilisation orthoses?,Improve joint function,Relieve joint pain,Immobilise a joint,Improve mobility,c
OIC-328-12-B,"{'question': 'Which type of therapy is NOT recognized or reimbursed by Health Insurance in the context of spa treatments?', 'option_a': 'Thermal medicine', 'option_b': 'Hydrotherapy', 'option_c': 'Thalassotherapy', 'option_d': 'Functional rehabilitation', 'correct_option': 'C'}",Definition,Which type of therapy is NOT recognized or reimbursed by Health Insurance in the context of spa treatments?,Thermal medicine,Hydrotherapy,Thalassotherapy,Functional rehabilitation,c
OIC-328-05-A,"{'question': 'What is the primary purpose of orthosis in medical treatment?', 'option_a': 'To treat injuries after trauma or surgery.', 'option_b': 'To provide stabilization and correction.', 'option_c': 'To enhance athletic performance.', 'option_d': 'To replace lost limbs.', 'correct_option': 'B'}",Definition,What is the primary purpose of orthosis in medical treatment?,To treat injuries after trauma or surgery.,To provide stabilization and correction.,To enhance athletic performance.,To replace lost limbs.,b
OIC-328-08-A,"{'question': 'Which component of a limb prosthesis is designed to directly accommodate the residual limb and sleeve?', 'option_a': 'End Effector', 'option_b': 'Socket', 'option_c': 'Aesthetic Trim', 'option_d': 'Intermediate Effector', 'correct_option': 'B'}",Definition,Which component of a limb prosthesis is designed to directly accommodate the residual limb and sleeve?,End Effector,Socket,Aesthetic Trim,Intermediate Effector,b
OIC-328-02-A,"{'question': 'What is the primary function of a medical device according to EU regulation 2017/745?', 'option_a': 'To achieve its main effect through pharmacological means', 'option_b': 'To standardize pricing and reimbursements', 'option_c': 'To serve a medical purpose without pharmacological action', 'option_d': 'To replace human-origin products in medical treatments', 'correct_option': 'C'}",Definition,What is the primary function of a medical device according to EU regulation 2017/745?,To achieve its main effect through pharmacological means,To standardize pricing and reimbursements,To serve a medical purpose without pharmacological action,To replace human-origin products in medical treatments,c
OIC-328-07-B,"{'question': 'What is an important consideration when prescribing orthoses?', 'option_a': 'The color of the orthosis is the primary concern.', 'option_b': 'Orthoses should always be one-size-fits-all.', 'option_c': ""The patient's specific needs and condition should guide the prescription."", 'option_d': 'Orthoses should only be used for aesthetic purposes.', 'correct_option': 'C'}",,What is an important consideration when prescribing orthoses?,The color of the orthosis is the primary concern.,Orthoses should always be one-size-fits-all.,The patient's specific needs and condition should guide the prescription.,Orthoses should only be used for aesthetic purposes.,c
OIC-328-04-B,"{'question': 'What distinguishes major equipment from minor appliances in medical devices?', 'option_a': 'Major equipment is made from standard materials and is available on simple prescription.', 'option_b': 'Minor appliances are custom-made and require specialist prescriptions.', 'option_c': 'Major equipment requires a specific prescription form and prior agreement.', 'option_d': 'Minor appliances are reimbursed at 100% if ALD.', 'correct_option': 'C'}",Definition,What distinguishes major equipment from minor appliances in medical devices?,Major equipment is made from standard materials and is available on simple prescription.,Minor appliances are custom-made and require specialist prescriptions.,Major equipment requires a specific prescription form and prior agreement.,Minor appliances are reimbursed at 100% if ALD.,c
OIC-328-10-B,"{'question': 'Which of the following technical aids is specifically indicated for assisting with communication in neurological pathology?', 'option_a': 'Braille', 'option_b': 'Voice synthesis', 'option_c': 'Hearing aids', 'option_d': 'Home automation', 'correct_option': 'B'}",Definition,Which of the following technical aids is specifically indicated for assisting with communication in neurological pathology?,Braille,Voice synthesis,Hearing aids,Home automation,b
OIC-328-09-A,"{'question': 'What is a key feature of custom-made orthopedic shoes?', 'option_a': 'They are only prescribed for trophic disorders.', 'option_b': 'They are typically reimbursed at 60% when prescribed by a specialist.', 'option_c': 'They are indicated for neurological pathology and other specific conditions.', 'option_d': 'They can be prescribed by any doctor for temporary use.', 'correct_option': 'C'}",Definition,What is a key feature of custom-made orthopedic shoes?,They are only prescribed for trophic disorders.,They are typically reimbursed at 60% when prescribed by a specialist.,They are indicated for neurological pathology and other specific conditions.,They can be prescribed by any doctor for temporary use.,c
OIC-328-03-B,"{'question': 'What is the primary difference in the financing of medical devices used in hospitals versus towns and cities?', 'option_a': 'In hospitals, all medical devices are financed by the LPPR.', 'option_b': 'In towns, devices are financed by the hospital stay charge.', 'option_c': ""In hospitals, devices are covered by the hospital stay charge unless listed as 'extra'."", 'option_d': 'In towns, devices are financed by the GHS.', 'correct_option': 'C'}",Management,What is the primary difference in the financing of medical devices used in hospitals versus towns and cities?,"In hospitals, all medical devices are financed by the LPPR.","In towns, devices are financed by the hospital stay charge.","In hospitals, devices are covered by the hospital stay charge unless listed as 'extra'.","In towns, devices are financed by the GHS.",c
OIC-328-01-A,"{'question': 'What is the primary factor considered when prescribing non-drug therapies?', 'option_a': ""Patient's financial status"", 'option_b': ""Patient's disabilities and activity limitations"", 'option_c': ""Patient's preferred therapy type"", 'option_d': ""Patient's age and gender"", 'correct_option': 'B'}",Evaluation,What is the primary factor considered when prescribing non-drug therapies?,Patient's financial status,Patient's disabilities and activity limitations,Patient's preferred therapy type,Patient's age and gender,b
OIC-328-11-A,"{'question': 'What is required for prescribing an electric wheelchair?', 'option_a': 'A simple prescription only', 'option_b': 'A trial certificate and prior agreement with health insurance', 'option_c': 'Only a trial conducted by any doctor', 'option_d': 'Purchase or rental option', 'correct_option': 'B'}",Definition,What is required for prescribing an electric wheelchair?,A simple prescription only,A trial certificate and prior agreement with health insurance,Only a trial conducted by any doctor,Purchase or rental option,b
OIC-269-07-A,"{'question': 'What is the primary purpose of prescribing biological tests in the event of acute abdominal pain?', 'option_a': 'To immediately treat the suspected condition.', 'option_b': 'To confirm the aetiology suspected after clinical examination.', 'option_c': 'To replace the need for a clinical examination.', 'option_d': 'To test for all possible causes of abdominal pain.', 'correct_option': 'B'}",Additional tests,What is the primary purpose of prescribing biological tests in the event of acute abdominal pain?,To immediately treat the suspected condition.,To confirm the aetiology suspected after clinical examination.,To replace the need for a clinical examination.,To test for all possible causes of abdominal pain.,b
OIC-269-01-A,"{'question': 'What is a key sign of abdominal pain in infants according to the examination guidelines?', 'option_a': 'Localized pain in the abdomen', 'option_b': 'Crying, screaming, or restlessness', 'option_c': 'Specific topography of pain', 'option_d': 'Clear verbal communication of pain', 'correct_option': 'B'}",Positive diagnosis,What is a key sign of abdominal pain in infants according to the examination guidelines?,Localized pain in the abdomen,"Crying, screaming, or restlessness",Specific topography of pain,Clear verbal communication of pain,b
OIC-269-02-A,"{'question': 'What is the most common life-threatening abdominal condition in children aged 2 to 12 years?', 'option_a': 'Strangulated inguinal hernia', 'option_b': 'Appendicitis and appendicular peritonitis', 'option_c': 'Acute intestinal invagination', 'option_d': 'Small bowel volvulus', 'correct_option': 'B'}",Positive diagnosis,What is the most common life-threatening abdominal condition in children aged 2 to 12 years?,Strangulated inguinal hernia,Appendicitis and appendicular peritonitis,Acute intestinal invagination,Small bowel volvulus,b
OIC-269-05-A,"{'question': 'What is the gold standard diagnostic test for acute intestinal intussusception in children?', 'option_a': 'Abdominal ultrasound', 'option_b': 'CT scan', 'option_c': 'MRI', 'option_d': 'Blood test', 'correct_option': 'A'}",Identifying the emergency,What is the gold standard diagnostic test for acute intestinal intussusception in children?,Abdominal ultrasound,CT scan,MRI,Blood test,a
OIC-269-09-A,"{'question': 'What is a common characteristic of biliary pain?', 'option_a': 'Pain relief with meals', 'option_b': 'Spasms/torsion type pain', 'option_c': 'Irradiation to the left scapula', 'option_d': 'Pain worsens with stool evacuation', 'correct_option': 'B'}",Etiologies,What is a common characteristic of biliary pain?,Pain relief with meals,Spasms/torsion type pain,Irradiation to the left scapula,Pain worsens with stool evacuation,b
OIC-269-08-A,"{'question': 'Which imaging examination is considered the first-line choice for diagnosing gynecological and urinary pathologies in acute abdominal pain?', 'option_a': 'Abdominal Ultrasound', 'option_b': 'Injected Abdomino-Pelvic Scanner', 'option_c': 'Oesogastroduodenal Endoscopy', 'option_d': 'Chest X-ray', 'correct_option': 'A'}",Additional examinations,Which imaging examination is considered the first-line choice for diagnosing gynecological and urinary pathologies in acute abdominal pain?,Abdominal Ultrasound,Injected Abdomino-Pelvic Scanner,Oesogastroduodenal Endoscopy,Chest X-ray,a
OIC-269-06-A,"{'question': 'What is the primary purpose of questioning and physical examination in cases of acute abdominal pain?', 'option_a': ""To determine the patient's medical history"", 'option_b': 'To identify potential causes of the pain', 'option_c': ""To assess the patient's cardiovascular risk factors"", 'option_d': 'To prescribe medication', 'correct_option': 'B'}",Positive diagnosis,What is the primary purpose of questioning and physical examination in cases of acute abdominal pain?,To determine the patient's medical history,To identify potential causes of the pain,To assess the patient's cardiovascular risk factors,To prescribe medication,b
OIC-269-04-A,"{'question': 'Which of the following is a warning sign that indicates a potential surgical emergency in children?', 'option_a': 'Mild abdominal discomfort', 'option_b': 'Bilious vomiting', 'option_c': 'Slight fever', 'option_d': 'Intermittent headache', 'correct_option': 'B'}",Identifying an emergency,Which of the following is a warning sign that indicates a potential surgical emergency in children?,Mild abdominal discomfort,Bilious vomiting,Slight fever,Intermittent headache,b
OIC-269-03-A,"{'question': 'What is the first-line imaging examination for diagnosing acute abdominal pain in children when additional tests are required?', 'option_a': 'CT scan', 'option_b': 'X-ray', 'option_c': 'MRI', 'option_d': 'Ultrasound scan', 'correct_option': 'D'}",,What is the first-line imaging examination for diagnosing acute abdominal pain in children when additional tests are required?,CT scan,X-ray,MRI,Ultrasound scan,d
OIC-019-05-A,"{'question': 'What major change occurred in 2018 regarding the management of social risks within the General Scheme in France?', 'option_a': 'The General Scheme included government contract workers.', 'option_b': 'The General Scheme abolished the Family branch.', 'option_c': 'The General Scheme began managing social risks for the self-employed.', 'option_d': 'The General Scheme merged with private insurance companies.', 'correct_option': 'C'}",Definition,What major change occurred in 2018 regarding the management of social risks within the General Scheme in France?,The General Scheme included government contract workers.,The General Scheme abolished the Family branch.,The General Scheme began managing social risks for the self-employed.,The General Scheme merged with private insurance companies.,c
OIC-019-12-A,"{'question': 'What is the main benefit for a patient with a condition covered under the ALD protocol?', 'option_a': 'Exemption from all medical costs.', 'option_b': 'Reimbursement of care at 100% for conditions compliant with the ALD protocol.', 'option_c': 'Free access to any specialist without referral.', 'option_d': 'Automatic inclusion of their diagnosis in national health records.', 'correct_option': 'B'}",,What is the main benefit for a patient with a condition covered under the ALD protocol?,Exemption from all medical costs.,Reimbursement of care at 100% for conditions compliant with the ALD protocol.,Free access to any specialist without referral.,Automatic inclusion of their diagnosis in national health records.,b
OIC-019-08-A,"{'question': 'Which of the following statements is true about the French Social Security system?', 'option_a': 'The general scheme only covers self-employed individuals.', 'option_b': 'The agricultural scheme represents 88% of the French population.', 'option_c': 'Special schemes have increased in number since 1945.', 'option_d': 'The general scheme now includes the self-employed since 2018.', 'correct_option': 'D'}",Definition,Which of the following statements is true about the French Social Security system?,The general scheme only covers self-employed individuals.,The agricultural scheme represents 88% of the French population.,Special schemes have increased in number since 1945.,The general scheme now includes the self-employed since 2018.,d
OIC-019-04-B,"{'question': 'What is the primary trend in the funding sources for social protection since 1990?', 'option_a': 'Increase in reliance on social security contributions', 'option_b': 'Decline in fiscal resources like the CSG', 'option_c': ""Increase in exemptions on employers' contributions"", 'option_d': 'Growth in earmarked taxes and fiscal resources', 'correct_option': 'D'}",,What is the primary trend in the funding sources for social protection since 1990?,Increase in reliance on social security contributions,Decline in fiscal resources like the CSG,Increase in exemptions on employers' contributions,Growth in earmarked taxes and fiscal resources,d
OIC-019-10-A,"{'question': ""What is the primary purpose of the 'ticket modérateur' in the French healthcare system?"", 'option_a': 'To fully cover all healthcare costs.', 'option_b': 'To regulate healthcare consumption by making patients financially responsible.', 'option_c': 'To exempt all patients from any healthcare payments.', 'option_d': 'To ensure all treatments are free for minors.', 'correct_option': 'B'}",,What is the primary purpose of the 'ticket modérateur' in the French healthcare system?,To fully cover all healthcare costs.,To regulate healthcare consumption by making patients financially responsible.,To exempt all patients from any healthcare payments.,To ensure all treatments are free for minors.,b
OIC-019-07-B,"{'question': 'What is the primary purpose of the National Health Insurance Expenditure Target (ONDAM) in France?', 'option_a': 'To increase funding for public health campaigns.', 'option_b': 'To regulate health insurance expenditure annually.', 'option_c': 'To provide direct subsidies to private healthcare providers.', 'option_d': 'To allocate resources for emergency medical research.', 'correct_option': 'B'}",Definition,What is the primary purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To increase funding for public health campaigns.,To regulate health insurance expenditure annually.,To provide direct subsidies to private healthcare providers.,To allocate resources for emergency medical research.,b
