id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-11-A,Definition,Which of the following statements accurately reflects the process for prescribing wheelchairs according to the provided educational content?,Electric wheelchairs can be prescribed by any doctor without a trial.,Manual wheelchairs require a trial by a PRM doctor and a physiotherapist or occupational therapist.,"Electric wheelchairs require a simple prescription and a trial certificate, and may be covered by health insurance with prior agreement.",Both manual and electric wheelchairs are only available for purchase and cannot be rented.,C
OIC-019-05-A,Definition,Which of the following correctly describes the structure and management of the French General Scheme of Social Security as of 2021?,"Four autonomous branches managed by private-law bodies, with no central coordination.","Five autonomous branches managed by public administrative bodies, with a central coordination by the national fund.","Six autonomous branches managed by the Ministry of the Economy, Finance and Recovery, with no regional involvement.","Three autonomous branches managed by regional funds, with no national oversight.",B
OIC-019-12-A,,What are the conditions under which an insured person may be exempted from co-payment for care according to the ALD protocol?,Any illness requiring less than six months of treatment,"Serious or incapacitating illness not on the list of 30 ALD, involving prolonged treatment of more than six months",Illnesses that can be treated with over-the-counter medication,"All illnesses, regardless of treatment duration or severity",B
OIC-019-08-A,Definition,Which of the following statements accurately reflects the characteristics and changes of special social security schemes in France since their inception in 1945?,"The number of special schemes has increased, with most now offering identical benefits to the Régime Général.","Special schemes have remained largely unchanged, maintaining distinct benefits separate from the Régime Général.","The number of special schemes has significantly decreased, with many now aligning their benefits more closely with those of the Régime Général.","Special schemes have been fully integrated into the Régime Général, with no distinct benefits or separate management.",C
OIC-019-04-B,,"What has been the trend in the proportion of social security contributions in social welfare funding since 1990, and which of the following is NOT a contributing factor to this trend?",Declining proportion of social security contributions due to increased fiscal resources like the CSG.,"Growing proportion of earmarked taxes, including taxes on products and income/wealth.",Increased state public contributions to solidarity spending and subsidies for schemes.,Rise in social security contributions due to the increase in professional activity.,D
OIC-019-10-A,,"What is the maximum annual out-of-pocket expense for a patient under the French social security system, including co-payments and excesses, excluding exemptions?",€50,€52,€55,€100,B
OIC-019-07-B,Definition,What is the primary purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To set the annual budget for the French government.,To forecast and regulate health insurance expenditure for outpatient and inpatient care.,To determine the salaries of healthcare professionals.,To allocate funds for the construction of new hospitals.,B
OIC-019-13-B,Definition,"Which of the following statements accurately describes the benefits provided by health insurance schemes in the event of illness, maternity, or an accident at work?","Cash benefits are only provided for long-term conditions and maternity, while benefits in kind cover all other healthcare costs.","Benefits in kind include 100% coverage for prenatal examinations and medical examinations up to the 12th day after birth, with no co-payment required.","Invalidity pension is calculated solely based on the insured person's age, regardless of their ability to work or earn an income.","Death benefit is paid to beneficiaries under certain conditions, but only if the person was not in active employment at the time of death.",B
OIC-019-03-B,Definition,What factors have contributed to the increase in health insurance benefits in France in 2020?,Decrease in consultations with GPs and specialists,"Increase in hospital and outpatient care, daily benefits, and medical and social benefits",Reduction in the number of accidents at work,Decrease in public hospital expenditure,B
OIC-019-02-A,Definition,Which of the following is NOT a category of social protection benefits in France?,Education Risk,Old Age-Survival Risk,Health Risk,Employment Risk,A
OIC-019-11-A,Definition,"In the context of the coordinated care pathway, what is the role of the attending physician when a patient is affected by a long-term condition?",The attending physician is responsible for increasing the patient's co-payment.,The attending physician manages the medical file and ensures care is reimbursed at 100% by the Assurance Maladie.,The attending physician must refer the patient to a specialist for treatment.,The attending physician charges extra fees for seeing the patient.,B
OIC-019-06-B,Definition,What is the primary role of the Social Security Financing Act (LFSS) in the context of social security and health spending?,To directly set social security revenues and limit expenditure.,To control social and health spending by forecasting revenue and setting expenditure targets.,To authorize the collection of social security revenue and determine the State budget.,To provide a budgetary scope for the State's finance laws and allow for unlimited parliamentary control.,B
OIC-019-09-A,Definition,What is the primary mission of the Caisse Nationale d'Assurance Maladie (CNAM) within the General Social Security System?,"To manage the risks of sickness, maternity, disability, and death, and to pay for the care provided to insured persons.",To set the prices for all medical procedures and handle all healthcare expenditures.,To exclusively improve the health of the population without considering the efficiency of the healthcare system.,To solely control healthcare expenditure without contributing to the health of the population.,A
OIC-019-01-A,Definition,Which of the following best describes the Compulsory Social Insurance Approach to social protection?,Benefits are granted based on individual savings and private insurance.,Benefits are provided to all individuals regardless of their income or contributions.,Benefits are financed by social contributions deducted from income and reserved for those who pay contributions or their beneficiaries.,Benefits are offered to combat poverty and exclusion without covering specific risks.,C
OIC-283-02-A,Definition,What is the minimum duration for constipation to be considered chronic in adults?,3 months,6 months,1 year,2 weeks,B
OIC-283-06-B,Etiologies,Which of the following is NOT a characteristic of secondary constipation in adults?,Presence of a rectal mass,Rectal bleeding and melena,Increased frequency and amplitude of colonic contractions,Weight loss and changes in general condition,C
OIC-283-01-B,Epidemiology,What is the prevalence of constipation in school-age children according to the provided educational content?,1-2% of pediatric consultations,5% of pediatric consultations,10-15% of pediatric consultations,Up to a third of school-age children,D
OIC-283-05-A,Positive diagnosis,"During the clinical examination of a patient with suspected constipation, which of the following findings is most indicative of a potential secondary cause of constipation?",Presence of anal sphincter paradoxical contraction,Tenderness in the left iliac fossa,Abdominal meteorism,Rectal impaction,D
OIC-283-07-A,Management,Which of the following is a recommended first-line treatment for constipation in adults according to the educational content provided?,Increasing water intake significantly,Regular physical exercise,Osmotic and ballast laxatives,Surgery for pelvic static disorders,C
OIC-283-09-B,Management,Which of the following is a recommended long-term management strategy for chronic constipation in older children?,Immediate and continuous high-dose PEG administration,"Prolonged use of osmotic agents, followed by gradual reduction and combination with hygienic and dietary measures",Exclusive use of enemas for several months,"Psychological treatment only, without any hygienic or dietary interventions",B
OIC-283-04-B,Complementary examinations,Which of the following is NOT a recommended situation for performing a colonoscopy with general anaesthetic in patients with constipation?,The patient is over the age of 50 and symptoms have recently worsened.,The patient has a first-degree family history of colon cancer.,The patient presents with warning signs such as rectal discharge and change in general condition.,The patient is experiencing chronic constipation without any warning signs for the first time.,D
OIC-283-08-B,Follow-up and/or prognosis,Which of the following complications is most commonly associated with chronic constipation in children after the age of 4?,Anal fissure,Rectal prolapse,Encopresis,Urinary tract infections,C
OIC-283-03-B,Physiopathology,Which of the following is a primary factor in the development of functional constipation in children after 6 months of age?,Reflex mechanism,Terminal retention of stool,Exclusive lacto-meal diet,Hypertonia of the sphincter,B
OIC-005-09-A,Definition,What is the primary difference between a medical accident and an iatrogenic condition?,"A medical accident is always caused by a healthcare professional's error, while an iatrogenic condition is not.","A medical accident results in abnormal damage during care, while an iatrogenic condition is harmful effects triggered by a treatment, regardless of error or fault.","Iatrogenic conditions are always preventable, whereas medical accidents are not.","Medical accidents occur only in private healthcare settings, while iatrogenic conditions occur in all healthcare settings.",B
OIC-005-11-A,Definition,What is the primary distinction between a therapeutic hazard and a medical error?,"A therapeutic hazard is always intentional, while a medical error is accidental.","A therapeutic hazard is an undesirable event caused by a compliant and error-free care action, while a medical error involves a deviation from standard care.","A therapeutic hazard can be controlled by healthcare professionals, while a medical error cannot.",A therapeutic hazard is less serious than a medical error and does not require reporting.,B
OIC-005-12-B,Epidemiology,Which of the following factors is least likely to contribute to litigation following a medical accident?,Effective communication within the healthcare team and with the patient.,Adequate supervision of junior staff during training.,The presence of a robust adverse event reporting system.,The patient's preference for a specific brand of medical equipment.,D
OIC-005-13-A,Definition,"Which of the following is NOT a contributing factor to human error in medical settings, according to the provided educational content?",Insufficient knowledge or experience,Effective team communication and leadership,Stress and fatigue,Cultural misunderstandings,B
OIC-005-15-B,Definition,"Which of the following best describes the approach to error reporting and analysis in healthcare settings, according to the provided educational content?","Errors are primarily identified through active systems that rely on voluntary reporting by healthcare professionals, and serious adverse events are analyzed with a blaming attitude towards the individual who made the mistake.","Serious adverse events are analyzed exclusively through passive systems, and reporting errors is discouraged to maintain professional integrity.","A positive error culture encourages the reporting of errors without blame, with analysis conducted by a neutral external viewpoint or within the hospital department, aiming to prevent recurrence and support the well-being of healthcare professionals.","The healthcare risk management system relies solely on retrospective analysis of files, and reporting errors is penalized to ensure accountability and prevent future mistakes.",C
OIC-005-07-A,Definition,"Which of the following scenarios would most likely NOT result in medical liability for negligence under French law, according to the provided educational content?","A doctor performs a surgery without obtaining informed consent from the patient, violating their right to informed consent.","A healthcare professional breaches patient confidentiality, infringing the patient's right to privacy and confidentiality of information.",A patient experiences an adverse reaction to a medication that was prescribed based on established medical knowledge and scientific data.,"A patient refuses a life-saving treatment due to a lack of information, but the healthcare professional provided all necessary information for informed consent.",D
OIC-005-06-A,Definition,"What does the term ""no-fault liability"" refer to in the context of medical practice?",Liability incurred due to a proven breach of professional rules.,Compensation for damages that occur despite adherence to professional and scientific standards.,Liability for damages that arise from events not involving any breach of professional or scientific rules.,Liability that is only applicable in criminal cases within the medical field.,C
OIC-005-02-A,Definition,Which of the following scenarios would most likely result in criminal liability for a doctor under French law?,A doctor fails to inform a patient about a minor side effect of a prescribed medication.,A doctor deliberately breaches a specific duty of care by performing a medical procedure without the patient's consent.,A doctor accidentally prescribes the wrong dosage of medication due to a clerical error.,A doctor refuses to perform a life-saving procedure because it goes against their personal beliefs.,B
OIC-005-01-A,Definition,"In the context of medical liability, which of the following statements accurately describes the conditions under which a patient can receive compensation for harmful consequences of a medical act?",The patient must prove that the medical act was performed with the highest level of skill and that the damage was a direct result of this exceptional performance.,"The patient must demonstrate that the medical act caused the damage, that it resulted in liability, and that there was a certain causal link between the act and the damage.","The patient must show that the medical act was performed without any fault, and that the damage was entirely due to the patient's pre-existing condition.","The patient must establish that the medical act was the only possible cause of the damage, and that no other external factors could have contributed to the outcome.",B
OIC-005-10-A,Definition,What is the definition of a nosocomial infection?,An infection that a patient contracts from a healthcare worker.,"An infection that a patient contracts during their stay in a healthcare establishment, not present upon admission.","An infection that a patient contracts from the hospital environment, regardless of when it appears.",An infection that a patient contracts from another patient within the healthcare establishment.,B
OIC-005-08-A,Definition,Which of the following best describes an error of omission in medical practice?,A necessary action was taken but resulted in harm to the patient.,"A necessary action was not taken, potentially leading to harm.",An action was carried out but was not useful or appropriate.,"A professional rule was not respected, leading to a routine violation.",B
OIC-005-04-A,Definition,"In the context of administrative liability within a public health establishment, which of the following scenarios would most likely engage the liability of the public service according to administrative jurisprudence?",A doctor commits misconduct in a private clinic unrelated to their duties at the public hospital.,"A doctor intentionally refuses to treat a patient due to personal disagreement, while on duty at the public hospital.","A doctor, while off duty, uses hospital resources for personal gain.","A doctor, during their shift at the public hospital, fails to provide adequate supervision of patients due to poor coordination with colleagues.",D
OIC-005-05-A,Definition,What is the correct procedure for a patient's complaint against a private practitioner or hospital doctor to be addressed under disciplinary liability?,The complaint must be referred to the disciplinary chamber of the national council of the Ordre.,The complaint should be directly filed with the Conseil d'Etat.,The complaint must be referred to the disciplinary chamber of the Conseil départemental de l'Ordre.,The complaint should be addressed to the regional health agency director.,C
OIC-005-14-B,,"During the pre-operative phase, which of the following is NOT a part of the operating theatre checklist according to the provided educational content?",Verification of the patient's allergy status and cross-checking for allergic reactions.,Ensuring the correct installation method for the surgical procedure.,Confirming the availability of the necessary documents for the operation.,Reviewing the patient's financial history to ensure they can afford the surgery.,D
OIC-005-03-A,Definition,"In the context of civil liability for medical professionals, which of the following statements is correct?","Doctors employed by private entities are personally liable for any damage caused to patients, regardless of the scope of their mission.",Hospital practitioners are not subject to professional civil liability when practicing within a public health institution.,"Self-employed medical professionals and those employed by private entities may be held civilly liable, with the employer's system of liability applying to the employee's actions within the scope of their mission.",The principle of the doctor's professional independence absolves all medical professionals from any form of civil liability.,C
OIC-050-16-B,Additional examinations,"When evaluating a patient with suspected spermatic cord torsion, which of the following statements is correct regarding the role of testicular ultrasound with Doppler?",Ultrasound with Doppler is the definitive diagnostic tool for spermatic cord torsion.,A normal Doppler examination definitively rules out spermatic cord torsion.,"Ultrasound with Doppler can show signs such as the whirlpool sign and reduced vascularization, but it is neither sensitive nor specific for diagnosing cord torsion.",Testicular ultrasound with Doppler should always be performed before considering surgical exploration for spermatic cord torsion.,C
OIC-050-14-A,Management,Which of the following is the correct management approach for phimosis in boys and men?,Immediate surgical intervention for all cases of phimosis.,Application of dermocorticoids for several weeks in children under 3-4 years old.,Emergency posthectomy for all cases of phimosis in children under 5-6 years old.,"Local treatments for children under 3-4 years old, surgical treatment if local treatments fail in children aged 5-6 years or in adults.",D
OIC-050-07-B,Management,Which of the following is the correct immediate management for a patient diagnosed with testicular torsion?,Administer antibiotics and schedule for surgical debridement in one week.,"Perform immediate surgical scrotal exploration, untwist the spermatic cord, and consider orchidopexy if the testicle is viable.",Conduct further investigations before proceeding with any surgical intervention.,"Recommend bed rest and pain management, with a follow-up appointment in two weeks.",B
OIC-050-12-B,Management,What is the recommended management for cryptorchidism in boys and men?,Medical treatment with intramuscular HCG injections,"Surgical intervention with lowering of the testicle, ideally before the age of 1 year",Observation and monitoring without any intervention,"Lowering the testicle via an inguinal approach and then fixing scrotally, regardless of age",B
OIC-050-11-B,Additional examinations,What is the recommended course of action for an adult with an undescended testis that cannot be palpated?,Immediate surgical intervention,Referral to a pediatric surgeon,"Surveillance by imaging (CT scan, MRI)",No further action is required,C
OIC-050-13-A,,What is the primary cause of paraphimosis in adults?,Forced retraction of the foreskin during toilet use,Accumulation of smegma,Balanopreputial adhesions,Constriction of the preputial ring due to forgetting to reposition the foreskin after retraction,D
OIC-050-02-A,Emergency identification,Which of the following statements is correct regarding the management of testicular torsion in adolescents?,Testicular Doppler ultrasound should be performed before any surgical intervention to confirm torsion.,Surgery for testicular torsion can be delayed if the patient reports pain relief after external detorsion.,"Testicular torsion is a surgical emergency that requires immediate intervention, regardless of the duration of ischemia.",Torsion of the spermatic cord is more common in men over the age of 40.,C
OIC-050-09-B,Additional examinations,"When considering imaging for a hydrocele in adults, which of the following is a correct indication for a scrotal ultrasound?",To confirm the presence of a hydrocele and assess the condition of the underlying testicle.,To evaluate the possibility of a strangulated inguino-scrotal hernia.,To determine the need for percutaneous puncture.,To diagnose acute appendicitis.,A
OIC-050-05-B,Complementary examinations,Which of the following is NOT a recommended additional examination for diagnosing orchi-epididymitis in young men?,ECBU with antibiotic susceptibility test,PCR testing for Chlamydia trachomatis and gonococcus,"Blood cultures, especially in cases of BGN infection",MRI of the brain to assess neurological involvement,D
OIC-050-15-A,Positive diagnosis,Which of the following is a positive sign of spermatic cord torsion in a male patient during a physical examination?,Pain relieved after external detorsion maneuver,Presence of fever,Positive cremasteric reflex,Painless abdomen,A
OIC-050-08-A,Positive diagnosis,Which of the following statements accurately describes the clinical presentation and diagnosis of a hydrocele in adults?,"A hydrocele in adults is characterized by a painful, inflammatory swelling that can be diagnosed through negative transillumination.","Adult hydroceles are typically due to a communicating hydrocele, which shows variations in volume during the day and can be expelled by squeezing the bursa.","In adults, a hydrocele is often due to a defect in the resorption of fluid secreted by the vagina, and positive transillumination is used for diagnosis.","Adult hydroceles are usually emergencies that present with sudden tension and bluish skin, requiring immediate surgical intervention.",C
OIC-050-04-A,Positive diagnosis,Which of the following is a common cause of orchiepididymitis in individuals between puberty and the age of 35?,Urogenital infections (2C-161) and sexually transmitted infections (STIs) mainly caused by enterobacteria.,Torsion of the spermatic cord.,"Chlamydia trachomatis and gonococcus, often associated with urethritis.",Prostatic adenoma (127) and urethral stricture.,C
OIC-050-06-A,Management,What is the recommended management for orchi-epididymitis if it is not caused by a sexually transmitted infection (STI)?,"Administer ceftriaxone 500 mg intramuscularly, followed by Doxycycline 200 mg per day for 10 days.","Use a fluoroquinolone (ciprofloxacin or levofloxacin) or a 3rd generation cephalosporin, adapted based on the antibiogram, for 14 days.",Prescribe cotrimoxazole for 14 days.,Wear a jockstrap and take painkillers for 14 days.,B
OIC-050-01-A,Positive diagnosis,"During a clinical examination of a male patient, which of the following conditions is characterized by a painless, enlarged bursa that is transilluminated positively?",Spermatic Cord Torsion,Orchiepididymitis,Hydrocele,Testicular Cancer,C
OIC-050-10-A,,Which of the following best describes the clinical presentation of an undescended testicle in a male patient?,"The testicle can be palpated in the inguinal canal or at the upper root of the bursa, following the normal migration path.","The testicle is located outside its normal migratory route, possibly in a femoral, pubopenic, or crossed intrascrotal position.",The testicle cannot be palpated and is found in the bursa with tension.,The testicle can be easily lowered by hand to the bottom of the bursa without tension.,A
OIC-076-17-B,Management,Which of the following is NOT an indication for hospital withdrawal from alcohol dependence?,History of withdrawal accidents,Severe dependence with intense withdrawal symptoms,Patient's preference for outpatient withdrawal,Unfavorable social environment,C
OIC-076-20-B,Management,Which of the following medications is primarily used to help reduce alcohol consumption and maintain abstinence after withdrawal?,Ibuprofen,Nalmefene,Acetaminophen,Aspirin,B
OIC-076-10-A,Positive diagnosis,"Which of the following is NOT a social complication associated with alcohol misuse, as outlined in the provided educational content?",Increased risk of domestic violence (SD-350),Improved job performance and employment stability,Financial difficulties such as debts and housing problems (SD-321),Legal issues including drunk driving (SD-049),B
OIC-076-11-A,Additional tests,Which of the following biological markers is considered the most specific for monitoring alcohol consumption and liver damage?,Blood Alcohol Level,GGT (Gamma Glutamyl Transpeptidase),VGM (Mean Corpuscular Volume),CDT (Desialylated Transferrin),D
OIC-076-07-A,Positive diagnosis,Which of the following is NOT a symptom of Uncomplicated Withdrawal Syndrome in highly dependent individuals after cessation of alcohol consumption?,Tremor and profound sweating,Insomnia and nightmares,Seizures occurring within 48 hours of stopping alcohol,Agitation and delirium,C
OIC-076-02-A,Definition,"Which of the following best describes the term ""high-risk use"" as defined in the educational content?",Consumption of a substance or behavior that is pathological and has already led to complications.,Absence of consumption of a substance or engagement in a behavior.,"Levels of consumption that expose people to the risk of complications, but these complications are not yet present.",Use of a substance that is harmful to health and the patient is aware of the links between harm and consumption.,C
OIC-076-04-A,,"According to the Low-Risk Drinking Guidelines by Santé Publique France, which of the following is NOT recommended for individuals who consume alcohol?",Limit to 10 standard drinks per week and 2 standard drinks per day.,Have at least one alcohol-free day each week.,Drink alcohol quickly while on an empty stomach.,"Avoid drinking when driving, handling tools, or practicing high-risk sports.",C
OIC-076-08-A,Identify the emergency,"When diagnosing acute alcohol intoxication, which of the following is NOT a differential diagnosis that should be considered?",Hypoglycaemia,Hyponatraemia,Diabetic ketoacidosis,Hyperthyroidism,D
OIC-076-05-A,Positive diagnosis,"According to the ICD-11 criteria for diagnosing alcohol dependence, which of the following sets of symptoms must occur simultaneously over the past year for a positive diagnosis of dependency?","Craving, tolerance, and physiological withdrawal syndrome","Craving, physiological withdrawal syndrome, and increased time spent on substance use","Craving, tolerance, progressive abandonment of other interests, and continuing use despite harmful consequences","Craving, increased time spent on substance use, and physiological withdrawal syndrome",C
OIC-076-06-A,Positive diagnosis,"Based on the AUDIT-C questionnaire, which score range indicates a suggestive level of current alcohol misuse for men and women, respectively?","Men: 0-2, Women: 0-1","Men: 3-4, Women: 2-3","Men: 4-5, Women: 3-4","Men: 5-6, Women: 4-5",C
OIC-076-15-A,Management,Which of the following is a primary objective in the treatment of alcohol dependence according to the provided educational content?,Increasing alcohol consumption to build tolerance,Complete cessation of consumption (abstinence),Gradual increase in alcohol use to monitor effects,Focusing solely on psychological aspects of treatment,B
OIC-076-14-B,Management,Which of the following best describes the approach of Early Identification and Brief Intervention (EIBI) for managing alcohol misuse?,EIBI focuses on long-term therapy sessions exceeding 20 minutes to address alcohol dependence.,"EIBI involves systematic screening for alcohol misuse and offers brief intervention for non-dependent misuse, typically lasting 5 to 20 minutes.",EIBI is a preventative measure that only identifies alcohol abusers without providing any intervention strategies.,EIBI requires mandatory participation in specialized structures without offering individual choice or empathetic support.,B
OIC-076-18-B,Management,Which of the following is the correct initial treatment approach for a patient experiencing a withdrawal accident with high-risk alcohol consumption?,Immediate glucose infusion followed by high-dose parenteral vitamin B1.,"Systematic high-dose diazepam, tapering off over 7 to 10 days, without initial vitamin B1 supplementation.","Urgent intravenous vitamin B1 supplementation before any glucose infusion, followed by high-dose parenteral benzodiazepines.","Restraint and quiet room only, with no medical intervention required.",C
OIC-076-09-A,Positive diagnosis,Which of the following statements accurately reflects the relationship between alcohol misuse and psychiatric disorders according to the provided educational content?,"Alcohol misuse is primarily associated with the development of anxiety disorders and depressive disorders, and these conditions always precede alcohol misuse.","Alcohol misuse can lead to psychiatric disorders such as schizophrenia and bipolar disorder, with a significant percentage of individuals experiencing these conditions as a result of alcohol consumption.","Alcohol misuse is most commonly linked to the onset of behavioral addictions like pathological gambling, and these addictions are always a consequence of alcohol misuse.","The risk of suicide is not affected by alcohol misuse, and psychiatric disorders associated with alcohol misuse are always secondary to the consumption.",B
OIC-076-03-A,Definition,"According to the ICD 11 and DSM-5, how does alcohol dependence (ICD) relate to alcohol use disorder (DSM-5)?",Alcohol dependence (ICD) is a less severe form of alcohol use disorder (DSM-5).,Alcohol dependence (ICD) and alcohol use disorder (DSM-5) are unrelated terms.,Alcohol dependence (ICD) corresponds to moderate and severe alcohol use disorder (DSM-5).,Alcohol dependence (ICD) only corresponds to mild alcohol use disorder (DSM-5).,C
OIC-076-12-A,,Which of the following is NOT a recognized medical complication of chronic alcohol consumption?,Korsakoff's syndrome,Osteoporosis,Hyperglycemia,Hepatic encephalopathy,C
OIC-076-19-B,Taking charge,Which of the following best describes the primary objective of self-help groups for individuals with alcohol dependence?,To provide medical treatment and pharmaceutical interventions.,To facilitate social links and combat isolation through peer support.,To offer legal assistance and advocacy for those affected by alcohol-related laws.,To conduct research and develop new pharmacological treatments for alcohol dependence.,B
OIC-076-16-A,Management,"In the context of alcohol dependence, how is motivational interviewing primarily utilized?",To enforce strict abstinence through authoritative guidance.,To provide medical treatment for withdrawal symptoms.,To facilitate behavioral change by enhancing intrinsic motivation.,To offer legal advice for individuals facing alcohol-related charges.,C
OIC-076-01-A,Epidemiology,"Based on the epidemiological data from BEH 2019, which of the following statements accurately reflects the situation of alcohol consumption in France?","Less than 1 in 5 French people drink at risk, with a balanced gender distribution.","More than 1 in 5 French people drink at risk, with a clear male predominance.",Alcohol misuse is the leading cause of avoidable death in France.,The majority of patients with alcohol misuse regularly access specialist care.,B
OIC-076-13-A,Definition,Which of the following best describes the primary prevention strategy for alcohol misuse as outlined in the educational content?,Encouraging individuals to self-diagnose and treat alcohol dependence before it starts.,Focusing on the substance itself to reduce its availability and appeal.,Providing information and education to future users to reduce risk factors and promote healthy behavior.,Implementing strict legal penalties to deter individuals from experimenting with alcohol.,C
OIC-049-13-B,Etiologies,Which of the following is NOT a recognized etiological framework for early puberty?,Central Precocious Puberty due to a chiasma glioma,Peripheral Precocious Puberty caused by McCune-Albright syndrome,Early puberty resulting from excessive consumption of dairy products,Peripheral Precocious Puberty due to adrenal hyperandrogenism,C
OIC-049-08-B,Physiopathology,"During puberty, which hormone is primarily responsible for the development of secondary sexual characteristics in boys?",Estrogen,Testosterone,LH,FSH,B
OIC-049-12-B,Epidemiology,What is the epidemiological difference between central precocious puberty in girls and boys in France?,"Central precocious puberty is more common in boys, with approximately 1000 cases per year.","Central precocious puberty is equally common in both girls and boys, with approximately 550 cases per year.","Central precocious puberty is more common in girls, with approximately 1000 cases per year.","Central precocious puberty is more common in boys, with approximately 100 cases per year.",C
OIC-049-07-B,Physiopathology,Which hormone is primarily responsible for the development of secondary sexual characteristics in boys during puberty?,Estrogen,Progesterone,Testosterone,Luteinizing Hormone (LH),C
OIC-049-16-A,Positive diagnosis,"At what ages is delayed puberty typically diagnosed in boys and girls, respectively?",Breast development after 12 in girls and testicular enlargement after 13 in boys.,Breast development after 13 in girls and testicular enlargement after 14 in boys.,Breast development after 14 in girls and testicular enlargement after 15 in boys.,Breast development after 15 in girls and testicular enlargement after 16 in boys.,B
OIC-049-15-B,Etiologies,Which of the following statements accurately reflects the role of hormones in diagnosing precocious puberty?,Testosterone levels are the primary indicator for diagnosing precocious puberty in girls.,"Inhibin B levels decrease during puberty in boys, aiding in the diagnosis of precocious puberty.","Basal FSH and LH levels, along with their response to LH-RH/GnRH test, are used to distinguish between central and peripheral precocious puberty.","The appearance of the sesamoid bone at 11 years in boys is considered a normal developmental milestone, not indicative of precocious puberty.",C
OIC-049-18-B,Etiologies,"In the assessment of delayed puberty, which of the following hormone levels is typically elevated in cases of peripheral pubertal delay, as opposed to central pubertal delay?",Baseline FSH and LH,Testosterone in boys and Oestradiol in girls,TSH and T4L,FSH and LH (high levels),D
