question,cop,opa,opb,opc,opd,subject_name,id,prediction
Per Rectal palpation of uterus is done in :,B,Primigravida,Virgins,Grand multi paras,Placenta pre,Gynaecology & Obstetrics,c2502c7a-5826-4be2-888c-fc7a711cceba,C
"Carcinoma maxillary sinus stage III (T3 M0 N0), treatment of choice is:",B,Radiotherapy,Surgery + Radiotherapy,Chemotherapy,Chemotherapy + Surgery,ENT,70008df9-a7dc-48bd-a112-c7bc5a2de56d,B
Muscle relaxant used in renal failure -,B,Ketamine,Atracurium,Pancuronium,Fentanyl,Anaesthesia,5a099680-e853-4b92-9d5c-de8c86f55891,B
Efficiency of pasteurization of milk is determined by the following method:,B,Methylene blue reduction test,Phosphatase test,Turbidity test,Resazurin test,Microbiology,b514b6eb-a981-4f35-9139-952cc3ea38bb,B
Most common deviation used in social medicine is,D,Mean,Range,Variance,Standard deviation,Social & Preventive Medicine,37f535c3-de49-408f-8cea-7f6483b49de0,D
Cozen test is positive in :-,C,Pulled elbow,Skiers thumb,Tennis elbow,Golfer's elbow,Orthopaedics,e4cc3f6b-61da-455d-87d8-9f4c3a4d236c,C
Which of the following act as a vector for spreading Onchocerciasis?,C,Tsetse fly,Culicoides midge,Simulium damnosum,Bugs of subfamily Triatominae,Ophthalmology,98454d5c-4a1a-4ec9-bb78-cc4885bbb28d,C
Which of the following agents is used to measure Glomerular Filtration Rate (GFR)?,B,Iodohippurate,Tc99m-DTPA,Tc99m-MAG3,Tc99m-DMSA,Radiology,553ab8cb-990d-4763-8e30-1ccf64db4761,B
In volume-cycled ventilation the inspiratory flow rate is,C,140-160 L/min,110-130 L/min,60-100 L/min,30-50 L/min,Anaesthesia,d1229a21-3c77-4386-a5b0-f11ffef59a42,C
Moderately severe hearing loss:,C,30-40 dB,41-60 dB,56-70 dB,71-90 dB,ENT,aa2ac2d5-4d1e-493a-86cf-c5a01af0f761,C
Which layer of epidermis is underdeveloped in pre-term baby?,D,Stratum germinativum,Stratum granulosum,Stratum lucidum,Stratum corneum,Skin,40605e6e-5f75-4561-8873-d7cd2921d4d0,D
Honey comb lung appearance is seen in,C,Consolidation,Alveolar cell carcinoma,Scleroderma,Pulmonary edema,Radiology,b7492bb7-c8c5-41b5-8eaa-7e79d45e0a69,C
Silent mutations occurs because codon is :,D,Non overlapping,Commaless,Universal,Degenerate,Biochemistry,8c185b21-4db8-499e-a78f-685e7747e2ee,D
Most common site for carbuncle is,C,Forearm,Forehead,Nape of neck,Calf,Surgery,5e0966ec-5f74-467c-a96d-d9c80470f312,C
Dennie Morgan folds are seen in,B,Lichen planus,Atopic dermatitis,Keratosis pilaris,Nummular eczema,Skin,8e8e9959-22e7-4739-a4ee-22d96fc4a7a3,B
Acute osteomyelitis can best be distinguished from soft tissue infection by –,D,Clinical examination,X–Ray,CT scan,MRI,Pediatrics,086d021b-af51-42e1-b696-cf266ff3783d,D
Duration of TIA:,B,12 hours,24 hours,48 hours,36 hours,Medicine,d8d6f4b5-15c9-4098-8e3a-e1fe22fcbb33,B
Which is used in keratinised skin:,A,Salicylic acid,Fluconazole,Steroids,Coal tar,Skin,2f4c3008-f11b-4618-8750-abd722798590,A
In a child who has been raped hymen:,B,Will be intact because it is elastic,Will be intact because it is deep situated,Will be perforated because very thin,Will be perforated because superficial,Forensic Medicine,9e2004fe-9143-41cb-a7b1-d1575641500a,D
Curschmann's crystals are seen in -,A,Bronchial asthma,Bronchiectasis,Chronic bronchitis,Wegener's granulomatosis,Pathology,eed438a3-38f5-43d6-9028-baec44b2a309,A
Prunning of Pulmonary aeries is seen in:,A,Pulmonary hypeension,Chronic Bronchitis,Pulmonary infections,Pulmonary transplant,Radiology,cf68c0e0-ba61-4e96-a02b-6ceb377404d0,A
"In a 3 year old child, most common cause of hepatitis is –",D,Pin prick,Saliva exchange,Perinatal,Blood transfusion,Pediatrics,dd571925-f335-48c5-a8a7-cb56b8fab7ec,C
Oxygen dissociation curve is shifted to right in,C,Hyperkalemia,Hypokalemia,Anemia,Metabalic alkalosis,Physiology,db4e04f6-7272-4290-8057-0fcc841d1002,C
Floor of middle ear cavity is in relation with:,B,Internal carotid artery,Bulb of the internal jugular vein,Sigmoid sinus,Round window,ENT,ceee0430-4bf0-4ad8-88b0-db1bd8a03e08,B
Term catatonia was used by -,A,Karl kahlbaum,Adolf meyer,Leo kanner,Karen homey,Psychiatry,18156abc-94cd-406e-92ba-7dbed0bde5b6,A
"B-Carotene, precursor of vitamin A, is oxidatively cleaved by:",A,b-Carotene dioxygenase,Oxygenase,Hydroxylase,Transferase,Biochemistry,e5b58f45-08de-4167-a911-bb3edda73378,A
Maximum oxygen concentration can be delivered by?,D,"<img style=""max-width: 100%"" src="" />","<img style=""max-width: 100%"" src="" />","<img style=""max-width: 100%"" src="" />","<img style=""max-width: 100%"" src="" />",Medicine,7c7dc71c-c1cc-4580-83d7-31b5382c5cae,D
Fatal dose of radiation is:,D,1 rad,5 rad,50 rad,500 rad,Radiology,765c59e4-4893-4eee-ab34-ed483f5909c8,D
The procedure of choice for elective removal of CBD stones for most patient is,B,Open choledocholithotomy,Endoscopic choledocholithotomy,Laparoscopic choledocholithotomy,Percutaaneous choledocholithotomy,Surgery,859f8c5e-3832-4a9c-9037-55e1dd0d6035,B
Prescription of presbyopic lens to a 50 year old emmetropic individual is,C,0.5,1,1.5,2,Ophthalmology,0cff9a14-c5d8-4379-ab37-d348dfbef8f3,B
A neonate presents with respirotory distress with enlargement of left upper lobe of lung and mediastinal shift towards the right. What is the most likely diagnosis ?,A,Cong lobar emphysema,Alpha 1 antitrypsin deficiency,Pneumonia,Cystic fibrosis,Pediatrics,d9730de5-95de-4324-a978-c0112468406f,A
A 30 year old female patient complains of irritability and nervousness. Patient gives history of consumption of oral contraceptives. Lab investigation reveals presence of xanthurenic acid in urine. This patient may be suffering from deficiency of:,D,Vitamin C,Vitamin B1,Vitamin B2,Vitamin B6,Biochemistry,c8dc8558-97cb-497d-982e-f60a0796359b,D
A 48 yrs old male with triple vessel disease and longstanding diabetes had gangrene developed in left lower foot. Which is best mode of anesthetics:-,A,Popliteal block,Sciatic block,Femoral block,Saphenous nerve block,Anaesthesia,450eeaef-8fc0-46ee-865a-da8528e09be5,B
"A 68 years old lady thinks that she has done a sin, she is not worth to live this world, she is also having anorexia and insomnia, she is suffering from -",B,Exogenous depression,Endogenous depression,Neurotic depression,Dissociate disorder,Psychiatry,92246a0c-38d7-4b0d-8480-e4bec7fa41da,B
Vidian neurectomy is used for the treatment of ?,A,Chronic vasomotor rhinitis,Benign positional paroxysmal veigo,Meniere's disease,Otosclerosis,ENT,a2880da5-a527-4389-9d16-271120635d17,A
. Exposure of a female fetus to androgen in early embryogenesis may arrest differenitation of:,C,Mullerian ducts,Ovary,urogenital sinus,Mesonephric ducts,Gynaecology & Obstetrics,c156d1c0-609b-4cc1-b902-67dbab0607b5,A
Embryonic period is up to:,A,8 weeks,10 weeks,12 weeks,6 weeks,Pediatrics,0bfc2a56-43b8-44c9-b2a7-ad6a03511cfe,A
Frozen pelvis is seen in -,B,Osteoarthritis,Potts disease,Actinomycosis,Reiters disease,Orthopaedics,321d92df-5b41-4df5-8501-73a4708bf704,C
A 38 year old gentleman repos of decreased hearing in the right ear for the last two years. On testing with a 512 Hz tuning fork the Rinne's test without masking is negative on the right ear and positive on the left ear. With the Weber's test the tone is perceived as louder in the left ear. This patient MOST likely has:,B,Right conductive hearing loss,Right sensorineural hearing loss,Left sensorineural hearing loss,Left conductive hearing loss,ENT,1161e35b-3780-4150-9387-21da03a9be2c,A
"The pattern of change of disease trends of moality and morbidity where the pandemics infection are replaced by degenerative and man-made disorders, the main cause of morbidity and the most frequent cause of fatality is known as:",C,Cross transition,Paradoxical transition,Epidemiological transition,Demographic transition,Social & Preventive Medicine,d922b8b9-5aaf-4cea-8710-fc766e601d83,C
Hot-tub folliculitis is caused by :,C,Staphylococcus aureus,Schistosoma,Pseudomonas aeruginosa,Mycobacterium marinum,Dental,0a4d96cb-938c-4df0-ae75-fa2750ede13e,C
Kennedy p h enomeno n is seen in -,B,Road traffic accident,Gunshotinjury,Bums,Contusion,Forensic Medicine,7b97500b-b26b-4b9e-a225-8f66813a17ed,B
Which of the following agents is used for the treatment of post operative shivering?,B,Atropine,Pethidine,Thiopentone,Suxamethonium,Anaesthesia,c608ba1e-f15d-48d2-bae1-80841dfdeaa2,B
Vidian nerve is-,C,Mandibular nerve,Deep petrosal nerve,Nerve of pterygoid canal,Lesser petrosal nerve,Anatomy,ac6de9dc-ff07-4ad0-a80d-2f9c07e18922,C
Break bone fever is caused by:,C,Variola,Coxsackie,Dengue,Adenovirus,Microbiology,980146bc-5ce1-4c73-aaa3-e36595cd6893,C
Nerve supply of the marked muscle is by,A,Median nerve,Radial nerve,Ulnar nerve,Posterior interosseus nerve,Orthopaedics,4dab582a-d949-4135-8e89-434304b4e840,B
Tamoxifene ?,B,SSRI,SERM,SNRI,DNRI,Pharmacology,b37bf548-18db-465c-bac5-8bf1987eec2b,B
Minimum recommended concentration of free chlorine drinking water at the end of 1 hour is -,A,0.5 mg/L,0.1 mg/L,1.0 mg/L,1.5 mg/L,Social & Preventive Medicine,908e012f-a76b-480d-bd99-b419f4a791ac,A
The mode of inheritance of Incontinentia pigmenti is -,C,Autosomal dominant,Autosomal recessive,X-linked dominant,X-linked recessive,Skin,598bcc45-6061-4552-9a61-5fc003255aa6,C
Retroauricular incision is also known as?,D,Rosens incision,Lempert's-I incision,Lemperts-II incision,Wilde's incision,ENT,c2a92350-84e7-4cbd-a70c-5cdcf6fb1ed7,D
Waterhouse-Friderichsen Syndrome is,C,Adrenal failure due to rapid withdrawal of steroids,Massive adrenal hemorrhage following difficult delivery in neonates.,Massive adrenal hemorrhage following disseminated bacterial infection,Adrenal crisis in individuals with chronic adrenocoical insufficiency precipitated by any form of stress,Pathology,a19894f4-b776-46a9-ba57-32ebce393f32,C
Drug of choice for Zollinger-Ellison syndrome aEUR',B,Antihistaminics,Proton lump inhibitors,Dopamine agonists,Antacids,Pharmacology,4f2c5ab3-2e73-4f09-b67e-62767811aeb0,B
Omenn syndrome is,D,Squamous cell carcinoma,Chronic mucocutaneous candidiasis,IgA deficiency,SCID,Dental,95f96871-e66c-417c-91ec-a71d05751c28,D
Deposition of protein 'A beta 2m' is seen in which clinicopathologic category of amyloidosis -,B,Familial Mediterranean fever,Hemodialysis associated,Senile cerebral,Systemic senile,Pathology,92e72deb-d0bc-485c-81a3-6af699e85c8a,B
The following slide shows presence of?,B,Pseudopolyps,Flask shaped ulcer,Blunting of microvilli,Whipple's disease,Microbiology,2bafc96d-30e8-4b14-8f5f-99b2a3c97bab,A
Oligohydramnios is/are associated with:a) Neural tube defectb) Renal agenesisc) Postmature birthd) Premature birth,C,a,c,bc,ad,Gynaecology & Obstetrics,c9d5b739-e65a-49e4-a055-2d0000cf1de9,C
Rubella virus belongs to which family ?,D,Picornavirus,Paramyxoviridae,Ohomyxoviridae,Togaviridae,Microbiology,bfa5b6a3-1fec-465d-9428-19a31f107dc0,D
Abscess related to sternocleidomastoid -,A,Bezold abscess,Luc abscess,Citelli abscess,Parapharyngeal abscess,ENT,206de78f-95de-410a-b6c5-fe71677c99b4,B
Seman's squeeze technique is used in treatment of:-,B,Erectile dysfunction,Premature ejaculation,Retrograde ejaculation,Antegrade ejaculation,Psychiatry,0311430e-a627-4434-b53e-65d049fbb5f3,B
Jumper's fracture is seen in?,C,Calcaneum,Tibia,Pelvis,Neck femur,Surgery,1e00e636-cb9f-4661-b314-de54f7e0fa89,A
"According to which section, a person can be punished for attempt to murder with imprisonment for 10 years: NEET 14",D,Sec. 301 IPC,Sec. 300 IPC,Sec. 302 IPC,Sec. 307 IPC,Forensic Medicine,79c57d71-3356-44e1-ad86-5a0e48b2210d,D
Defect in folding of the protein result in which of the following clinical disease:-,A,Kuru,Migraine,Hypothyroidism,Myopia,Biochemistry,8c2454fc-b660-4a2f-9a9a-5762dcf759eb,A
The requirement of potassium in a child is ?,A,1-2 mEq/kg,4-7 mEq/kg,10-12 mEq/kg,13-14 mEq/kg,Pediatrics,3a2dc97c-e576-4a1f-b91c-2e2323022029,B
Ovarian tumour which is bilateral,A,>Dysgerminoma,>Endodermal sinus tumour.,>Immature teratoma,>Embryonal cell carcinoma,Gynaecology & Obstetrics,0d395f98-5801-4fda-b5a9-2963cf583adc,A
Not a Radiological sign of Ulcerative colius,A,Raspberry appearance,Toxic megacolon,Lead Pipe appearance,Pseudopolyps,Radiology,e1bc0617-a6e3-4f28-880e-f5f5d2c1354c,A
Which one of the following is the best neutrophil and macrophage attractant?,A,C5a,Variable region of the heavy chain of IgG,J chain,HLA-A,Microbiology,e4b33d65-1288-43ff-a556-5c3a5a8b71c4,A
Which isotope is used for treating bone cancer?,A,Sr,Ga,1123,Tc,Orthopaedics,0039a2e3-71dd-4b29-9429-0f48a2f1b176,A
Ninhydrin test is used for ?,B,Bile salts,Amino acids,Nucleic acid,Lipids,Biochemistry,7a038185-a481-44b3-8879-64cf38f62c5d,B
Topical steroids can be used in -,C,Herpetic keratitis,Herpetic dendritic keratitis,Disciform keratitis,Anti. uveitis,Ophthalmology,5f150bd8-3d1d-447d-8130-b0b8283a2573,C
Iatrogenic traumatic facial nerve palsy is MOST commonly produced during which of the following surgical procedure?,C,Myringoplasty,Stapedectomy,Mastoidectomy,Ossiculoplasty,ENT,077a63b4-4ac1-4163-b344-c4e78504d55f,C
Unsafe eardrum perforation is,B,Central,Marginal,Paracentral,Multiple central,ENT,06b01318-bc2e-49b2-828c-31c9c991f523,B
Maximum increase in cardiac output occurs by what stage of pregnancy :,C,10th week,20th week,30th week,At the onset of labour,Gynaecology & Obstetrics,1df75b51-d069-4de0-9958-e51c68fb9bf8,C
Which of the following is the most significant risk factor for postoperative nausea and vomiting,A,Female gender,Smoking,Age over 60 years,Surgery on the breast,Anaesthesia,a9e6e097-c028-439a-ae33-13d34946a4c3,A
Which of the following is not eugenol containing cement:,D,Roth's sealer,Wach's cement,Tubliseal,Sealapex,Dental,d10fe09d-b3da-4c3f-94da-186b69b3d206,D
Which of the following is known as health survey and development committee?,D,Srivastava committee,Bhore committee,Kaar Singh committee,Mudaliar committee,Social & Preventive Medicine,bcfad23d-8710-49ea-9797-234e68822f8b,B
Treatment of choice for scabies is?,D,Crotamiton,Benzyl benzoate,Malathion,Permathrin,Skin,efc95178-b8a9-4dd4-92ba-6e305f2231d7,D
Experimental studies are meant to -,A,Test etiological hypothesis,Find out prevalence rates,Find out cause of epidemics,To find out the history of disease,Social & Preventive Medicine,b5c4a599-27ff-4871-bd28-d056199f8b64,A
Bacterial spores are best destroyed by -,B,UV rays,Autoclaving at 121o C for 20 mints,Hot air oven,Infrared rays,Microbiology,8370f2d0-3bde-4d56-bf7f-fe692ec23e6c,B
Granulomatous lung disease is caused by?,A,Hypersensitivity pneumonitis,Sarcoma,Bronchogenic carcinoma,Bronchogenic cyst,Pathology,aa426e65-4223-40ca-a4f1-fe55da76f63c,A
Least helpful for the diagnosis of spondylolisthesis -,A,AP x-ray of spine,Lateral x-ray of spine,MRI,CT,Orthopaedics,297a4182-f885-4d70-8714-1033d0405c16,A
Methylation of cytosine leads to:,B,Increased expression of gene,Decreased expression of gene,No effect on gene expression,Mutation,Pathology,4a36a8e2-f821-413e-abdb-2d43a01e63ee,B
Fk-506 is a -,A,It is a macrolide antibiotic,Immunoglobulin antibody,Non depolarising muscle relaxant,Opioid analgesic,Pharmacology,50c8e033-33bf-4647-a2d3-a16fabdad391,A
"A youngster presented with fever (100degF), nausea and vomiting. He also complained of vague abdominal discomfo. On general examination icterus was present and also hepatic tenderness. One of his family member also had the same symptoms and had diagnosed hepatitis E. Which of the following can be the route of transmission of hepatitis-E virus to this patient?",B,Skin,Faeco oral,Blood,Sexual contact,Microbiology,7b3ae8a7-34dd-4683-83ca-85cdc6a03669,B
After renal transplant the commonest malignancy is -,C,Lymphoma,Renal cell ca,Skin cancer,Adrenal cancer,Surgery,148a114f-ac28-4189-a2f4-1d7f1f9ab1de,C
pavor nocturnus is seen in which phase of sleep cycle ?,C,NREM S1,NREM S2,NREM S3,REM SLEEP,Physiology,350be7a3-84ff-4175-b796-c7c2a46b12ca,C
Alpha-methyldopa is primarily used for,A,Pregnancy induced hypeension,Renovascular hypeension,First line agent in hypeension,Refractory hypeension,Physiology,515deef9-88be-4629-8806-f317001f1cc6,A
Nasolacrimal duct opens in which pa of internal nose ?,B,Superior meatus,Inferior meatus,Middle meatus,Spenoethmoidal recess,ENT,e7141e80-6846-4566-bc73-f0e0673a13be,B
Three years back a woman had exposure to an eahquake and she was successfully saved. After recovery she has nightmares about the episode and she also gets up in the night and feels terrified. The MOST probable diagnosis is :,B,Major depression,Post-traumatic stress disorder,Mania,Schizophrenia,Psychiatry,d4207813-064a-451a-a03b-59cb63b6d9f1,B
Lucio reaction is seen in-,B,TB,Leprosy,Syphillis,LGV,Dental,3173aae7-1662-4787-839e-ebf5a3af708a,B
The most common organism causing acute tosillitis is:,C,Staph aureus,Anaerobes,Hemolytic streptococci,Pneumococcus,ENT,827a346f-f94e-4ec4-8cf2-d1a175300aa5,C
Most common muscle involved in volkmann's ischemic contracture is,B,Flexor- pollicis longus,Flexor-digitorum profunds,Flexor-indicis,Abductor pollicis,Surgery,f3168785-60b7-44be-9948-1d2a32077e09,B
Stylalgia may present with ear pain. Which nerve may refer the pain?,D,Auriculotemporal nerve,Posterior auricular nerve,Occipital nerve,Glossopharyngeal nerve,ENT,c4b4ce31-f2ee-4ac0-9f6f-dd098c454682,D
Proteins are transported into the cell by?,A,Pinocytosis,Osmosis,Active diffusion,Passive diffusion,Biochemistry,531162d4-f820-467b-b958-85b543ec8a26,A
Which of the following is common with Streptococcus infection?,A,Cellulitis,Gangrene,Pyoderma,UTI,Microbiology,11b6929a-7f6b-409c-a98c-59ac3a2b2225,A
The only indication of giving corticosteroids in pustular psoriasis is –,A,Psoriatic erythroderma with pregnancy,Psoriasis in a pt. with alchoholic cirrhosis,Moderate arthritis,Extensive lesions,Dental,847094a6-cc9d-4f5d-abda-c304515653a9,A
Cabot's ring is seen in -,A,Megaloblastic anemia,Sickle cell disease,Iron deficiency anemia,Autoimmune anemia,Pathology,af92815a-898e-4ce8-8409-bd29ba576c68,A
A teenager girl with moderate acne is also complaining of irregular menses. Drug of choice will be –,D,Oral isotretinon,Oral acitretin,Oral minocycline,Cyproterone acetate,Dental,f17bd9d1-cc4a-40e9-844f-06a028dc3195,D
Which has more gene content X or Y?,A,X contents 2.8% more than Y,Y contents 2.8% more than X,X contents 0.28% more than Y,Y contents 0.28% more than X,Biochemistry,974220eb-64b3-46f5-84c0-193f7c87e7bc,A
"Which of the following sections of IPC was decriminalized as per ""Mental health care bill 2016""?",D,305,306,308,309,Forensic Medicine,c5acab2c-9dfb-4426-971e-7f45024290a5,D
Poliomyelitis is mainly transmitted by: March 2013,D,Droplet infection,Hematogenous route,Parenteral route,Faecal-oral route,Social & Preventive Medicine,94a445ad-6634-471d-bdb5-82a13da79f63,D
Which of these fatty acids is found exclusively in breast milk:,D,Linolaete,Linolenic,Palmitic,Docosahexanoic acid,Biochemistry,38b22b85-984d-443c-81a8-98d537b2b8e0,D
Narcolepsy is due to the abnormality in,A,Hypothalamus,Neocoex,Cerebellum,Medulla oblongata,Psychiatry,65c25af6-e378-40a7-8a4e-ed00d3beee24,A
Lining epithelium of the uterine cavity is,B,Simple squamous epithelium,Simple columnar epithelium,Stratified squamous epithelium,Ciliated columnar epithelium,Anatomy,62e8d00d-77f1-411d-90b6-d08dd9a002e5,B
What is the diagnosis in this patient who presented with sudden painful vision impairment after vigorous exercise?,C,Central retinal artery occlusion,Corneal ulcer,Dislocation of the lens,Episcleritis,Medicine,7cf25a8e-44a4-444a-bc73-fa62916f3677,A
Nohern blot test is used for:,B,DNA analysis,RNA analysis,Analysis of proteins,Enzyme analysis,Medicine,a92cf3f9-4d2f-4673-94bd-d3975fbe9cfe,B
Abandoning a child will be punished for,D,2 years,4 years,5 years,7 years,Forensic Medicine,a38b4098-25a6-4b3e-aedb-12d1aacead9c,C
In a community of 5000 people crude bih rate is 30/1000. The number of pregnant females is:,A,150,165,175,200,Social & Preventive Medicine,d635a6ac-cda4-4ced-8a36-ff47e1865086,A
Sentinel biopsy most effective in:,C,Cervix cancer,Endometrium ca,Vulval ca,Vaginal ca,Gynaecology & Obstetrics,89c18d87-efb1-4f97-8767-4116c2c46d1a,C
Caroli's disease is,C,Type 1 Choledochal cyst,Type III Choledochal cyst,Type IV Choledochal cyst,Type V Choledochal cyst,Anatomy,64e6f548-3f48-4b8a-8d6b-c166fbc77d31,D
IgA deposits on skin biopsy,A,Henoch Schouleiln puspura,Giant cell aeritis,Microscopic polyangitis,Wegener's granulomatosis,Skin,19de7ff4-cb68-4c51-afe3-07a425f20c91,A
"Attitudinal field defect is seen in: March 2012, September 2012",D,Optic nerve lesion,Optic neuritis,Lesions of occipital lobe,Anterior ischemic optic neuropathy,Ophthalmology,d87d88f2-bd8e-4ab6-85bf-4ce7f6cb4068,A
Which of the following is post-chemotherapy based staging system in Wilms' tumor?,A,National Wilms' tumor staging system (NWTS),International society of pediatric oncology (ISPO),AJCCTNM,Chadwick,Pediatrics,4eb43cc2-5400-4ffb-bbd5-43217c58a1f3,B
Donovan bodies are seen in -,D,Leishmaniadonovani,Chlamydia trachomatis,Klebsiella,Calymmatobacteriumgranulomatis,Skin,566830c6-fa95-4d65-87aa-3c4ce1dabfcf,D
Aoic regurgitation does NOT occur in :,A,Acute MI,Marfan's syndrome,Rheumatic hea disease,Infective endocarditis,Medicine,3c4cb559-1f6a-4f66-a714-1460bc828dbb,C
"For a dental hand instrument with a formula of 10-8.5-8-14, the number 10 refers to ________.",A,The width of the blade in tenths of a millimeter,The primary cutting edge angle in centigrades,The blade length in millimeters,The blade angle in centigrades,Dental,57dc6d4b-3b1e-48db-98fd-e2707b45b11e,A
Most common cause of Air bronchogram,B,Pulmonary edema,Consolidation,Hyaline membrane disease,Alveolar cell carcinoma,Radiology,767ae666-64df-4767-8a7d-15a1c98468f1,B
Treatment of graunolma inguinale is ?,B,Tetracycline,Azithromycin,Clarithromycin,Streptomycin,Skin,ef457ee1-ddfd-451b-98f5-0455f3d00fbf,B
