id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-283-04-B,Complementary examinations,When should a colonoscopy with general anaesthetic be offered for constipation?,In all cases where symptoms worsen after the age of 50,For children under 18 years old suspected of Hirschprung's disease,"If there are warning signs (rectal discharge, change in general condition, recent unexplained change in transit)",As part of systematic screening for colon cancer in the general population,c
OIC-283-08-B,Follow-up and/or prognosis,What is a potential complication of chronic constipation in children?,Anal fissures are relieved by passing stools.,Encopresis is more common in girls after 4 years of age.,Sub-occlusions can cause abdominal pain that worsens with bowel movements.,Urinary tract infections are a direct result of constipation.,d
OIC-283-03-B,Physiopathology,What is the primary origin of constipation in children?,Organic,Congenital,Functional,Terminal retention,c
OIC-005-09-A,Definition,"What type of event results in abnormal damage due to unforeseen consequences of care, prevention, or diagnosis?",A therapeutic hazard,An iatrogenic condition caused by misuse of a drug,A medical accident resulting from an error on the part of a healthcare professional,A treatment that triggers new symptoms distinct from those it was intended to treat,c
OIC-005-11-A,Definition,What is a key characteristic of a therapeutic hazard?,It can be prevented by taking extra precautions.,It occurs due to the fault of healthcare professionals or institutions.,It is an unforeseen event with a causal link to the medical act.,It only happens in hospitals.,c
OIC-005-12-B,Epidemiology,What is a key factor that contributes to litigation following a medical accident?,"Patient factors, such as state of health and communication difficulties","Task-related factors, including specific tasks to be carried out","Team factors, including supervision of junior staff undergoing training","Working environment factors, including physical aspects of the premises",a
OIC-005-13-A,Definition,What is a key factor in human error?,"Lack of knowledge, skills, and experience","Stress, lack of time, fatigue, and illness are not contributing factors to individual performance.",Poor team organization and lack of communication can increase the risk of errors in a hospital setting.,A patient's attitude or behavior is directly linked to an error.,a
OIC-005-15-B,Definition,What is a key element of a positive error culture approach?,Blaming the person who made the mistake,Sharing a non-blaming attitude among healthcare staff,Focusing on individual errors rather than systemic issues,Ignoring patient complaints and adverse events,b
OIC-005-07-A,Definition,What is required for a doctor to be held liable under French law?,The patient must prove that they were harmed.,The doctor must have acted with intent to harm.,"The event giving rise to liability must be a proven fault, which can take the form of technical negligence or breach of duty of humanism.",The patient's rights are automatically recognized and enforced by law.,c
OIC-005-06-A,Definition,What type of liability occurs when damage related to care happens without any breach of professional or scientific rules or error?,Fault-based liability,No-fault liability,Proven fault liability,Scientific rule-based liability,b
OIC-005-02-A,Definition,What type of fault is required for an offence to exist under French Penal Code?,Deliberate Fault,Serious Misconduct,Failure to inform the patient,Causal link with the fault,b
OIC-005-01-A,Definition,What is the primary purpose of liability in healthcare?,To punish healthcare professionals and institutions for errors,To compensate patients for adverse events associated with healthcare,To provide a right to compensation for loss of opportunity,To ensure that doctors and health establishments take out professional indemnity insurance,b
OIC-005-10-A,Definition,What type of infections are typically contracted during a stay in a healthcare establishment?,Infections that were present at admission,Infections that appear after 48 hours of hospitalization,Only infections that appear before 48 hours of hospitalization,No infections are typically contracted during a stay in a healthcare establishment,b
OIC-005-08-A,Definition,What type of error occurs when a necessary action has not been taken?,Commission,Execution,Breach (Violation/Non-compliance),Omission,d
OIC-005-04-A,Definition,What type of liability is held by the public health establishment for acts performed by hospital doctors?,Personal civil liability,Official misconduct and fault in the organisation and operation of the department,Personal civil liability for misconduct committed outside the service with no connection to the service,Personal civil liability for misconduct committed on the ward due to malicious intent or exceptional seriousness,b
OIC-005-05-A,Definition,What type of liability does disciplinary action represent?,Civil,Criminal,Administrative,Disciplinary,d
OIC-005-14-B,,What is the primary purpose of conducting a root cause analysis in the management of medical errors?,To identify the immediate causes of an error,"To determine the underlying factors that led to the error, with the goal of preventing future occurrences",To assign blame for the error,To develop a plan for mitigating the consequences of the error,b
OIC-005-03-A,Definition,Who can be held personally liable for damages caused to a patient?,"Doctors employed by private establishments, services, or organizations",Self-employed professionals and private healthcare establishments,Hospital practitioners in their private practice,None of the above,b
OIC-050-16-B,Additional examinations,What should be done if there is doubt about the diagnosis of spermatic cord torsion?,Pursue further imaging,Perform surgical exploration without imaging,Use scrotal ultrasound to guide the diagnosis,Wait for symptoms to resolve on their own,c
OIC-050-14-A,Management,At what age can physiological phimosis in children be treated?,Under 1 year,3-4 years,5-6 years,Immediately after birth,b
OIC-050-07-B,Management,What is the primary treatment for testicular torsion?, Delayed surgery to allow further investigations,Immediate surgical scrotal exploration and untwisting of the spermatic cord,Hyperbaric oxygen therapy as a first line treatment,Orchiectomy without surgical intervention,b
OIC-050-12-B,Management,At what age should surgery be considered to treat cryptorchidism?,Before 6 months,After 1 year,When the testicle can be palpated,As soon as symptoms appear,b
OIC-050-11-B,Additional examinations,What is the indication for imaging in children with undescended testis?,No imaging needed because it's not effective,"If testicle cannot be felt on clinical examination, refer to pediatric surgeon",Laparoscopic exploration under general anesthesia if testicle cannot be palpated,Surveillance by CT scan or MRI for cancer risk assessment,b
OIC-050-13-A,,What is a common cause of balanoposthitis?,Infection with sexually transmitted diseases,Failure to retract the foreskin and accumulation of smegma,Poor hygiene in adults,Genetic predisposition in infants,b
OIC-050-02-A,Emergency identification,What is the primary consequence of delayed detorsion in testicular torsion?,Increased risk of testicular function,Decreased risk of testicular necrosis,No significant impact on prognosis,Reduced need for surgical exploration,a
OIC-050-09-B,Additional examinations,What is the primary indication for scrotal ultrasound in cases of hydrocele?,To confirm diagnosis and rule out testicular tumors,To treat hydrocele by draining the fluid,To perform a biopsy on the epididymis or testicle,To relieve tension in large hydroceles,a
OIC-050-05-B,Complementary examinations,What is the primary purpose of performing a PCR test on the first urine stream in young men with suspected orchi-epididymitis?,To detect bacterial infections,To identify Chlamydia trachomatis and gonococcus in urethral discharge samples,To confirm the diagnosis of testicular atrophy,To rule out BGN infection through blood cultures,a
OIC-050-15-A,Positive diagnosis,What is a characteristic physical examination finding in cases of spermatic cord torsion?,"A hard, descending testicle","A painful, enlarged bursa and cremasteric reflex abolition",Absence of fever and urethral discharge,Painless abdomen with free hernial orifices,b
OIC-050-08-A,Positive diagnosis,What is the primary characteristic of a hydrocele in adults?,Painful,Inflammatory,Progressive increase in volume,Communicating with the vagina,c
OIC-050-04-A,Positive diagnosis,What is the typical age range during which orchiepididymitis is frequently sexually transmitted (STIs)?,Before puberty,From puberty to 35 years old,After 35 years old and before puberty,In children,b
OIC-050-06-A,Management,What is the first-line antibiotic treatment for orchi-epididymitis in children?,Cotrimoxazole,Fluoroquinolone (ciprofloxacin or levofloxacin),3rd generation cephalosporin,Ceftriaxone and Doxycycline,a
OIC-050-01-A,Positive diagnosis,What is a key characteristic that distinguishes painful enlargement of the bursa from painless enlargement?,Pain is relieved by lifting the testicle,The scrotum is inflamed,The bursa remains painful during lifting maneuvers,The testicle is hard and stony,c
OIC-050-10-A,,What type of undescended testis can be palpated outside its normal migratory route?,Inguinal canal,Femoral position,True ectopia,Bilateral cases,c
OIC-076-17-B,Management,When is hospital withdrawal indicated?,Only when a patient wishes to stop drinking alcohol temporarily.,"In cases where the patient has a history of withdrawal accidents, severe dependence, or benzodiazepine dependence.",Always as an outpatient treatment option.,When the patient is experiencing intense withdrawal symptoms.,b
OIC-076-20-B,Management,"What is the primary function of acamprosate, naltrexone, and disulfiram?",To reduce alcohol consumption,To treat withdrawal symptoms,To prevent relapse after withdrawal,To manage withdrawal symptoms,c
OIC-076-10-A,Positive diagnosis,What is a potential consequence of precariousness on an individual with alcohol dependence?,Increased access to treatment,Relapse prevention,Improved mental health outcomes,Reduced risk of social complications,b
OIC-076-11-A,Additional tests,What is the typical timeframe for desialylated transferrin to normalize after stopping alcohol consumption?,1 week,4 to 10 weeks,3 months,6 months,b
OIC-076-07-A,Positive diagnosis,What typically occurs within the first 72 hours after stopping drinking for individuals with alcohol dependence?,Symptoms peak immediately,Symptoms disappear or diminish within 24 hours,Symptoms peak within the first 72 hours and can last up to 7-10 days,Symptoms only appear after 1 week of abstinence,c
OIC-076-02-A,Definition,What is the primary characteristic of addiction?,A behavior that can be controlled despite negative consequences,A process by which a behavior produces pleasure and alleviates internal discomfort despite repeated impossibility of controlling it,A state of physical dependence on a substance or behavior,A type of psychological disorder characterized by excessive consumption of substances,b
OIC-076-04-A,,What is the recommended maximum number of standard drinks per day for adults according to Santé Publique France?,5,10,15,20,b
OIC-076-08-A,Identify the emergency,What is a characteristic breath odor associated with acute alcohol intoxication?,Minty fresh,Fruity and floral,Oenolic (alcoholic),Pungent and garlic-like,c
OIC-076-05-A,Positive diagnosis,"According to ICD-11 criteria, what is required for a diagnosis of alcohol dependence?",At least three symptoms of harmful use,Only one symptom of dependence,No symptoms of harm or psychological damage,A powerful desire to use the substance,d
OIC-076-06-A,Positive diagnosis,What is the standard amount of pure alcohol in a glass?,5g,10g,15g,20g,b
OIC-076-15-A,Management,What is the primary objective in treating severe alcohol dependence?,Complete cessation of consumption (abstinence),Gradual reduction in consumption until low-risk use,Return to moderate drinking,Increase consumption for better health outcomes,a
OIC-076-14-B,Management,What is the primary goal of Early Identification and Brief Intervention (EIBI) for alcohol misuse?,To identify and treat individuals with severe addiction,To encourage non-dependent drinkers to reduce their consumption below low-risk guidelines,To provide ongoing support for individuals struggling with addiction,To educate the general public about the risks of excessive drinking,b
OIC-076-18-B,Management,What is the primary treatment for a convulsive seizure during alcohol withdrawal?,Long-term anticonvulsant medication,High-dose diazepam tapering off over 7-10 days,Intravenous vitamin B1 supplementation before glucose infusion,Restraint and sedation with benzodiazepines only,b
OIC-076-09-A,Positive diagnosis,What is the primary psychiatric disorder that often precedes alcohol misuse?,Bipolar disorder,Schizophrenia,Anxiety disorders,Depressive disorders,d
OIC-076-03-A,Definition,"According to the educational content, what is the relationship between dependence (ICD 11) and alcohol use disorder (DSM-5)?",Dependence corresponds to mild alcohol use disorder.,Dependence corresponds to moderate and severe alcohol use disorder.,Dependence does not correspond to any specific level of alcohol use disorder.,Dependence is the same as alcohol use disorder.,b
OIC-076-12-A,,What is a strong risk factor for cancer associated with alcohol consumption?,Colorectal cancer,Breast cancer,Cancer of the upper aerodigestive tract and squamous cell carcinoma of the esophagus,Hepatocellular carcinoma,c
OIC-076-19-B,Taking charge,What is the main objective of self-help groups?,To provide medical treatment,To combat isolation,To engage vulnerable populations through risk and harm reduction,To offer training for intermediaries in companies,b
OIC-076-16-A,Management,What is a key principle of Motivational Interviewing?,It involves directly telling the client what to do.,It focuses on helping clients resolve ambivalence about changing their behavior.,It relies solely on punishment and rewards for behavioral change.,It ignores the client's underlying motivations for change.,b
OIC-076-01-A,Epidemiology,"According to the BEH 2019 data, what is the main reason for alcohol-related deaths in France?",Tobacco use,Alcohol misuse,Lack of specialist care access,High rates of binge drinking,b
OIC-076-13-A,Definition,What is the primary focus of primary prevention of alcohol misuse?,Substance use itself,Individuals who have already used psychoactive substances,Reducing risk factors and promoting healthy behavior in future users,Treating individuals with existing dependence,c
OIC-049-13-B,Etiologies,What is the primary cause of Early Central Precocious Puberty (PP) in children?,Genetic mutation,Intracranial process such as a chiasma glioma or hydrocephalus,Environmental exposure to endocrine disruptors,Ovarian cyst or granulosa tumor,b
OIC-049-08-B,Physiopathology,What triggers puberty?,FSH and LH,Leptin and genetic factors,Growth hormone and sex hormones,Adrenal androgens only,b
OIC-049-12-B,Epidemiology,What is the typical presentation of precocious puberty in girls?,Organic,Idiopathic,More frequent in boys than in girls,Less common in girls than in boys,b
OIC-049-07-B,Physiopathology,What triggers the reactivation of GnRH pulsatility during puberty?,FSH,LH,Leptin,Growth hormone,c
OIC-049-16-A,Positive diagnosis,What defines delayed puberty in boys?,The presence of testicular enlargement before the age of 12,Testicular enlargement after the age of 15,Breast development after the age of 13,No breast or testicular development by the age of 16,b
OIC-049-15-B,Etiologies,What is a key indicator of the onset of puberty?,The appearance of the wisdom teeth,The appearance of the sesamoid bone at 11 years in girls and 13 years in boys,The increase in basal FSH levels during puberty,The decrease in LH-RH/GnRH test levels after stimulation,b
OIC-049-18-B,Etiologies,What is the primary cause of delayed puberty in boys?,Organic,Idiopathic,Genetic mutation,Hormonal imbalance due to thyroid issues,b
OIC-049-05-B,Physiopathology,What is the average increase in height during peak bone growth for girls?,15-20 cm,20-25 cm,25-30 cm,30-35 cm,b
OIC-049-11-A,Positive diagnosis,"To calculate the annual growth rate, what is measured?",BMI,Height and weight,Body fat percentage,Skinfold measurements,b
OIC-049-17-A,Positive diagnosis,What is the primary purpose of examining family history in a clinical assessment for delayed puberty?,To identify potential genetic factors contributing to delayed puberty,To rule out other medical conditions that may be causing delayed puberty,To assess the likelihood of infertility in future generations,To determine if there is a family history of growth disorders,a
OIC-049-02-A,Definition,What is the primary cause of premature pubarche?,Congenital adrenal hyperplasia,Activation of the gonadotropic axis,Adrenal androgen increase around age 8,Hormonal imbalance due to a tumor,c
OIC-049-24-B,Additional examinations,What is an appropriate imaging examination for pathological peripheral puberty?,Pelvic CT scan,Pelvic ultrasound in girls,Bone density scan,Full-body MRI,b
OIC-049-25-A,Additional examinations,What is the primary purpose of a pelvic ultrasound in girls suspected of having pathological puberty?,To rule out ovarian tumors or cysts,To assess bone age and detect early puberty,To measure uterine length and detect estrogen impregnation,To evaluate the size of the ovaries,a
OIC-049-01-A,Evaluation,What is a common and transient condition in boys during puberty?,Gynecomastia,Early pubic hair growth,Delayed testicular development,Adrenal gland pathology,a
OIC-049-14-B,Etiologies,What is the primary cause of Early Central Precocious Puberty (PP) in children?,Genetic mutation leading to hyperandrogenism,Chiasma glioma or hamartoma causing hydrocephalus,Exposure to endocrine-disrupting chemicals,Ovarian cyst or granulosa tumor,b
OIC-049-26-B,Additional examinations,What does a bone age on a wrist X-ray indicate?,The current age of the child,A 2-year difference from the average age for the child's sex,When puberty will start in the child,If the child is underweight or overweight,b
OIC-049-03-B,Physiopathology,What is the typical range of statural growth during puberty?,15-20 cm,20-25 cm,25-30 cm,30-35 cm,b
OIC-049-06-B,Physiopathology,What triggers the reactivation of GnRH pulsatility during puberty?,FSH,LH,Leptin,Growth hormone,c
OIC-049-19-A,Etiologies,What is the primary cause of Hypothalamic-Pituitary Delayed Puberty?,Congenital Genetic,Ovarian Insufficiency,Acquired Tumor,Turner Syndrome,a
OIC-049-04-B,Definition,What is the correct rating for a 10-year-old girl who has developed small breast buds with enlarged areolas?,S1,S2,S3,S4,b
OIC-049-10-A,Positive diagnosis,What is the primary purpose of analyzing growth rate in identifying precocious puberty?,To determine if a child's growth is faster than average,To assess for signs of increased intracranial pressure,To evaluate genetic target height based on parental heights,To identify potential underlying medical conditions that may be contributing to precocious puberty,d
OIC-049-09-A,Definition,What defines precocious puberty?,Breast development before the age of 10,Testicular volume increase before the age of 8 in boys,Puberty onset between ages 8-9 in girls and 9-11 in boys,Delayed puberty after the age of 12,a
OIC-347-04-A,Positive diagnosis,A patient presents with suprapubic pain and an inability to urinate despite bladder repletion. What is the primary symptom that should prompt a urological history?,Dysuria,Fever,Transit disorders,Sensation of poor bladder emptying,d
OIC-347-01-A,Definition,What is the definition of acute urine retention?,Inability to urinate after a prolonged period,Complete and sudden inability to urinate despite an urgent or painful need to do so.,Urinary incontinence due to muscle weakness,A condition where the bladder is overactive,b
OIC-347-10-B,,What is a key advantage of suprapubic catheterisation compared to bladder catheterisation?,It allows for the washing of the bladder,It provides a clamping test possible for assessment of voiding recovery,It can be used in patients with urethral trauma or stenosis,It is simpler and has a slope drainage system,b
OIC-347-09-A,Identification of the emergency,What is a serious complication of acute urinary retention?,Bladder rupture,Obstruction lifting syndrome,Vacuo hematuria,Acute renal failure,d
OIC-347-07-A,Additional tests,What is typically done if there's any doubt about the diagnosis of acute urine retention?,Performing additional imaging tests,Conducting a suprapubic ultrasound to assess bladder fullness,Ordering blood work for electrolyte levels,Referencing patient's medical history,b
OIC-347-05-B,,Why is it important to rule out acute urinary retention in elderly patients hospitalized with confusional syndrome?,Because they are at risk for infection,To prevent further confusion and disorientation due to pain,Acute urine retention can be a sign of an underlying neurological issue,It is not relevant to their current medical condition,c
OIC-347-11-A,Management,What is the primary goal of emergency bladder drainage for acute urinary retention?,To prevent long-term kidney damage,To reduce the risk of infection and haemorrhage,To immediately relieve obstruction and restore normal urine flow,To monitor diuresis and intravenous fluid compensation,c
OIC-347-02-B,Physiopathology,What is necessary for normal micturition?,A voluntarily closing bladder neck,An un-narrowed urethra and a contracting detrusor muscle,A nervous system that allows simultaneous detrusor contraction and sphincter relaxation,A mechanically obstructed urethra,c
OIC-347-08-A,Additional examinations,What is the primary purpose of performing additional tests after draining an acute urine retention?,To confirm the diagnosis,To rule out electrolyte imbalances and acidosis,To investigate potential causes of urinary tract obstruction,To assess bladder function and identify underlying conditions,d
OIC-347-03-A,Etiologies,What is a common cause of acute urinary retention in both men and women?,Pelvic tumors,Constipation,Diabetic/alcoholic polyneuropathy,Epidural analgesia,b
OIC-347-06-A,Positive diagnosis,What is the key difference between acute urine retention and anuria?,Both conditions are characterized by a lack of urine production.,"Acute urine retention involves pain and a strong desire to urinate, while anuria has no symptoms.","Anuria occurs when the kidneys produce urine, but it is not excreted, whereas acute urine retention occurs when the bladder cannot empty.",Both conditions are caused by kidney failure.,c
OIC-257-08-A,,What is the primary goal of symptomatic treatment in generalized edema?,To induce a negative sodium balance,To restrict water intake and increase elimination of sodium,To administer albumin infusions to expand volume,To treat underlying causes without considering sodium balance,a
OIC-257-01-A,Definition,What is the primary cause of generalized oedema?,Inflammation or venous/lymphatic insufficiency,Excessive sodium and water intake,Poor circulation to extremities,Kidney failure,b
OIC-257-06-A,Additional tests,What is the primary indicator of serous effusions in oedema?,High protein concentration (>20 g/Litre),Low sodium levels (hyponatremia),Increased BNP or NT-proBNP concentration,"Reduced concentrations of nutritional proteins (pre-albumin, transferrin)",a
OIC-257-03-B,Physiopathology,What is the primary mechanism of edema formation in nephrotic syndrome?,A fall in oncotic pressure causes hypovolemia and activation of the renin-angiotensin-aldosterone system.,A primary excess of distal sodium reabsorption is responsible for the positive sodium balance.,"The kidneys retain more sodium than needed, leading to a positive sodium balance.","The body's sodium balance is regulated by the amount of sodium, not its concentration.",b
OIC-257-05-A,Positive diagnosis,What is a characteristic clinical sign of localized oedema?,Bilateral and symmetrical,Unilateral or asymmetrical presentation,"White, soft, painless",Declining in orthostatism,b
OIC-257-07-A,Etiologies,What is a common cause of generalized edema in adults and children?,Acute renal failure,Chronic respiratory insufficiency,Proteinuria and nephrotic syndrome,Valvular pathology,c
OIC-257-02-B,Physiopathology,What is a common cause of localized lower limb oedema?,Increased venous pressure,Lymphatic obstruction due to infection,Inflammation caused by an allergic reaction,Medication that increases capillary permeability,a
OIC-299-06-B,Additional examinations,What type of imaging scan is most effective for diagnosing and preoperative assessment of adult intracranial tumours?,CT scans without contrast,MRI with contrast injection,Both CT and MRI scans are equally effective,Only CT scans are used in emergency situations,b
OIC-299-07-A,Positive diagnosis,"When searching for primary cancer in a patient with brain metastases, what imaging modality is typically used?",Only mammography,Only fluorodeoxyglucose PET scanner (18F),Thoracic-abdominal-pelvic scan with injection of contrast medium,None of the above,c
OIC-299-03-B,Definition,What is the primary cell type from which meningioma develops?,Astrocyte,Oligodendrocyte,Ependymal cells,Schwann cells,a
OIC-299-02-A,Definition,What is the main distinction between primary brain tumours and primary adnexal tumours?,Originating in the spinal cord,Developing from the meninges and cranial nerves,Being intra-axial vs. extra-axial,Being malignant vs. benign,c
OIC-299-01-A,Definition,What is the primary location of most metastatic brain tumours?,Supra Tentorial,Infra Tentorial,Above and below the tentorial,Intra-parenchymal,c
OIC-299-09-B,,What is the primary treatment for peritumoral vasogenic edema?,Resection surgery,"Corticosteroid therapy (methylprednisolone, dexamethasone) and diuretics (mannitol)",Endoscopic ventriculocisternostomy / internal or external LCS shunt for obstructive hydrocephalus,Levetiracetam for epilepsy treatment,b
OIC-299-04-B,Epidemiology,What is the origin of Neurinoma or Schwannoma?,Develops from glial cells of the central nervous system,Develops from Schwann cells of the cranial/peripheral nerves (excluding the olfactory and optic nerves),Develops from ependymocytes in the ventricles,Develops from lymphocytes in the cerebellum,b
OIC-299-05-A,Positive diagnosis,What is a characteristic symptom of Intracranial Hypertension Syndrome (HTIC)?,Headache with no location value and relieved by vomiting,"Headache that worsens at night or during exertion, but is relieved by painkillers",Headache that occurs only in the morning and is accompanied by visual disturbances,Seizures that occur only after a delay of 30 minutes from headache onset,a
OIC-299-08-A,Identification of the emergency,What are the two main emergencies that can reveal or complicate the evolution of a brain tumour?,Intracranial Hypertension (HTIC) and Epilepsy with Status Epilepticus,Obstructive hydrocephalus and cerebral ischaemia,Cardio-tension collapse and hypoxia,Ophthalmological complications of HTIC and multi-visceral failure,a
OIC-010-03-B,Management,What is the main difference between the 'body-object' and the 'body-subject' in the context of human sciences?,"The body-object is the physical body, while the body-subject is the psychological aspect.","The body-object is governed by natural laws, while the body-subject has specifically human characteristics.","The body-object is solely a collection of organs and images, while the body-subject encompasses individual experience and corporeity.",There is no difference between the two terms.,c
OIC-010-02-B,Definition,What is the primary effect of illness on a person's experience of their body?,"Illness only affects the physical body, without impacting identity or self-image.",The experience of pain alters one's sense of identity and changes how others perceive them.,"Illness has no impact on a person's overall life, only affecting specific bodily functions.",Patients' experiences of illness are identical to those of healthy individuals.,b
OIC-010-01-A,Definition,What drives changes in representations of a healthy body over time?,Biological evolution,Cultural traditions and natural environment,Religious beliefs alone,Economic factors only,b
OIC-026-03-A,Identification of the emergency,What is NOT an appropriate step during a clinical examination for acute abdominal pain in a pregnant woman?,Taking the temperature,"Abdominal palpation, lumbar fossa",Vaginal examination/speculum: cervical changes/loss of fluid,Detection of fetal heart sounds,a
