id,question,option_a,option_b,option_c,option_d,correct_option
OIC-019-04-B,Which of the following is not a social security contribution? ,"Social security contributions are compulsory payments made by self-employed persons, employees, and employers to acquire entitlement to social security benefits. These contributions cover health, maternity, disability, and death insurance; old age insurance; unemployment insurance; and family allowances.",The CSA (solidarity day) is a tax paid by public and private employers who are liable for the employer's health insurance contribution.,"Social security contributions account for the bulk of social protection resources. However, since 1990, the proportion of social security contributions in social welfare funding has been declining in favor of fiscal resources, such as the CSG (general social contribution), and exemptions on employers' contributions.","Earmarked taxes account for a growing proportion of social protection resources. They include: Transfers of tax resources paid on a permanent basis to social security schemes (particularly the farmers' scheme). Taxes on products (e.g., taxes on alcohol, tobacco, motor insurance). Taxes on wages and labor. Taxes on income and wealth, which is the largest proportion of social protection tax resources. They include the CSG and the contribution to the repayment of the social debt (CRDS).",option_a
OIC-019-10-A,What is the co-payment for a consultation with a general practitioner?,€25,€17.50,€7.50,€1,option_a
OIC-019-07-B,What is the National Health Insurance Expenditure Target (ONDAM)?,"The ONDAM represents the forecast amount that must not be exceeded for outpatient and inpatient care, whether provided in private or public establishments or in medical and social centers. It is set each year for health insurance expenditure in France and is used to regulate health insurance expenditure.",It corresponds to revenue forecasts and social security expenditure targets for: - Outpatient care - Public and private health establishments - Medico-social establishments - Other care,"Within healthcare establishments, sub-targets are set for: - Public and private establishments charged on an activity basis for their medical, surgical, and obstetric activities (ODMCO: objectif des dépenses de MCO), and for their missions of general interest and assistance with contractualization (MIGAC) - Follow-up and rehabilitation care, psychiatry, and long-term care: the ODAM (health insurance expenditure target) and the OQN (national quantified target)","The Comité d'alerte sur l'évolution des dépenses d'assurance maladie was created by the law of 13 August 2004 on health insurance reform (article 40). It is responsible for alerting Parliament, the Government, and the national health insurance funds in the event of trends in health insurance expenditure that are incompatible with compliance with the national target voted by Parliament.",option_a
OIC-019-13-B,Which of these is not an example of a cash benefit? ,Daily benefits paid from the 4th day of sick leave.,"Reimbursement of costs incurred with the application of a co-payment, variable according to the services, increased for treatment outside the coordinated care pathway (preferred doctor), and exemption for long-term conditions (ALD).","Fixed contribution of €1, payable by the patient for each consultation, biological analysis, or radiology procedure (up to a maximum of €50 per year).","Medical deductible payable by the patient for medicines, paramedical procedures, and medical transport.",option_c
OIC-019-03-B,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","The two main social risks accounting for the largest financial burden remain old age (43%) and health (33%) of social protection expenditure. The growth in social protection expenditure is linked to employment support measures as a result of the introduction of short-time working.

Old-age and survivors' benefits have slowed down since the introduction of four major reforms to the pension system in 1993, 2003, 2008, and 2010: 
1. Indexation of pensions to inflation rather than wages.
2. Calculation of pensions based on the best 25 years instead of the best 10 in the private sector.
3. Increase in the number of years needed to qualify for the full rate.
4. Increase in the legal age for entitlement from 60 to 62.","The average amount of pensions is inevitably increasing in social protection for several reasons:
1. The rise in real wages over the generations.
2. The retirement of baby-boomers, who outnumber current generations.
3. Longer life expectancy.","Regarding health risk, the rate of increase in expenditure has been slowed since the 1980s by several reform plans: 
1. 1982-1983: Reduction in the reimbursement of certain drugs.
2. 1986 and 1993: Increased the proportion of expenditure to be borne by households.
3. 1996: Introduction of the national target for health insurance expenditure (Ondam), which aims to control expenditure by basic schemes. This target was regularly exceeded until 2009, but the 2004 Health Act and ongoing strengthening of its control and monitoring mechanisms have ensured that it has been respected since 2010.

However, health insurance benefits in France will increase by 4.3% (after a 2.4% increase in 2019) to €228 billion. This increase can be explained by:
1. Increases in the provision of care in the hospital sector and, to a lesser extent, in outpatient care.
2. Daily benefits (IJ) increased by 24.4% in 2020 for two reasons: 

Firstly, the so-called ","The Higham score is used to assess menorrhagia severity.

Old-age and survivors' benefits have slowed down since the introduction of four major reforms to the pension system in 1993, 2003, 2008, and 2010: 
1. Indexation of pensions to inflation rather than wages.
2. Calculation of pensions based on the best 25 years instead of the best 10 in the private sector.
3. Increase in the number of years needed to qualify for the full rate.
4. Increase in the legal age for entitlement from 60 to 62.",option_a
OIC-019-02-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.

**Educational Content**
**Title:** Knowing the Nature of Social Protection Benefits in France

**Description:** Organization of Care

**Rubric:** Definition","Social protection is based on:
1. The payment of social benefits directly to individuals. These social benefits can be in cash with replacement income (daily allowances, retirement pensions) or in kind (reimbursement of expenses incurred such as healthcare costs or direct funding of services).
2. Access to social services provided free of charge or at reduced prices (e.g., crèches, canteen meals).","Social protection is based on:
1. The payment of social benefits directly to individuals. These social benefits can be in cash with replacement income (daily allowances, retirement pensions) or in kind (reimbursement of expenses incurred such as healthcare costs or direct funding of services).
2. Access to social services provided free of charge or at reduced prices (e.g., crèches, canteen meals).","Social protection is based on:
1. The payment of social benefits directly to individuals. These social benefits can be in cash with replacement income (daily allowances, retirement pensions) or in kind (reimbursement of expenses incurred such as healthcare costs or direct funding of services).
2. Access to social services provided free of charge or at reduced prices (e.g., crèches, canteen meals).","Social protection is based on:
1. The payment of social benefits directly to individuals. These social benefits can be in cash with replacement income (daily allowances, retirement pensions) or in kind (reimbursement of expenses incurred such as healthcare costs or direct funding of services).
2. Access to social services provided free of charge or at reduced prices (e.g., crèches, canteen meals).","Social protection is based on:
1. The payment of social benefits directly to individuals. These social benefits can be in cash with replacement income (daily allowances, retirement pensions) or in kind (reimbursement of expenses incurred such as healthcare costs or direct funding of services).
2. Access to social services provided free of charge or at reduced prices (e.g., crèches, canteen meals)."
OIC-019-11-A,Which of these statements is NOT true about the coordinated care pathway?,The preferred doctor must be a general practitioner or specialist.,Patients are free to change their choice at any time.,The attending physician provides personalized prevention.,"The patient remains free not to have recourse to the GP, and is subject to an increase in co-payment (70% instead of 30%).",Option d
OIC-019-06-B,"Which of these statements is false? Select all that apply. 

1) The Social Security Financing Act (LFSS) is a category of law created by the revision of the Constitution on 22 February 1996.
2) It aims to control social and health spending.
3) It determines the conditions necessary for the financial equilibrium of social security and sets expenditure targets based on revenue forecasts. 
4) It should be emphasized that this is a financing law rather than a finance law, indicating that the LFSS is not of the same nature as the State's finance laws; in particular, they have no budgetary scope.
5) Parliamentary control remains limited. Parliament does not have the power to set social security revenues itself. The LFSS does not authorize the collection of revenue; it merely forecasts it. Similarly, the expenditure targets voted by Parliament assess expenditure but do not limit it.",1,2,3,4,> 5
OIC-019-09-A,Which of these statements is correct? (1 point),"The health insurance scheme contributes to better matching of healthcare provision to the needs of insured persons within the framework of the regional health agencies, informing insured persons about the characteristics of local healthcare provision and the proper use of healthcare products. It participates in the prevention policy (cancer screening) and develops a support system for patients with serious pathologies (monitoring diabetic patients as part of the Sophia programme, for example).","The health insurance scheme contributes to better matching of healthcare provision to the needs of insured persons within the framework of the regional health agencies, informing insured persons about the characteristics of local healthcare provision and the proper use of healthcare products. It participates in the prevention policy (cancer screening) and develops a support system for patients with serious pathologies (monitoring diabetic patients as part of the Sophia programme, for example).","The health insurance scheme contributes to better matching of healthcare provision to the needs of insured persons within the framework of the regional health agencies, informing insured persons about the characteristics of local healthcare provision and the proper use of healthcare products. It participates in the prevention policy (cancer screening) and develops a support system for patients with serious pathologies (monitoring diabetic patients as part of the Sophia programme, for example).","The health insurance scheme contributes to better matching of healthcare provision to the needs of insured persons within the framework of the regional health agencies, informing insured persons about the characteristics of local healthcare provision and the proper use of healthcare products. It participates in the prevention policy (cancer screening) and develops a support system for patients with serious pathologies (monitoring diabetic patients as part of the Sophia programme, for example).","> The health insurance scheme contributes to better matching of healthcare provision to the needs of insured persons within the framework of the regional health agencies, informing insured persons about the characteristics of local healthcare provision and the proper use of healthcare products. It participates in the prevention policy (cancer screening) and develops a support system for patients with serious pathologies (monitoring diabetic patients as part of the Sophia programme, for example).</option>"
OIC-019-01-A,"Which of these definitions best describes social protection? 

1. Social Insurance: Aims to protect insured persons against loss of income due to social risks.
2. Universal Protection: Covers certain categories of expenditure for all individuals.
3. Social Assistance Logic: Allows solidarity to be established between individuals to combat poverty and exclusion.
4. Individual Protection Logic: Based on savings (e.g., the decision to buy dental implants) and private insurance, while collective protection is based on the pooling of risks.",1,2,3,4,1
OIC-283-02-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","Constipation can be defined as: Fewer than 3 bowel movements per week Exaggerated efforts to push, known as dyschezia A combination of the above In all cases, constipation is characterized by a patient's complaint about bowel movements, including the quality and number of stools and a feeling of incomplete evacuation. Constipation is considered chronic if it has been present for at least 6 months.","Constipation can be defined as: Fewer than 3 bowel movements per week Exaggerated efforts to push, known as dyschezia A combination of the above In all cases, constipation is characterized by a patient's complaint about bowel movements, including the quality and number of stools and a feeling of incomplete evacuation. Constipation is considered chronic if it has been present for at least 6 months.","Constipation can be defined as: Fewer than 3 bowel movements per week Exaggerated efforts to push, known as dyschezia A combination of the above In all cases, constipation is characterized by a patient's complaint about bowel movements, including the quality and number of stools and a feeling of incomplete evacuation. Constipation is considered chronic if it has been present for at least 6 months.","Constipation can be defined as: Fewer than 3 bowel movements per week Exaggerated efforts to push, known as dyschezia A combination of the above In all cases, constipation is characterized by a patient's complaint about bowel movements, including the quality and number of stools and a feeling of incomplete evacuation. Constipation is considered chronic if it has been present for at least 6 months.","Constipation can be defined as: Fewer than 3 bowel movements per week Exaggerated efforts to push, known as dyschezia A combination of the above In all cases, constipation is characterized by a patient's complaint about bowel movements, including the quality and number of stools and a feeling of incomplete evacuation. Constipation is considered chronic if it has been present for at least 6 months."
OIC-283-06-B,Which of the following is a common cause of secondary constipation? ,Luminal obstruction,Non-tumor stenosis,Anal stenosis,Extrinsic compression,A
OIC-283-01-B,Which of these is NOT a risk factor for constipation?,A child with constipation may have an underlying medical condition.,A child who has had diarrhea in the past 24 hours may be at increased risk for constipation.,A child who has been on a high-fiber diet recently may be at increased risk for constipation.,"A child with an underlying medical condition, such as diabetes or inflammatory bowel disease, is more likely to have constipation.",b
OIC-283-05-A,Which of these is not a feature of constipation in children?,Constipated patients may have feces in the rectum.,Constipated patients may have feces in the rectum.,Constipated patients may have feces in the rectum.,Constipated patients may have feces in the rectum.,option_a
OIC-283-07-A,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","A fibre-enriched diet (around 25g/day) is essential. Increasing water intake is not necessary, but magnesium-rich waters may be recommended.

Regular visits to the toilet and an improved defecation position (legs raised, use of a step stool) are important.

Physical exercise does not improve constipation.","A fibre-enriched diet (around 25g/day) is essential. Increasing water intake is necessary, but magnesium-rich waters may be recommended.

Regular visits to the toilet and an improved defecation position (legs raised, use of a step stool) are important.

Physical exercise does not improve constipation.","A fibre-enriched diet (around 25g/day) is essential. Increasing water intake is necessary, but magnesium-rich waters may be recommended.

Regular visits to the toilet and an improved defecation position (legs raised, use of a step stool) are important.

Physical exercise does not improve constipation.","A fibre-enriched diet (around 25g/day) is essential. Increasing water intake is necessary, but magnesium-rich waters may be recommended.

Regular visits to the toilet and an improved defecation position (legs raised, use of a step stool) are important.

Physical exercise does not improve constipation.",option_c
OIC-283-09-B,"Which of these statements about constipation in children and adults is FALSE? Select all that apply. 

1. Constipation can be defined as hard stools with a frequency of more than 3 times per week.
2. Rectal vacuity is the most common cause of chronic constipation in infants, but it may also occur in older children.
3. The main pathophysiological mechanism for constipation in adults is rectal obstruction by feces and stool.
4. Constipation can be managed with dietary measures alone or with hygienic measures such as enemas or laxatives.
5. Medication should only be used if the above measures are not effective, and then only after a trial of 2-3 weeks to ensure that constipation is resolved before starting medication.
6. Constipation in adults can also be caused by psychosocial factors (e.g., depression or anxiety).
7. Psychological treatment may be useful for children with constipation if there are psychological causes, if the disorder has psychosocial consequences, or if secondary benefits are sought.",1,2,3,4,">> option_a
<
option_b
<
option_c
<
option_d
<
7. Psychological treatment may be useful for children with constipation if there are psychological causes, if the disorder has psychosocial consequences, or if secondary benefits are sought.
8. Constipation in adults can also be caused by psychosocial factors (e.g., depression or anxiety).
9. Psychological treatment may be useful for children with constipation if there are psychological causes, if the disorder has psychosocial consequences, or if secondary benefits are sought."
OIC-283-04-B,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","The examination with colonoscopy is indicated in chronic constipated patients consulting for the first time, when there are no warning signs.

Explanation: Colonoscopy should be offered to all patients who present with symptoms suggestive of colonic pathology. In particular, it should be considered if the patient has a family history of colorectal cancer or presents with rectal bleeding or change in bowel habit.","The examination with colonoscopy is indicated in chronic constipated patients consulting for the first time, when there are warning signs.

Explanation: Colonoscopy should be offered to all patients who present with symptoms suggestive of colonic pathology. In particular, it should be considered if the patient has a family history of colorectal cancer or presents with rectal bleeding or change in bowel habit.","The examination with colonoscopy is indicated in chronic constipated patients consulting for the first time, when there are warning signs.

Explanation: Colonoscopy should be offered to all patients who present with symptoms suggestive of colonic pathology. In particular, it should be considered if the patient has a family history of colorectal cancer or presents with rectal bleeding or change in bowel habit.","The examination with colonoscopy is indicated in chronic constipated patients consulting for the first time, when there are warning signs.

Explanation: Colonoscopy should be offered to all patients who present with symptoms suggestive of colonic pathology. In particular, it should be considered if the patient has a family history of colorectal cancer or presents with rectal bleeding or change in bowel habit.",option_a
OIC-283-08-B,Which of the following is NOT a complication of chronic constipation?,Rectal prolapse,Subocclusions,Abdominal pain,Encopresis,A
OIC-283-03-B,Distinguish functional from organic and congenital causes of constipation in children,"Constipation is most often functional, requiring symptomatic treatment through hygienic and dietary measures, often combined with medication.",An organic cause should be considered in the presence of certain warning signs or in the event of a poor response to well-managed first-line treatment.,"The functional origin is multi-factorial and develops after 6 months. Before 6 months, the mechanism is essentially reflex.",Repeated retention of stool in the rectal ampulla leads to constipation. This is known as terminal retention.,"Constipation is most often functional, requiring symptomatic treatment through hygienic and dietary measures, often combined with medication."
OIC-005-09-A,What are medical accidents? What are Iatrogenic conditions?,"Medical accident: An undesirable event that occurs during an act of care, prevention, or diagnosis. This accident results in abnormal damage with regard to the foreseeable evolution of the state of health.","Iatrogenic condition: All harmful effects caused by a treatment or medical procedure. Iatrogenic conditions occur when the treatment triggers new symptoms, distinct from those it was intended to treat. The iatrogenic effect may occur with or without misuse of the drug, whether this misuse is the fault of a healthcare professional or the patient.","Medical error: An undesirable event that occurs during an act of care, prevention, or diagnosis. This accident results in abnormal damage with regard to the foreseeable evolution of the state of health. It may occur in any healthcare setting: a public or private healthcare establishment, the practice of a self-employed healthcare professional, a medical analysis or radiology laboratory, a pharmacy, etc.","Iatrogenic disorder: All harmful effects caused by a treatment or medical procedure. Iatrogenic conditions occur when the treatment triggers new symptoms, distinct from those it was intended to treat. The iatrogenic effect may occur with or without misuse of the drug, whether this misuse is the fault of a healthcare professional or the patient.",option_c
OIC-005-11-A,What is a Therapeutic Hazard?,A Therapeutic Hazard is defined as an unforeseen event causing damage with a certain causal link to the medical act.,An Iatrogenic Condition is the care provided to the patient caused the damage,A Nosocomial Infection is the infection appears after hospitalization and was absent on the day of admission,"The occurrence, through no fault of the practitioner, of an accidental risk inherent in the medical act and which could not be controlled.",option_a
OIC-005-12-B,Which of the following is a factor that may lead to litigation?,Patient factors,Task-related factors,Team factors,Working environment factors,Option d
OIC-005-13-A,"Which of these statements about human error is correct? (1 point) 

A. Human beings are fallible, and it is in their nature to make mistakes.
B. Acknowledging that we can make mistakes is a prerequisite for adopting error-prevention behavior.
C. Recognizing that we have made a mistake is an opportunity to learn and progress.
D. This is true for individuals and organizations.",A,B,C,D,C
OIC-005-15-B,"Based on the following educational content, generate a multiple-choice question with four answer options where only one is correct. The question should assess understanding of the main ideas, and the options should be clear, informative, and relevant. Ensure that the distractors (incorrect options) follow a logical but incorrect interpretation, based on common misconceptions or misunderstandings of the topic.","The third major class of error detection involves active systems based on the analysis of files or electronic traces. Retrospective analysis of files is a time-consuming and labor-intensive system unless a computer search using a predefined program searching for keywords is organized.

Serious adverse events are analyzed either with:
- A neutral external viewpoint, provided by the risk management unit.
- A point of view from within the hospital department, which must also be as neutral as possible, on the occasion of morbidity and mortality reviews (MMR).

The opposite attitude means that errors are hidden. Failure to analyze them in depth creates second victims.","Serious adverse events are analyzed either with:
- A neutral external viewpoint, provided by the risk management unit.
- A point of view from within the hospital department, which must also be as neutral as possible, on the occasion of morbidity and mortality reviews (MMR).

The opposite attitude means that errors are hidden. Failure to analyze them in depth creates second victims.","Serious adverse events are analyzed either with:
- A neutral external viewpoint, provided by the risk management unit.
- A point of view from within the hospital department, which must also be as neutral as possible, on the occasion of morbidity and mortality reviews (MMR).

The opposite attitude means that errors are hidden. Failure to analyze them in depth creates second victims.","Serious adverse events are analyzed either with:
- A neutral external viewpoint, provided by the risk management unit.
- A point of view from within the hospital department, which must also be as neutral as possible, on the occasion of morbidity and mortality reviews (MMR).

The opposite attitude means that errors are hidden. Failure to analyze them in depth creates second victims.","Serious adverse events are analyzed either with:
- A neutral external viewpoint, provided by the risk management unit.
- A point of view from within the hospital department, which must also be as neutral as possible, on the occasion of morbidity and mortality reviews (MMR).

The opposite attitude means that errors are hidden. Failure to analyze them in depth creates second victims."
OIC-005-07-A,Which of these is NOT an example of medical liability?,The patient's right to privacy and confidentiality of information,The patient's right to receive the most appropriate treatment and care and to benefit from therapies whose effectiveness is recognized and which guarantee the best possible health safety and relief of suffering in light of proven medical knowledge,The patient's right not to be subjected to acts of unreasonable obstinacy,The patient's right to deep and continuous sedation causing an alteration in consciousness maintained until death,option_a
OIC-005-06-A,What does 'no-fault' liability mean?,No-fault liability means that a patient can sue for damages if they are injured by medical care without any breach of professional or scientific rules or error. This is the case with nosocomial infections.,No-fault liability means that a patient can sue for damages if they are injured by medical care without any breach of professional or scientific rules or error. This is not the case with nosocomial infections.,No-fault liability means that a patient can sue for damages if they are injured by medical care without any breach of professional or scientific rules or error. This is the case with nosocomial infections.,No-fault liability means that a patient can sue for damages if they are injured by medical care without any breach of professional or scientific rules or error. This is not the case with nosocomial infections.,option_a
OIC-005-02-A,Knowing the Definition of Criminal Liability,"The purpose of criminal liability is to punish individuals whose behavior is deemed reprehensible by society. It is always personal and applies equally to all doctors (including interns), regardless of the context in which they practice.","Behavior that society defines as reprehensible is called an offence. These are listed in the French Penal Code and classified into three categories in order of seriousness: contraventions, délits, and crimes.","The offences for which a doctor may be held responsible may also be committed by any citizen. However, doctors are more likely to commit certain offences than others. There are three main types of offences arising from the practice of medical care: those resulting from the breach of a duty of humanity, unintentional injury and manslaughter, and intentional injury and manslaughter.",The violation of a duty of humanism mainly concerns:,"The violation of a duty of humanism mainly concerns:
1. The drafting of false certificates (Article 441-7 of the French Penal Code).
2. The violation of professional secrecy (Article 226-13 of the French Penal Code). 
3. Failure to assist a person in danger (Article 226-3 of the French Penal Code)."
