id,question,option_a,option_b,option_c,option_d,correct_option
OIC-019-09-A,What is the main purpose of the organization of care (Organization of Care) within the Social Security System?,"To pay for sickness, maternity, disability, and death, as well as accidents at work and occupational diseases.",To improve the efficiency of healthcare systems and control healthcare expenditure.,To match healthcare provision with local needs through regional health agencies.,To manage diabetes patients under the Sophia programme.,"To pay for sickness, maternity, disability, and death, as well as accidents at work and occupational diseases."
OIC-019-01-A,What is the correct term for social protection that aims to provide a minimum income to all individuals regardless of their contribution or means?,Social Insurance,Supplementary Insurance,Medical Consumption,Social Protection Logic,Social Insurance
OIC-283-02-A,What does 'chronic constipation' mean?,Having fewer than 3 bowel movements per week,Diagnosing symptoms in children with fever,"A medical condition that causes excessive gas, not just constipation",Experiencing recurring diarrhea every day,option_a
OIC-283-06-B,What is the main difference between idiopathic and secondary constipation in children?,A slowdown in colonic transit,A problem with rectal evacuation from the beginning,A change in bowel movements frequency over time,Abnormalities in pelvic structure,A slowdown in colonic transit
OIC-283-01-B,What percentage of pediatric consultations are due to constipation in children?,2%,15%,80%,5%,d
OIC-283-05-A,What is the main characteristic change in the physical examination findings when examining a patient with constipation for fecal impaction?,Increased abdominal pressure,Decreased anal sphincter tone,No rectal examination done,Rectocele formation,b
OIC-283-07-A,What is the recommended amount of fluid for an adult constipation?,25g/day,10% of body weight in water,No specific recommendation given,Water intake should be increased during periods of diarrhea or vomiting,option_a
OIC-283-09-B,What should be done to soften stools in older children with chronic constipation?,Give them a laxative,Use more fiber in their diet,Increase hydration by drinking more fluids,Try enemas or rectal irrigation,d
OIC-283-04-B,When should a colonoscopy with general anaesthetic be offered to someone who has not had a colonoscopy before?,If the symptoms appear or worsen after the age of 50,"In the event of warning signs (rectal discharge, change in general condition, recent unexplained change in transit)",In situations where a biological test is necessary to diagnose constipation,When a functional examination such as colonic transit time using radio-opaque markers has been performed,option_a
OIC-283-08-B,What is the most characteristic symptom of anal fissures in children?,Crying during defecation and rectorrhagia,"Anorexia, nausea, meteorism",Relief after passing stools,Encopresis,b
OIC-283-03-B,What is a functional cause of constipation in children?,Protein deficiency,Lack of fiber intake,Malabsorption of water and electrolytes,Hypothyroidism,b
OIC-005-09-A,What is the main difference between a medical accident and an Iatrogenic Disease?,"A medical accident is a cause-and-effect event, while an Iatrogenic disease is a consequence of a treatment","Both involve error or fault on the part of the healthcare professional, resulting in harm to the patient","An Iatrogenic Disease is caused by taking a medicine, regardless of dosage or intention, while a medical accident only occurs during an act of care",A medical accident can be a therapeutic hazard if it happens as part of good practice.,option_a
OIC-005-11-A,What is the key difference between an error and a therapeutic hazard?,An error occurs when the care action was incorrect.,A therapeutic hazard occurs when the risk inherent in the medical act could not be controlled.,"An error is always caused by human fault, while a therapeutic hazard can occur without anyone being responsible.",Therapeutic hazards are only related to hospital infections.,b
OIC-005-12-B,What is the main factor that contributes to litigation following a medical accident?,State of health.,Seriousness of associated illnesses.,Vulnerability of certain populations.,Effective communication within the team and with the patient in the therapeutic relationship.,option_a
OIC-005-13-A,What type of organizational structure promotes an environment where error-prone individuals feel supported in acknowledging their mistakes,Individual-based,Team-based,No structure at all,Leadership-only,b
OIC-005-15-B,What is one key element of the positive error culture approach?,Fostering a blameless reporting system,Respecting patient confidentiality in analysis reports,Encouraging self-blame from hospital staff.,Providing anonymity for healthcare professionals to report errors anonymously.,option_a
OIC-005-07-A,What is the correct definition of fault in medical liability?,A doctor's breach of duty of humanism,A technical failure to provide adequate care,A patient's failure to take responsibility for their health,A product defect that renders it ineffective,option_a
OIC-005-06-A,What type of liability refers to the recognition of compensation for damage related to care without evidence of professional or scientific error?,Criminal Liability,Civil Liability,Administrative Liability,No-Fault Insurance System,b
OIC-005-02-A,What is the main purpose of criminal liability in medical cases?,To punish doctors for their professional misconduct,To protect patients from harm,To ensure that healthcare workers are held to high standards of care and competence,To prevent doctors from abusing their power over patients,b
OIC-005-01-A,What is the main difference between a charge of criminal liability versus civil liability in relation to healthcare professionals and institutions?,"A charge of criminal liability requires the patient to prove fault directly, while a charge of civil liability does not",A charge of civil liability can include loss of chance of survival or recovery if it is certain.,The courts accept compensation for loss of opportunity as a right to compensation in both cases.,Loss of preparation is considered a separate right from loss of opportunity.,a
OIC-005-10-A,What is a common definition of 'nosocomial infection'?,A type of disease that spreads through direct contact with an infected person.,"An infection caused by a virus, not bacteria or fungi.",A type of hospital-acquired condition unrelated to any pre-existing medical condition.,An infection resulting from touching contaminated surfaces in the hospital.,b
OIC-005-08-A,What does the term 'error' refer to in the context of human fallibility?,A mistake made by an individual,An action that was carried out but not useful,An opportunity for learning and progress,The result of a routine or personal habit,option_c
OIC-005-04-A,What is Administrative Liability?,A hospital doctor's negligence while working in their own private clinic.,The public health establishment being liable for a doctor's misconduct,Misconduct committed on the ward but not related to it due to malicious intent or its exceptional seriousness.,Inability of both parties (doctor and public hospital employee) to be legally bound.,option_b
OIC-005-05-A,What does 'disciplinary liability' refer to in the context of medical ethics?,A breach of medical ethics that leads to legal action,"An act that harms patients, but not necessarily against the law",The responsibility of a doctor for their actions when working with another doctor,A court's decision on a matter concerning disciplinary liability,a
OIC-005-14-B,What is the correct role of a patient in preventing medical errors?,Distract from the procedure,Adhere to instructions,Report any concerns or suspicions to healthcare staff,Ask for pain relief without consulting the doctor,c
OIC-005-03-A,What does 'civil liability' refer to?,Liability towards patients,Liability towards employers,Liability between healthcare professionals,Liability for hospital-related incidents,option_a
OIC-050-16-B,What is a characteristic feature of spermatic cord torsion?,The inguinal region,A reduction in intra-testicular vascularization,The absence of spermatozoa,Inflammation of the bursa,option_a
OIC-050-14-A,What is the age at which phimosis in children should not be treated?,3-4 years,6 months,18 months,Before the age of 1 year,a
OIC-050-07-B,What is the main difference between testicular torsion and necrotizing fasciitis?,"Torsion occurs when the spermatic cord is twisted, while fasciitis occurs due to inflammation of the fascia.",Both are emergencies requiring immediate surgical management,"Torsion requires orchiectomy if the testicle is not viable, whereas necrotizing fasciitis does not require this procedure",Torsion and fasciitis have similar treatment options,b
OIC-050-12-B,What is the purpose of lowering a testicle that has not descended?,To improve fertility,To increase testicular cancer risk,For better mobility,To lower testosterone levels,To improve fertility
OIC-050-11-B,What is the typical presentation of undescended testis in children?,The child may exhibit fever and signs of infection.,"The child has a normal physical examination, but symptoms occur spontaneously.",Cryptorchidism is often asymptomatic until later adulthood.,No imaging study is required for undescended testis in children.,b
OIC-050-13-A,What is a common symptom of phimosis?,Increased urination,Difficulty with sexual intercourse,Painful sex,A sudden and severe condition of the penis,b
OIC-050-02-A,What should be done in case of testicular torsion after 6 hours?,Immediate surgery,Emergency detorsion without surgery,Hormonal activity peaks delay treatment,Pain alone is sufficient,a
OIC-050-09-B,What should be avoided during a scrotal ultrasound of an adult patient?,Percutaneous puncture,Scrotoscopic examination by a specialist,Contraindications to percutaneous puncture in children with hydrocele under tension,Administering analgesia during the procedure,C
OIC-050-05-B,What is typically first tested in suspected orchi-epididymitis?,EBCTU with antibiotic susceptibility test,Blood cultures,Chlamydia trachomatis and gonococcus PCR on the first urine stream,Scrotal ultrasound scan,option_a
OIC-050-15-A,What is the most common age group at which spermatic cord torsion occurs?,Young adults,Infants and adolescents,Adults under 30 years of age,Middle-aged men only,b
OIC-050-08-A,What is a characteristic feature of hydrocele in children?,A persistent peritoneovaginal canal,Increased volume due to inflammation,Changes in the child's position during the day,"Sudden, severe pain when standing",c
OIC-050-04-A,What is characteristic of orchiepididymitis during puberty?,It is sexually transmitted,It is caused by an instrumental or surgical maneuver,It may be associated with chronic prostatitis,It is a rare entity in children,b
OIC-050-06-A,"What does the recommended antibiotic treatment for orchi-epididymitis primarily target, aside from enterobacteria?",Sporothrix schenckii,Clostridioides difficile,Blastocystis tenax,Fusarium oxysporum,Clostridioides difficile
OIC-050-01-A,What is the main difference between a painful bursa enlargement and an asymptomatic one?,"Painful bursae are more likely to be associated with testicular torsion or cancer, while asymptomatic bursae may be due to orchiepididymitis or hydrocele.","Asymptomatic bursae may be due to phimosis, paraphimosis, or varicocele, whereas painful bursae are often associated with infection or trauma.","A painful bursa is unlikely to cause discomfort during decubitus, while an asymptomatic bursa can be detected during examination.","Asymptomatic bursae may be more common in young girls, whereas painful bursae are more likely to occur in adult men.",b
OIC-050-10-A,What do you do if a boy's undescended testicle is easily lowered with the help of hand?,Perform surgery to correct the anomaly,"Leave it alone, it will move on its own",Try to pull down his pants and hope for the best,Check if there's another child with the same condition,option_a
OIC-076-17-B,When is a patient most likely to require hospitalised Alcohol Withdrawal?,If the patient has only recently stopped drinking,In cases where the patient has had previous withdrawal accidents,Regardless of any other medical issues,After simply stopping their alcohol consumption for a few days,b
OIC-076-20-B,What is a common use for medications to treat alcohol dependence?,Acetaminophen,Naloxone,Baclofen,Disulfiram,c
OIC-076-10-A,What is a common consequence of alcohol dependence?,Increased involvement in family activities,Improved job security,Increased financial reliability,Enhanced social skills,option_b
OIC-076-11-A,Which blood test is most commonly associated with alcohol dependence?,Blood Alcohol,GGT,VGM,CDT,a
OIC-076-07-A,What symptom typically disappears within the first week after stopping alcohol consumption?,Agitation,Vomiting,Insomnia,Tremor,a
OIC-076-02-A,What is the difference between low-risk use and high-risk use?,Consuming a substance or performing a behavior without any physical or psychological impact,Engaging in risks that are present even before dependence develops,Using psychoactive substances for non-substance purposes,Engaging in behaviors linked to dependency and harm,option_a
OIC-076-04-A,What is the recommended drinking limit for adults based on the Santère Publique France guidelines?,10 standard drinks a week,20 standard drinks a day,1 standard drink every 2 days,Every other day with meals,option_a
OIC-076-08-A,What is characteristic of high individual variability of effects when considering acute alcohol intoxication?,The presence of dysarthria and dyspnea,A positive breath test for enolalic,An elevated body temperature,Increased heart rate with bradycardia,A positive breath test for enolalic
OIC-076-05-A,What is a key difference between harmful use and dependence according to ICD-11 criteria?,"Harmful use refers to the absence of physiological withdrawal syndrome, while dependence requires at least three of the following","Alcohol dependence involves powerful or compulsive desire to use a psychoactive substance for pleasure, whereas harmful use only includes physical damage","A key difference between harmful use and dependence is that dependence requires progressive abandonment of other sources of pleasure and interest in favor of using a psychoactive substance, while harmful use does not","According to ICD-11 criteria, the threshold for diagnosing dependence is at least six months, whereas harmful use is only diagnosed when the subject has experienced clearly harmful consequences",b
OIC-076-06-A,How often do you drink alcohol?,(1) Never,(2) Once a month or less,(3) Two to three times a week,(4) Four or more times a week,(a)
OIC-076-15-A,Correct approach for managing alcohol dependence?,Complete and supervised cessation,Gradual reduction in consumption,Combination of both complete and gradual approaches,Self-help groups are not necessary,option_a
OIC-076-14-B,"What is a primary goal of Early Identification and Brief Intervention (EIBI) in managing alcohol dependence? | Answer options:
1. To reduce the consumption of high-risk drinks.
2. To increase the production of new neurons in the brain.
3. To enhance overall physical fitness.
4. To provide a complimentary smartphone with no monthly fees.",Reduce the consumption of high-risk drinks,"For many individuals who develop alcohol dependence, it can be difficult to leave drinking entirely behind due to various health issues and situations that may require them to consume alcohol. EIBI aims to encourage these individuals to reduce their consumption below low-risk guidelines.",To prevent new users of alcohol from developing a dependence on the drug,"Yes, it can be provided in an empathetic, non-judgmental way.",}
OIC-076-18-B,What is the main difference between a Delirium Tremens (DT) and Convulsive Seizure in alcohol dependence?,"{""name"": ""A DT is treated with high-dose parenteral vitamin B1 before any infusion of serum glucose and polyvitamins, while a CT requires intravenous rehydration and correction of hydroelectrolytic disorders. What is the main difference?","{""name"": ""DTs require hospitalization in intensive or continuing care, whereas CTS require restraint, treatment with high-dose parenteral vitamin B1 before any infusion of serum glucose and polyvitamins, and long-lasting benzodiazepines until sedation is achieved. What is the main difference?","{""name"": ""DTs are treated with systematic high-dose diazepam tapering off over 7 to 10 days, whereas CTS require systemic treatment identical to that for withdrawal. What is the main difference?","{""name"": ""Both DTs and CTS require hospitalization in intensive or continuing care. What is the main difference?",c
OIC-076-09-A,What is the common association with alcohol misuse?,Other psychiatric disorders,Other substance use disorders,Family and friends,No comorbidity,option_a
OIC-076-03-A,What percentage of individuals with alcohol dependence is considered to be mild?,"(A) 0.1%,  (B) 2% , (C) 10% , ","(B) 2% , (C) 10% ,  (D) 3%","(A) 0.1% ,  (D) 5%","(A) 20%,  (B) 30%",(B) 2%
OIC-076-12-A,What is a major medical complication of chronic alcohol consumption that can increase the risk of cancer in the upper aerodigestive tract and squamous cell carcinoma of the esophagus?,Hepatocellular carcinoma,Colorectal cancer,Asthma,Pancreatitis,Hepatocellular carcinoma
OIC-076-19-B,What is the primary goal of self-help groups?,To engage in individual therapy,To provide social support and facilitate communication,To treat addiction through medication only,To promote overall well-being and happiness,b
OIC-076-16-A,What is one primary goal of motivational interviewing (MI)?,To delay alcohol dependence,To promote complete abstinence from alcohol ,To manage withdrawal symptoms,To create a strong support network for recovering individuals.,b
OIC-076-01-A,What is the population fraction that drinks at risk in France?,1 in 4,1 in 5,1 in 6,10% ,option_a
OIC-076-13-A,What is a key principle of primary prevention in alcohol dependence?,Providing education on the dangers of alcohol,Involving individuals at high risk in controlled substance studies,Avoiding information about the risks related to alcohol use,Focusing solely on treating existing problems with medications,option_a
OIC-049-13-B,What is a common intracranial process that can cause early central precocious puberty (PP)?,(1) Chiasma gliomas,(2) Hydrocephalus,(3) Arachnoid cysts,(4) Meningitis,(1)
OIC-049-08-B,What triggers pubertal changes?,Leptin from adipose tissue,Asthma medication,Prolactin and estrogen,Hormonal fluctuations in females only,option_a
OIC-049-12-B,What percentage of central vs. organic precocious pubertal cases are in girls?,60%,80%,1000,40%,a
OIC-049-07-B,What hormone produced by adipose tissue modulates GnRH pulsatility during normal pubertal development?,Leptin,Estrogen,Insulin,Growth Hormone,b
OIC-049-16-A,When is delayed pubertal onset typically considered?,After 12:00 PM,The age at which breast development should be expected to start by 13 years old,Until the age of 16 for girls and 14 for boys,For all children regardless of sex,b
OIC-049-15-B,What are the correct terms to describe testosterone levels in individuals?,Boys,Girls,Testosterone and oestradiol,Femaloids,option_a
OIC-049-18-B,What is the main difference between peripheral pubertal delay and central pubertal delay?,"A low level of testosterone,","A high level of gonadotropins (FSH and LH),","Both are caused by an anti-transglutaminase IgA positive antibody test result, which indicates an autoimmune reaction to the presence of transglutaminase enzyme in the pituitary gland,",That they involve a genetic disorder like Turner syndrome or Klinefelter syndrome.,b
OIC-049-05-B,What is the age range for peak bone growth?,18 cm,40 cm,-12 months,20 years,b
OIC-049-11-A,What is the correct way to calculate an individual's annual growth rate in normal and pathological puberty?,Use a formula provided by the Growth Hormone Foundation,Measure waist circumference instead of body mass index (BMI),Look for changes in skin fold thickness or bioelectrical impedance analysis results,Only consider the first year of puberty,option_a
OIC-049-17-A,What is the most important factor in favor of delayed puberty?,Family history of infertility,Cryptorchidism or micropenis,Personal history of chronic illness,Parental heights with calculation of genetic target height,option_a
OIC-049-02-A,What defines premature pubarche?,Increasing levels of adrenal androgens around age 8,Hormonal imbalance in the ovaries or testes,Abnormal uterine development,Inadequate exposure to sunlight,option_a
OIC-049-24-B,When is imaging examination necessary in cases of abnormal puberty?,Before diagnosis,After diagnosis,During treatment,To confirm normal development,b
OIC-049-25-A,What is the purpose of a Pelvic Ultrasound in Pathological Puberty?,To rule out a uterine tumor or cyst,To measure bone age of the hand and wrist,To assess for signs of premature ovarian failure,To rule out an ovarian tumor or cyst that may be causing a false uterine length measurement,option_a
OIC-049-01-A,When does breast (S) development typically begin?,Between ages 8-11,After Tanner stage S1,During puberty in girls,Immediately after birth,a
OIC-049-14-B,What is the most common intracranial process causing Early Central Precocious Puberty (PP)?,Chiasma glioma NF1/Hamartoma,Hydrocephalus/Arachnoid Cyst,Meningitis/Cranial Irradiation,Tumor,option_a
OIC-049-26-B,What is the age of onset for bone maturation on a wrist X-ray?,11-12 years,13-14 years,9-10 years,6-7 years,b
OIC-049-03-B,What is the typical difference in average pubertal growth between girls and boys?,"{
",{,{,\frac{-5}{2},"{
± The average pubertal growth peak for boys is 20-25 cm.
}
"
OIC-049-06-B,What is responsible for the development of secondary sexual characteristics in boys?,FSH,LH,Testosterone,Growth Hormone,b
OIC-049-19-A,What is considered a **Congenital** cause of normal pubertal delay?,Congenital Hypogonadotropic Hypogonadism,Congenital Insufficiency,Congenital Hyperplasia,Cushing's Syndrome,option_a
OIC-049-04-B,What is the correct duration before a child's breast tissue becomes visible?,S4,G3,P1,S2,option_a
OIC-049-10-A,What is the key factor in diagnosing precocious puberty?,Age at menarche,Family or personal history of IUGR,Height calculation to determine genetic target height,Mother's age at menarche and father's height for calculation of gene expression level,option_a
OIC-049-09-A,What are the typical ages for breast development in prepubertal girls with normal puberty?,8,9,6,10,a
OIC-347-04-A,What should a healthcare professional look for on a physical examination to confirm the diagnosis of acute urinary retention?,A,D,B,C,B
OIC-347-01-A,What is the main cause of acute urine retention?,Prostatitis,Pelvic tumor,Benign prostatic hypertrophy,Peripheral neuropathy (2C-092),A
OIC-347-10-B,What is a common indication for suprapubic catheterisation over bladder catheterisation?,Acute urinary tract infection,Bladder tumour,Urethral trauma,Bleeding during menstruation,b
OIC-347-09-A,What is a common complication of acute urinary retention?,Hemorrhoids,Cicatrices (scarring) of the urethra},Hyperactivity of the prostate gland,Aortic aneurysm,option_c
OIC-347-07-A,What should you do with an individual presenting with acute urine retention?,Perform a physical examination,Administer medication for urinary retention,Assess the patient's overall health before proceeding further,Use only a mirror to examine the posterior urethra,a
OIC-347-05-B,What is a common misconception about autonomic hyper-reflexia in patients with spinal cord injuries?,Bladder instability,Nerve damage,Referral to anesthesiologist,Autonomic nervous system dysfunction,option_c
OIC-347-11-A,What is the emergency management of acute urinary retention?,Assess endovesical volume on catheterization,Prevent vacuo haemorrhage by clamping every 500ml,Clamp bladder for 30 minutes to prevent obstruction,Administer diuretics and pain medication immediately,b
OIC-347-02-B,What is the primary cause of acute urinary retention?, ,Abnormal detrusor contraction,Inability to relax muscles, ,b
OIC-347-08-A,What is the first-line examination to check for acute urine retention?,Upper urinary tract ultrasound,Creatininemia and blood ionogram,"Bladder tumour/lithiasis, detrusor thickening",Prostate volume,option_a
OIC-347-03-A,What is the main cause of acute urinary retention in men?,Benign prostatic hyperplasia (BPH),Prostatitis,Lithiasis,Fecal impaction,option_a
OIC-347-06-A,What indicates that acute urinary retention is likely to result in anuria?,Hypertension,Elevated blood pressure,Decreased urine output,Increased heart rate,c
OIC-257-08-A,What is the primary effect of thiazides in a patient with severe renal impairment?,Increase sodium excretion,Decrease potassium levels,Increase albumin levels,Inhibit natriuresis,option_a
OIC-257-01-A,What does localised lower limb oedema refer to?,A visible accumulation of fluid in the interstitial tissue,A condition where one's feet are always heavy,The inability to walk due to a lack of mobility,A swelling that spreads to other parts of the body,A visible accumulation of fluid in the interstitial tissue
OIC-257-06-A,What is a common indicator of protein-rich fluid accumulation in the body?,A drop in blood pressure,Elevated liver enzymes,Increased levels of clotting factors,Weight gain due to water retention,option_a
OIC-257-03-B,What is the primary mechanism responsible for edema formation during acute heart failure? Choose one correct option: 1. Effective hypovolemia secondary to reduced cardiac output 2. Ineffective hypervolemia due to increased capillary hydrostatic pressure 3. Hypercapnia-induced vasodilation of peripheral blood vessels 4. Decreased plasma oncotic pressure,1,2,3,4,1
OIC-257-05-A,What is the main difference between localized oedema and generalised oedema?,Localized Oedema: Characterized by an increase in venous pressure and certain medications; Generalised Oedema: Characterized by a low protein diet; Incorrect Option B,Generalised Oedema: Characterized by a low protein diet; Localised Oedema: Characterized by an increase in venous pressure and certain medications; Correct Answer,Localized Oedema: Characterized by an increase in venous pressure and certain medications; Generalised Oedema: Characterized by a low protein diet; Incorrect Option A,Generalised Oedema: Characterized by a low protein diet; Localised Oedema: Characterized by an increase in venous pressure and certain medications; Correct Answer,b
OIC-257-07-A,What is the main cause of generalized edema in the legs? ,Hypothyroidism: A lack of thyroid hormones leads to fluid retention and swelling in the legs.,"Chronic venous insufficiency: The condition affects blood flow, causing fluid buildup in the legs.",Renal failure: Kidney disease can lead to proteinuria and edema.,Cardiovascular disease: High blood pressure and atherosclerosis contribute to swelling in the lower limbs.,b
OIC-257-02-B,What is the main cause of locally caused oedema?,An increase in venous pressure,A lymphatic obstacle,Local inflammatory pathology modifying capillary permeability due to inflammatory mediators,Dihydropyridine-type anti-calcic agents,option_a
OIC-299-06-B,What is the primary advantage of using MRI in diagnosing intracranial tumours?,Imaging without contrast injections,MRI with diffusion weighting sequences,Anatomical localization of tumour characteristics,Multi-modal imaging for non-morphological information,anatomical localization of tumour characteristics
OIC-299-07-A,What is the purpose of evaluating a patient with brain metastases?,Look for primary cancer and other extra-encephalic systemic metastases.,Perform a thorough clinical examination to rule out other primary cancers.,"Use imaging studies only, without considering potential sources of brain metastases.",Ignore the presence of cerebral metastases and focus solely on skin examination.,Option b: Perform a thorough clinical examination to rule out other primary cancers.
OIC-299-03-B,What is the term for a type of brain tumor that develops from glial cells?,Glioblastoma,Astrocytoma,Pituitary Adenoma,Metastasis,option_b
OIC-299-02-A,What defines a primary intracranial tumour?,A tumour that originates within the brain itself (intra-axial).,A tumour that is extracellular and occurs in the meninges or surrounding tissues outside of the CNS.,A tumour that does not meet either definition.,The location where a primary intracranial tumour must occur for it to be classified as such.,option_a
OIC-299-01-A,What is the term for a type of intracranial tumour that arises from the arachnoid tissue?,Secondary Tumour,Benign Tumour,Extra-parenchymal Tumour,Metastasis,option_c
OIC-299-09-B,What is NOT true about the management of intracranial tumours in patients with epilepsy?,Epilepsy should be kept at rest before surgical treatment,Corticosteroids are ineffective for peritumoral vasogenic edema,Endoscopic ventriculostomy is not a suitable option for obstructive hydrocephalus,New-generation drugs with enzyme-inducing properties should be used to prevent seizures in patients who are poor candidates for surgical treatment of epilepsy despite significant tumour burden.,option_b
OIC-299-04-B,What is the preferred location of **Medulloblastoma**? ,Cerebellar vermis,Spinal cord,"Occasionally in young adults, particularly during pregnancy",Not specified,option_a
OIC-299-05-A,What is the typical clinical picture associated with a frontal lobe tumour?,Gradual worsening of headache and nausea/vomiting,No location value for headache,Poorly soothed by painkillers,Headache worsens during exertion with glottis closed,option_a
OIC-299-08-A,What is a possible complication of intracranial hypertension in an adult patient with a brain tumour?,Cataracts,Seizures due to neurological damage,Pneumothorax,Increased blood pressure,B
OIC-010-03-B,What is the difference between the subjective experience of illness and its objectification in clinical practice?,The subjective experience is reflected by the doctor's observation,The body-objectified by medicine can be reduced to a collection of organs,Body-subject refers to both the patient's personal narrative and medical imaging,The human sciences distinguish between a body-object and a body-subject,option_a
OIC-010-02-B,What does 'Bodily Experience' refer to?,The way we see and perceive our own bodies,Our perception of others' bodies,The emotions or thoughts of others,The physical sensations in our body,option_a
OIC-010-01-A,What makes an ideal body shape? ,Following traditional fashion guidelines,Adapting to cultural beauty standards,Based on physical measurements,Influenced by societal pressures and norms,option_b
OIC-026-03-A,What is the correct approach to identifying life-threatening causes of acute abdominal pain in pregnant women?,Abdominal palpation and lumbar fossa examination,"Taking the temperature, performing a vaginal examination, or urine dipstick analysis",Detection of fetal heart sounds through abdominal palpation,Abnormal genital bleeding (SD-111),option_a
OIC-026-05-B,What is a characteristic feature of moderate pyelocalic dilation in pregnant women?,The dilation is typically less than 10 mm.,It occurs on the left side of the uterus.,"Dextro-rotation of the uterus is frequently observed during pregnancy, particularly on the right.",An abdominal ultrasound is more effective in detecting this condition.,c
OIC-026-01-B,What is the correct risk factor for Retroplacental Haematoma?,Age,Smoking,Maternal hypertension,Primipara,a
OIC-026-02-A,What should be done in case of acute abdominal pain in a pregnant woman with nausea?,Give the baby aspirin,Apply heat to the abdomen,Try acupuncture for relief,Perform an emergency cesarean section,b
