id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-164-04-A,"{""question"": ""What is the recommended action for a pregnant woman or immunosuppressed individual who has not been vaccinated against measles and has been in contact with an infected person?"", ""option_a"": ""Administer the MMR vaccine immediately."", ""option_b"": ""Provide IV polyvalent immunoglobulin (200 mg/kg)."", ""option_c"": ""Prescribe antibiotics as a preventive measure."", ""option_d"": ""Recommend a course of antiviral medication."", ""correct_option"": ""B""}",Etiologies,What is the recommended action for a pregnant woman or immunosuppressed individual who has not been vaccinated against measles and has been in contact with an infected person?,Administer the MMR vaccine immediately.,Provide IV polyvalent immunoglobulin (200 mg/kg).,Prescribe antibiotics as a preventive measure.,Recommend a course of antiviral medication.,b
OIC-164-03-A,"{""question"": ""Which of the following is NOT a characteristic of a vesiculo-pustular exanthema?"", ""option_a"": ""Chickenpox"", ""option_b"": ""Herpes (primary infection with stomatitis)"", ""option_c"": ""Hand Foot Mouth Syndrome"", ""option_d"": ""Scarlet fever"", ""correct_option"": ""d""}",Positive diagnosis,Which of the following is NOT a characteristic of a vesiculo-pustular exanthema?,Chickenpox,Herpes (primary infection with stomatitis),Hand Foot Mouth Syndrome,Scarlet fever,d
OIC-245-14-B,"{""question"": ""When monitoring the treatment of adrenal insufficiency, which of the following is NOT a sign of hydrocortisone overdose?"", ""option_a"": ""Fatigue"", ""option_b"": ""Oedema of the lower limbs"", ""option_c"": ""High blood pressure"", ""option_d"": ""Low renin levels"", ""correct_option"": ""d""}",,"When monitoring the treatment of adrenal insufficiency, which of the following is NOT a sign of hydrocortisone overdose?",Fatigue,Oedema of the lower limbs,High blood pressure,Low renin levels,d
OIC-270-03-A,"{""question"": ""In the context of acute low back pain, which of the following signs would indicate a urological cause requiring immediate attention?"", ""option_a"": ""Motor deficit"", ""option_b"": ""Abnormal neurological examination"", ""option_c"": ""Oligo-anuria, acute renal failure"", ""option_d"": ""Severe dyspnoea, respiratory distress"", ""correct_option"": ""c""}",Identifying an emergency,"In the context of acute low back pain, which of the following signs would indicate a urological cause requiring immediate attention?",Motor deficit,Abnormal neurological examination,"Oligo-anuria, acute renal failure","Severe dyspnoea, respiratory distress",c
OIC-024-18-A,"{""question"": ""What is the defining characteristic of a Menace d'accouchement pr\u00e9matur\u00e9 (MAP) in terms of cervical changes and uterine contractions?"", ""option_a"": ""Cervical changes and contractions occurring after 37 SA."", ""option_b"": ""Cervical changes and contractions occurring between 22 SA and 36 SA + 6 days."", ""option_c"": ""A shortened cervix length of more than 25 mm."", ""option_d"": ""Cervical changes and contractions occurring before 22 weeks' gestation."", ""correct_option"": ""b""}",Epidemiology,What is the defining characteristic of a Menace d'accouchement prématuré (MAP) in terms of cervical changes and uterine contractions?,Cervical changes and contractions occurring after 37 SA.,Cervical changes and contractions occurring between 22 SA and 36 SA + 6 days.,A shortened cervix length of more than 25 mm.,Cervical changes and contractions occurring before 22 weeks' gestation.,b
OIC-127-02-A,"{""question"": ""What is the most common cause of lower urinary tract symptoms (LUTS) in men over 50, and what is a key step in its positive diagnosis?"", ""option_a"": ""Chronic prostatitis; urine culture"", ""option_b"": ""Benign prostatic hypertrophy (BPH); digital rectal examination (DRE)"", ""option_c"": ""Urinary tract infection; ultrasound imaging"", ""option_d"": ""Urethral stricture; cystoscopy"", ""correct_option"": ""B""}",Positive diagnosis,"What is the most common cause of lower urinary tract symptoms (LUTS) in men over 50, and what is a key step in its positive diagnosis?",Chronic prostatitis; urine culture,Benign prostatic hypertrophy (BPH); digital rectal examination (DRE),Urinary tract infection; ultrasound imaging,Urethral stricture; cystoscopy,b
OIC-226-05-A,"{""question"": ""In the context of a severe pulmonary embolism (PE) with a systolic blood pressure drop of \u2265 40 mmHg for more than 15 minutes, what is the immediate management strategy?"", ""option_a"": ""Administer diagnostic assays to confirm the presence of a PE."", ""option_b"": ""Immediate fibrinolysis, provided there are no absolute contraindications."", ""option_c"": ""Perform a thoracic angioscanner if possible, or rely on trans-thoracic echocardiography."", ""option_d"": ""Administer anticoagulant therapy with heparins and monitor for stabilization."", ""correct_option"": ""c""}",,"In the context of a severe pulmonary embolism (PE) with a systolic blood pressure drop of ≥ 40 mmHg for more than 15 minutes, what is the immediate management strategy?",Administer diagnostic assays to confirm the presence of a PE.,"Immediate fibrinolysis, provided there are no absolute contraindications.","Perform a thoracic angioscanner if possible, or rely on trans-thoracic echocardiography.",Administer anticoagulant therapy with heparins and monitor for stabilization.,c
OIC-284-06-B,"{""question"": ""Which of the following is NOT an indication for colonoscopy according to the provided educational content?"", ""option_a"": ""Symptoms appearing after the age of 50"", ""option_b"": ""Blood in the stools"", ""option_c"": ""Presence of an abdominal mass"", ""option_d"": ""High blood pressure"", ""correct_option"": ""d""}",Additional examinations,Which of the following is NOT an indication for colonoscopy according to the provided educational content?,Symptoms appearing after the age of 50,Blood in the stools,Presence of an abdominal mass,High blood pressure,d
OIC-312-02-B,"{""question"": ""Which of the following is NOT considered a risk factor for breast cancer?"", ""option_a"": ""Early menarche before the age of 12"", ""option_b"": ""Late menopause after the age of 55"", ""option_c"": ""High body mass index (BMI)"", ""option_d"": ""Low socio-economic status"", ""correct_option"": ""D""}",,Which of the following is NOT considered a risk factor for breast cancer?,Early menarche before the age of 12,Late menopause after the age of 55,High body mass index (BMI),Low socio-economic status,d
OIC-198-03-B,"{""question"": ""What is the target uricemia level that should be reached after initiating hypouricemic treatment to dissolve sodium urate crystals in gout patients?"", ""option_a"": ""300 \u00b5mol/l (50 mg/l)"", ""option_b"": ""360 \u00b5mol/l (60 mg/l)"", ""option_c"": ""400 \u00b5mol/l (80 mg/l)"", ""option_d"": ""500 \u00b5mol/l (100 mg/l)"", ""correct_option"": ""b""}",Physiopathology,What is the target uricemia level that should be reached after initiating hypouricemic treatment to dissolve sodium urate crystals in gout patients?,300 µmol/l (50 mg/l),360 µmol/l (60 mg/l),400 µmol/l (80 mg/l),500 µmol/l (100 mg/l),b
OIC-124-14-A,"{""question"": ""In a postmenopausal woman experiencing any metrorrhagia, which of the following steps is essential to rule out endometrial cancer?"", ""option_a"": ""Evaluate for risk factors such as obesity, hypertension, type 2 diabetes, HRT, tamoxifen treatment, and family history."", ""option_b"": ""Prescribe a course of antibiotics to treat potential infection."", ""option_c"": ""Perform a clinical examination to rule out vaginal or cervical causes."", ""option_d"": ""Conduct an endometrial biopsy using the Cornier pipelle for histological confirmation."", ""correct_option"": ""d""}",Positive diagnosis,"In a postmenopausal woman experiencing any metrorrhagia, which of the following steps is essential to rule out endometrial cancer?","Evaluate for risk factors such as obesity, hypertension, type 2 diabetes, HRT, tamoxifen treatment, and family history.",Prescribe a course of antibiotics to treat potential infection.,Perform a clinical examination to rule out vaginal or cervical causes.,Conduct an endometrial biopsy using the Cornier pipelle for histological confirmation.,d
OIC-299-01-A,"{""question"": ""Where are infra-tentorial intracranial tumours typically located?"", ""option_a"": ""Above the cerebellum tentum"", ""option_b"": ""Below the cerebellum tentum"", ""option_c"": ""Within the brain's ventricles"", ""option_d"": ""Adjacent to the cerebral cortex"", ""correct_option"": ""B""}",Definition,Where are infra-tentorial intracranial tumours typically located?,Above the cerebellum tentum,Below the cerebellum tentum,Within the brain's ventricles,Adjacent to the cerebral cortex,b
OIC-070-03-B,"{""question"": ""What is the prevalence of negative symptomatology, such as withdrawal and apathy, in elderly patients with dementia?"", ""option_a"": ""Less than 25%"", ""option_b"": ""25-50%"", ""option_c"": ""50-75%"", ""option_d"": ""Over 75%"", ""correct_option"": ""B""}",,"What is the prevalence of negative symptomatology, such as withdrawal and apathy, in elderly patients with dementia?",Less than 25%,25-50%,50-75%,Over 75%,b
OIC-056-04-A,"{""question"": ""What are the three main components of the triple support system aimed at assisting children with disabilities and their families?"", ""option_a"": ""Therapeutic, Educational, Legal"", ""option_b"": ""Therapeutic, Educational, Social"", ""option_c"": ""Therapeutic, Recreational, Social"", ""option_d"": ""Therapeutic, Educational, Financial"", ""correct_option"": ""B""}",Support,What are the three main components of the triple support system aimed at assisting children with disabilities and their families?,"Therapeutic, Educational, Legal","Therapeutic, Educational, Social","Therapeutic, Recreational, Social","Therapeutic, Educational, Financial",b
OIC-005-05-A,"{""question"": ""What constitutes a disciplinary offence in the medical profession according to the Code of Medical Ethics?"", ""option_a"": ""A breach of strictly legal rules"", ""option_b"": ""A violation of a moral rule related to professional activity"", ""option_c"": ""A criminal offence as defined by the Penal Code"", ""option_d"": ""Any act in private life that does not affect the profession"", ""correct_option"": ""B""}",Definition,What constitutes a disciplinary offence in the medical profession according to the Code of Medical Ethics?,A breach of strictly legal rules,A violation of a moral rule related to professional activity,A criminal offence as defined by the Penal Code,Any act in private life that does not affect the profession,b
OIC-351-11-A,"{""question"": ""In the management of acute delirium, which of the following is considered a last resort and should only be used if other strategies fail or if there is an imminent and significant danger to the patient or others?"", ""option_a"": ""Antipsychotic medication"", ""option_b"": ""Oral hydration therapy"", ""option_c"": ""Physical or mechanical restraint"", ""option_d"": ""Systematic relationship management"", ""correct_option"": ""C""}",Management,"In the management of acute delirium, which of the following is considered a last resort and should only be used if other strategies fail or if there is an imminent and significant danger to the patient or others?",Antipsychotic medication,Oral hydration therapy,Physical or mechanical restraint,Systematic relationship management,c
OIC-283-04-B,"{""question"": ""When is colonoscopy with general anaesthetic indicated for a chronic constipated person consulting for the first time?"", ""option_a"": ""When symptoms appear or worsen after the age of 50"", ""option_b"": ""If there is a recent unexplained change in transit"", ""option_c"": ""In situations recommended as part of systematic screening for colon cancer in the general population"", ""option_d"": ""When there are warning signs such as rectal discharge or change in general condition"", ""correct_option"": ""d""}",Complementary examinations,When is colonoscopy with general anaesthetic indicated for a chronic constipated person consulting for the first time?,When symptoms appear or worsen after the age of 50,If there is a recent unexplained change in transit,In situations recommended as part of systematic screening for colon cancer in the general population,When there are warning signs such as rectal discharge or change in general condition,d
OIC-026-01-B,"{""question"": ""Which of the following is NOT a typical sign of acute abdominal pain in a pregnant woman?"", ""option_a"": ""Genital haemorrhage with severe FHR abnormality"", ""option_b"": ""Abdominal pain associated with RCF abnormalities"", ""option_c"": ""Maternal fever and abdominal pain"", ""option_d"": ""Sudden, permanent uterine contractions"", ""correct_option"": ""C""}",Positive diagnosis,Which of the following is NOT a typical sign of acute abdominal pain in a pregnant woman?,Genital haemorrhage with severe FHR abnormality,Abdominal pain associated with RCF abnormalities,Maternal fever and abdominal pain,"Sudden, permanent uterine contractions",c
OIC-027-16-A,"{""question"": ""What is the recommended management for a pregnant woman who tests positive for HBsAg to prevent foetal transmission of hepatitis B?"", ""option_a"": ""Immediate referral to a hepatologist and/or infectious diseases specialist for potential antiviral treatment."", ""option_b"": ""Conduct a Cesarean section to prevent transmission."", ""option_c"": ""Breastfeeding should be avoided to reduce the risk of transmission."", ""option_d"": ""Serovaccination of the newborn baby, ideally before the 12th hour of life."", ""correct_option"": ""d""}",,What is the recommended management for a pregnant woman who tests positive for HBsAg to prevent foetal transmission of hepatitis B?,Immediate referral to a hepatologist and/or infectious diseases specialist for potential antiviral treatment.,Conduct a Cesarean section to prevent transmission.,Breastfeeding should be avoided to reduce the risk of transmission.,"Serovaccination of the newborn baby, ideally before the 12th hour of life.",d
OIC-075-22-A,"{""question"": ""Which of the following is NOT a non-psychiatric medical complication directly associated with smoking?"", ""option_a"": ""Decreased fertility"", ""option_b"": ""Ischaemic heart disease"", ""option_c"": ""Dry skin"", ""option_d"": ""Rheumatoid arthritis"", ""correct_option"": ""d""}",Positive diagnosis,Which of the following is NOT a non-psychiatric medical complication directly associated with smoking?,Decreased fertility,Ischaemic heart disease,Dry skin,Rheumatoid arthritis,d
OIC-019-12-A,"{""question"": ""Under which conditions is an insured person exempted from the co-payment for care according to the ALD protocol?"", ""option_a"": ""For any long-term condition, regardless of severity or treatment duration."", ""option_b"": ""For serious or incapacitating forms of diseases not on the list of 30 ALD that require prolonged treatment of more than six months."", ""option_c"": ""For any disease requiring continuous care for a foreseeable period of more than 6 months, even if not on the list of 30 ALD."", ""option_d"": ""Only for diseases on the list of 30 ALD, with no consideration for treatment duration or severity."", ""correct_option"": ""b""}",,Under which conditions is an insured person exempted from the co-payment for care according to the ALD protocol?,"For any long-term condition, regardless of severity or treatment duration.",For serious or incapacitating forms of diseases not on the list of 30 ALD that require prolonged treatment of more than six months.,"For any disease requiring continuous care for a foreseeable period of more than 6 months, even if not on the list of 30 ALD.","Only for diseases on the list of 30 ALD, with no consideration for treatment duration or severity.",b
OIC-109-10-B,"{""question"": ""Which of the following is NOT a characteristic feature of a conversive (psychogenic) gait disorder?"", ""option_a"": ""Sudden onset and spontaneous remission of the gait disorder"", ""option_b"": ""Time inconsistency in the presentation of the gait disorder"", ""option_c"": ""Consistent clinical expression matching a neurological disorder"", ""option_d"": ""Increase in gait disorder when attention is focused on walking"", ""correct_option"": ""C""}",Etiologies,Which of the following is NOT a characteristic feature of a conversive (psychogenic) gait disorder?,Sudden onset and spontaneous remission of the gait disorder,Time inconsistency in the presentation of the gait disorder,Consistent clinical expression matching a neurological disorder,Increase in gait disorder when attention is focused on walking,c
OIC-027-36-B,"{""question"": ""When managing pregnant smokers, which of the following is considered an appropriate initial intervention according to the management principles described?"", ""option_a"": ""Prescribing nicotine replacement therapy immediately upon diagnosis"", ""option_b"": ""Providing tailored advice and information on smoking cessation"", ""option_c"": ""Conducting a Fagerstr\u00f6m questionnaire to assess nicotine dependence"", ""option_d"": ""Recommending hypnosis as the first line of treatment"", ""correct_option"": ""b""}",Management,"When managing pregnant smokers, which of the following is considered an appropriate initial intervention according to the management principles described?",Prescribing nicotine replacement therapy immediately upon diagnosis,Providing tailored advice and information on smoking cessation,Conducting a Fagerström questionnaire to assess nicotine dependence,Recommending hypnosis as the first line of treatment,b
OIC-056-07-B,"{""question"": ""What is the estimated prevalence of congenital malformations leading to severe disabilities in children in France?"", ""option_a"": ""5% of children, approximately 10% with severe disabilities"", ""option_b"": ""2-3% of children, around 20% with severe disabilities"", ""option_c"": ""1% of children, approximately 5% with severe disabilities"", ""option_d"": ""4-5% of children, around 15% with severe disabilities"", ""correct_option"": ""b""}",Epidemiology,What is the estimated prevalence of congenital malformations leading to severe disabilities in children in France?,"5% of children, approximately 10% with severe disabilities","2-3% of children, around 20% with severe disabilities","1% of children, approximately 5% with severe disabilities","4-5% of children, around 15% with severe disabilities",b
OIC-124-18-B,"{""question"": ""Which of the following is NOT a differential diagnosis for age-related androgen deficiency (TDS)?"", ""option_a"": ""Hypothyroidism"", ""option_b"": ""Prolactin adenoma"", ""option_c"": ""Iatrogenic hypogonadism"", ""option_d"": ""Diabetes Mellitus"", ""correct_option"": ""D""}",,Which of the following is NOT a differential diagnosis for age-related androgen deficiency (TDS)?,Hypothyroidism,Prolactin adenoma,Iatrogenic hypogonadism,Diabetes Mellitus,d
OIC-024-03-A,"{""question"": ""In the management of an ectopic pregnancy, which of the following is NOT considered a criterion for urgent surgical intervention?"", ""option_a"": ""Haemodynamic instability"", ""option_b"": ""Abdominal defense mechanisms"", ""option_c"": ""Presence of a \u03b2-hCG level less than 1,000 IU/L with decreasing kinetics"", ""option_d"": ""Haemoperitoneum on ultrasound"", ""correct_option"": ""c""}",Identification of the emergency,"In the management of an ectopic pregnancy, which of the following is NOT considered a criterion for urgent surgical intervention?",Haemodynamic instability,Abdominal defense mechanisms,"Presence of a β-hCG level less than 1,000 IU/L with decreasing kinetics",Haemoperitoneum on ultrasound,c
OIC-019-02-A,"{""question"": ""Which of the following categories is NOT recognized as a risk covered by social protection benefits in France?"", ""option_a"": ""Educational advancement risk"", ""option_b"": ""Health risk"", ""option_c"": ""Housing risk"", ""option_d"": ""Employment risk"", ""correct_option"": ""A""}",Definition,Which of the following categories is NOT recognized as a risk covered by social protection benefits in France?,Educational advancement risk,Health risk,Housing risk,Employment risk,a
OIC-020-12-B,"{""question"": ""In a biomedical study, which of the following factors does not influence the power of a statistical test?"", ""option_a"": ""Size of sample analysed N"", ""option_b"": ""Difference to be detected d"", ""option_c"": ""Variability of observations (variance)"", ""option_d"": ""Number of researchers involved in the study"", ""correct_option"": ""option_d""}",Definition,"In a biomedical study, which of the following factors does not influence the power of a statistical test?",Size of sample analysed N,Difference to be detected d,Variability of observations (variance),Number of researchers involved in the study,option_d
OIC-049-04-B,"{""question"": ""At which Tanner stage does a girl have a mature breast appearance?"", ""option_a"": ""S1 - No breast development"", ""option_b"": ""S2 - Small breast bud with enlarged areola"", ""option_c"": ""S3 - Mammary gland extending beyond the surface of the areola"", ""option_d"": ""S5 - Mature appearance"", ""correct_option"": ""D""}",Definition,At which Tanner stage does a girl have a mature breast appearance?,S1 - No breast development,S2 - Small breast bud with enlarged areola,S3 - Mammary gland extending beyond the surface of the areola,S5 - Mature appearance,d
OIC-261-05-B,"{""question"": ""Which of the following is NOT an indication for renal puncture biopsy (RPB) in a patient with glomerular nephropathy syndrome?"", ""option_a"": ""Pure nephrotic syndrome in a child aged between 1 and 10 years"", ""option_b"": ""Diabetic retinopathy on fundus without haematuria in a patient with known diabetes"", ""option_c"": ""Amyloidosis documented on a non-renal biopsy (salivary glands)"", ""option_d"": ""Acute pyelonephritis"", ""correct_option"": ""d""}",Additional examinations,Which of the following is NOT an indication for renal puncture biopsy (RPB) in a patient with glomerular nephropathy syndrome?,Pure nephrotic syndrome in a child aged between 1 and 10 years,Diabetic retinopathy on fundus without haematuria in a patient with known diabetes,Amyloidosis documented on a non-renal biopsy (salivary glands),Acute pyelonephritis,d
OIC-326-07-B,"{""question"": ""In the context of prescribing medication, how should the benefit/risk ratio be assessed according to the individual patient's situation?"", ""option_a"": ""Based solely on the pharmacokinetic properties of the drug."", ""option_b"": ""By considering the patient's age, weight, and organ function, as well as new scientific information."", ""option_c"": ""Only taking into account the medicinal product's level of evidence for efficacy."", ""option_d"": ""Evaluating the treatment's efficacy without considering drug safety signals."", ""correct_option"": ""option_b""}",Management,"In the context of prescribing medication, how should the benefit/risk ratio be assessed according to the individual patient's situation?",Based solely on the pharmacokinetic properties of the drug.,"By considering the patient's age, weight, and organ function, as well as new scientific information.",Only taking into account the medicinal product's level of evidence for efficacy.,Evaluating the treatment's efficacy without considering drug safety signals.,option_b
OIC-176-06-B,"{""question"": ""Which of the following parasites is most frequently associated with causing diarrhoea in both children and adults, often following travel, and can lead to epidemics in groups of children?"", ""option_a"": ""Giardia intestinalis"", ""option_b"": ""Cryptosporidium spp"", ""option_c"": ""Ascariasis"", ""option_d"": ""Hookworm infection"", ""correct_option"": ""A""}",Etiologies,"Which of the following parasites is most frequently associated with causing diarrhoea in both children and adults, often following travel, and can lead to epidemics in groups of children?",Giardia intestinalis,Cryptosporidium spp,Ascariasis,Hookworm infection,a
OIC-157-05-B,"{""question"": ""What is the most common route of entry for candidemia according to the provided content?"", ""option_a"": ""Respiratory inhalation"", ""option_b"": ""Vascular catheter"", ""option_c"": ""Oral ingestion"", ""option_d"": ""Skin abrasions"", ""correct_option"": ""B""}",Etiologies,What is the most common route of entry for candidemia according to the provided content?,Respiratory inhalation,Vascular catheter,Oral ingestion,Skin abrasions,b
OIC-019-03-B,"{""question"": ""What factors contributed to the increase in health insurance benefits in France in 2020?"", ""option_a"": ""Decrease in the provision of care in hospitals and outpatient services."", ""option_b"": ""Reduction in the number of accidents at work and occupational diseases."", ""option_c"": ""Increase in the provision of care in hospitals and outpatient services, pay rises for healthcare employees, and additional funding for the health crisis."", ""option_d"": ""Slowdown in health insurance expenditure due to increased household contributions."", ""correct_option"": ""c""}",Definition,What factors contributed to the increase in health insurance benefits in France in 2020?,Decrease in the provision of care in hospitals and outpatient services.,Reduction in the number of accidents at work and occupational diseases.,"Increase in the provision of care in hospitals and outpatient services, pay rises for healthcare employees, and additional funding for the health crisis.",Slowdown in health insurance expenditure due to increased household contributions.,c
OIC-207-01-A,"{""question"": ""In the context of diagnosing pulmonary opacity, which of the following best describes a well-circumscribed round opacity on a CT scan that should initially suggest lung cancer until proven otherwise?"", ""option_a"": ""Solitary fibrous tumour of the pleura"", ""option_b"": ""Infectious pneumonia of the right middle and lower lobes"", ""option_c"": ""Lung nodule with fatty content indicating benignity"", ""option_d"": ""Small cell bronchial carcinoma"", ""correct_option"": ""C""}",Positive diagnosis,"In the context of diagnosing pulmonary opacity, which of the following best describes a well-circumscribed round opacity on a CT scan that should initially suggest lung cancer until proven otherwise?",Solitary fibrous tumour of the pleura,Infectious pneumonia of the right middle and lower lobes,Lung nodule with fatty content indicating benignity,Small cell bronchial carcinoma,c
